agent,final_trnu,mean_trnu,total_anfer,total_amir,napp_anfer,napp_amir,max_grnwt,final_grnwt,max_topwt,total_reward,episodes,run,penality,anfer_cost,amir_cost,anfer_excess_limit,anfer_excess_cost,amir_excess_limit,amir_excess_cost,score
ppo,1.4977030487110217,1.7417800213325572,1118.0638330678146,259.88562575231,21.4,22.833333333333332,7461.405136666667,7461.405136666667,0.5036197666666666,1348.3463954327112,30,pen12_ncost0_icost5_nlim300_nex0_ilim80_iex0,12.0,0.0,5.0,300.0,0.0,80.0,0.0,-0.08753965660253554
ppo,1.4982685229430597,1.7427368408393389,1218.4312769770622,223.72247045238814,24.566666666666666,19.7,7462.045613333334,7462.045613333334,0.5036013666666667,-2779.3142466082645,30,pen15_ncost0_icost5_nlim300_nex0_ilim80_iex0,15.0,0.0,5.0,300.0,0.0,80.0,0.0,-0.10888043108975826
ppo,1.4973476901650429,1.738853441846348,1913.5291604201,239.86926871041456,33.666666666666664,20.5,7462.077443333333,7462.077443333333,0.5035527999999999,-23.358639229213637,30,pen8_ncost0_icost5_nlim300_nex0_ilim80_iex0,8.0,0.0,5.0,300.0,0.0,80.0,0.0,-0.5938201160218634
ppo,1.496790007998546,1.7428355020849362,1916.1379413306713,288.057695304354,33.266666666666666,23.7,7461.817566666667,7461.817566666667,0.503643,-4839.495338100175,30,pen10_ncost0_icost5_nlim300_nex0_ilim80_iex0,10.0,0.0,5.0,300.0,0.0,80.0,0.0,-0.6544141092878293
