station,policy_name,train_year,train_year_label,eval_year,eval_year_label,seed,model_path,run_status,error_message,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,total_irrigation,total_n_fertilizer,mean_swfac,mean_nstres,mean_reward,sum_reward,daily_csv_path,figure_dir,notes,quality_gate_pass,quality_gate_reason
FQA,FQA_train2008_seed0_action_safe,2008,observed_lower_rain_year,2008,observed_lower_rain_year,0,Leave_One_experiments/ppo_action_safe_two_year_cv/models/FQA/FQA_train2008_seed0_action_safe.zip,ok,,True,105,7066.727294921875,12497.71728515625,0.9530528783798218,200.0,300.0,0.0,0.0001818747747512,90.66699681049656,9520.03466510214,Leave_One_experiments/ppo_action_safe_two_year_cv/daily_outputs/FQA/FQA_train2008_eval2008_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_two_year_cv/figures/FQA/FQA_train2008_seed0_action_safe/eval_2008,limited_two_year_cross_validation,True,
FQA,FQA_train2008_seed0_action_safe,2008,observed_lower_rain_year,2010,observed_higher_rain_year,0,Leave_One_experiments/ppo_action_safe_two_year_cv/models/FQA/FQA_train2008_seed0_action_safe.zip,ok,,True,100,5834.447021484375,11949.7314453125,1.105831265449524,200.0,300.0,0.0,0.0001338577270507,89.58316328665242,8958.316328665242,Leave_One_experiments/ppo_action_safe_two_year_cv/daily_outputs/FQA/FQA_train2008_eval2010_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_two_year_cv/figures/FQA/FQA_train2008_seed0_action_safe/eval_2010,limited_two_year_cross_validation,True,
FQA,FQA_train2010_seed0_action_safe,2010,observed_higher_rain_year,2010,observed_higher_rain_year,0,Leave_One_experiments/ppo_action_safe_two_year_cv/models/FQA/FQA_train2010_seed0_action_safe.zip,ok,,True,100,5834.7003173828125,11950.62255859375,1.1059449911117554,200.0,300.0,0.0,0.0001338577270507,89.59216202865355,8959.216202865355,Leave_One_experiments/ppo_action_safe_two_year_cv/daily_outputs/FQA/FQA_train2010_eval2010_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_two_year_cv/figures/FQA/FQA_train2010_seed0_action_safe/eval_2010,limited_two_year_cross_validation,True,
FQA,FQA_train2010_seed0_action_safe,2010,observed_higher_rain_year,2008,observed_lower_rain_year,0,Leave_One_experiments/ppo_action_safe_two_year_cv/models/FQA/FQA_train2010_seed0_action_safe.zip,ok,,True,105,7063.59130859375,12490.9033203125,0.9522184133529664,200.0,300.0,0.0,0.0001818747747512,90.60125361056998,9513.131629109848,Leave_One_experiments/ppo_action_safe_two_year_cv/daily_outputs/FQA/FQA_train2010_eval2008_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_two_year_cv/figures/FQA/FQA_train2010_seed0_action_safe/eval_2008,limited_two_year_cross_validation,True,
YCA,YCA_train2014_seed0_action_safe,2014,observed_lower_rain_year,2014,observed_lower_rain_year,0,Leave_One_experiments/ppo_action_safe_two_year_cv/models/YCA/YCA_train2014_seed0_action_safe.zip,ok,,True,109,9365.596923828123,20239.0771484375,2.2866456508636475,200.0,300.0,0.0,0.0003427092088471,159.19627395146094,17352.393860709242,Leave_One_experiments/ppo_action_safe_two_year_cv/daily_outputs/YCA/YCA_train2014_eval2014_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_two_year_cv/figures/YCA/YCA_train2014_seed0_action_safe/eval_2014,limited_two_year_cross_validation,True,
YCA,YCA_train2014_seed0_action_safe,2014,observed_lower_rain_year,2008,observed_higher_rain_year,0,Leave_One_experiments/ppo_action_safe_two_year_cv/models/YCA/YCA_train2014_seed0_action_safe.zip,ok,,True,111,8133.52783203125,18288.0859375,1.968377709388733,200.0,300.0,0.0,0.0003435294907372,138.65313061068994,15390.497497786582,Leave_One_experiments/ppo_action_safe_two_year_cv/daily_outputs/YCA/YCA_train2014_eval2008_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_two_year_cv/figures/YCA/YCA_train2014_seed0_action_safe/eval_2008,limited_two_year_cross_validation,True,
YCA,YCA_train2008_seed0_action_safe,2008,observed_higher_rain_year,2008,observed_higher_rain_year,0,Leave_One_experiments/ppo_action_safe_two_year_cv/models/YCA/YCA_train2008_seed0_action_safe.zip,ok,,True,111,8132.16552734375,18269.334716796875,1.9628208875656128,200.0,300.0,0.0,0.0003435332495887,138.48223534967218,15371.528123813612,Leave_One_experiments/ppo_action_safe_two_year_cv/daily_outputs/YCA/YCA_train2008_eval2008_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_two_year_cv/figures/YCA/YCA_train2008_seed0_action_safe/eval_2008,limited_two_year_cross_validation,True,
YCA,YCA_train2008_seed0_action_safe,2008,observed_higher_rain_year,2014,observed_lower_rain_year,0,Leave_One_experiments/ppo_action_safe_two_year_cv/models/YCA/YCA_train2008_seed0_action_safe.zip,ok,,True,109,9364.827270507812,20222.90283203125,2.282829523086548,200.0,300.0,0.0,0.0003427398314169,159.0450342624536,17335.908734607445,Leave_One_experiments/ppo_action_safe_two_year_cv/daily_outputs/YCA/YCA_train2008_eval2014_seed0_action_safe_daily.csv,Leave_One_experiments/ppo_action_safe_two_year_cv/figures/YCA/YCA_train2008_seed0_action_safe/eval_2014,limited_two_year_cross_validation,True,
