station,eval_year,date,dap,sim_day,bc_two_stage_irrigation_00609,bc_two_stage_n_00609,ft0_irrigation_00610,ft0_n_00610,expert_schedule_irrigation,expert_schedule_n,irrigation_diff,n_diff,is_event_day,notes
HLA,2007,2007-05-05,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-06,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-07,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-08,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-09,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-10,2.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-11,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-12,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-13,5.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-14,6.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-15,7.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-16,8.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-17,9.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-18,10.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-19,11.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-20,12.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-21,13.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-22,14.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-23,15.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-24,16.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-25,17.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2007,2007-05-26,18.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
