station,eval_year,run_status,episode_completed,episode_length,final_grnwt,total_irrigation,total_n_fertilizer,mean_swfac,mean_nstres,profit_score,daily_csv_path,notes,finetune_method,train_year,seed,model_path,bc_action_deviation_mean,bc_action_deviation_max,irrigation_saturation_ratio_300_450,n_saturation_ratio_300_450,yield_loss_vs_00609_bc_two_stage,n_diff_vs_00609_bc_two_stage,yield_loss_vs_ppo_baseline,input_reduction_vs_ppo_baseline
SYA,2012,ok,True,135,9697.91748046875,85.23000925779343,203.60531210899353,0.0,0.011475556868093985,3.462842148542407,Leave_One_experiments/prior_replay_debug/daily_outputs/SYA/SYA_FT2_residual_bc_prior_fixed_eval2012_daily.csv,fixed_simday_safety_constrained_eval,FT2_residual_bc_prior_fixed,2012,0,Leave_One_experiments/prior_replay_debug/models/SYA/FT2_residual_bc_prior_fixed_SYA_train2012_seed0.zip,0.009299576591194014,0.1007382869720459,0.2841000308593114,0.4524562491310967,-0.11627026678035635,65.10531210899353,-0.41042737124590384,0.6317218600047959
SYA,2014,ok,True,144,10766.114501953125,95.8148255944252,206.8623125553131,0.012990763824847009,0.03769470378756523,8.038154083490369,Leave_One_experiments/prior_replay_debug/daily_outputs/SYA/SYA_FT2_residual_bc_prior_fixed_eval2014_daily.csv,fixed_simday_safety_constrained_eval,FT2_residual_bc_prior_fixed,2012,0,Leave_One_experiments/prior_replay_debug/models/SYA/FT2_residual_bc_prior_fixed_SYA_train2012_seed0.zip,0.009606963749079066,0.09894673526287079,0.31938275198141736,0.4596940279006958,-0.22948231225342589,68.36231255531311,-0.5657817883173192,0.6104616100589434
SYA,2015,ok,True,143,10611.9091796875,93.16814541816711,207.59543478488922,0.0,0.024854855520741924,7.636160391569135,Leave_One_experiments/prior_replay_debug/daily_outputs/SYA/SYA_FT2_residual_bc_prior_fixed_eval2015_daily.csv,fixed_simday_safety_constrained_eval,FT2_residual_bc_prior_fixed,2012,0,Leave_One_experiments/prior_replay_debug/models/SYA/FT2_residual_bc_prior_fixed_SYA_train2012_seed0.zip,0.0095237514880992,0.09888841211795807,0.3105604847272237,0.46132318841086495,-0.2208817947136921,69.09543478488922,-0.5433547664589397,0.6140581634309557
LCA,2010,ok,True,92,8307.828979492188,9.500987827777863,182.60276056826115,0.006031064235645792,0.0002987663383069246,32.677105738967654,Leave_One_experiments/prior_replay_debug/daily_outputs/LCA/LCA_FT2_residual_bc_prior_fixed_eval2010_daily.csv,fixed_simday_safety_constrained_eval,FT2_residual_bc_prior_fixed,2010,0,Leave_One_experiments/prior_replay_debug/models/LCA/FT2_residual_bc_prior_fixed_LCA_train2010_seed0.zip,0.0025399549812503996,0.1263599054971742,0.03166995942592621,0.40578391237391365,-0.03545241731642618,2.1027605682611465,-0.20825831029233866,0.78127306410008
LCA,2011,ok,True,102,9121.575927734375,9.460684657096863,180.00713139772415,0.0019277205654219085,0.001018695971545051,41.48363409936428,Leave_One_experiments/prior_replay_debug/daily_outputs/LCA/LCA_FT2_residual_bc_prior_fixed_eval2011_daily.csv,fixed_simday_safety_constrained_eval,FT2_residual_bc_prior_fixed,2010,0,Leave_One_experiments/prior_replay_debug/models/LCA/FT2_residual_bc_prior_fixed_LCA_train2010_seed0.zip,0.0025501070923199536,0.12774923798165808,0.03153561552365621,0.4000158475504981,0.0005552697358332487,-0.4928686022758484,-0.3266064991050495,0.7842242684629228
LCA,2008,ok,True,105,9245.748901367188,4.526938498020172,175.44838394969702,0.0,0.005236773263840448,46.331923777237535,Leave_One_experiments/prior_replay_debug/daily_outputs/LCA/LCA_FT2_residual_bc_prior_fixed_eval2008_daily.csv,fixed_simday_safety_constrained_eval,FT2_residual_bc_prior_fixed,2010,0,Leave_One_experiments/prior_replay_debug/models/LCA/FT2_residual_bc_prior_fixed_LCA_train2010_seed0.zip,0.0015744849554072955,0.08830185254414877,0.015089794993400574,0.3898852976659934,6.469358707654499e-06,-5.051616050302982,-0.3446657330729023,0.797512453670303
LCA,2009,ok,True,102,9045.416259765625,9.732091426849365,180.32933995127678,0.0,0.00024068121816597733,40.50578189641237,Leave_One_experiments/prior_replay_debug/daily_outputs/LCA/LCA_FT2_residual_bc_prior_fixed_eval2009_daily.csv,fixed_simday_safety_constrained_eval,FT2_residual_bc_prior_fixed,2010,0,Leave_One_experiments/prior_replay_debug/models/LCA/FT2_residual_bc_prior_fixed_LCA_train2010_seed0.zip,0.0025905836503812953,0.12985420960914565,0.03244030475616455,0.4007318665583928,-2.0109515707273692e-16,-0.17066004872322083,-0.3155301334312376,0.7834139143427213
HLA,2011,ok,True,169,6146.842041015625,100.0,200.0,0.0,0.13623531048114484,-38.53157958984375,Leave_One_experiments/prior_replay_debug/daily_outputs/HLA/HLA_FT3_budget_guardrail_100_200_fixed_eval2011_daily.csv,fixed_simday_safety_constrained_eval,FT3_budget_guardrail_100_200_fixed,2011,0,Leave_One_experiments/prior_replay_debug/models/HLA/FT3_budget_guardrail_100_200_fixed_HLA_train2011_seed0.zip,0.0177975325985049,0.885,0.3333333333333333,0.4444444444444444,-0.029332490596634484,67.25,0.10602721885045113,0.6111111111111112
HLA,2007,ok,True,149,6891.5338134765625,100.0,200.0,0.0,0.07943004589752863,-31.084661865234366,Leave_One_experiments/prior_replay_debug/daily_outputs/HLA/HLA_FT3_budget_guardrail_100_200_fixed_eval2007_daily.csv,fixed_simday_safety_constrained_eval,FT3_budget_guardrail_100_200_fixed,2011,0,Leave_One_experiments/prior_replay_debug/models/HLA/FT3_budget_guardrail_100_200_fixed_HLA_train2011_seed0.zip,0.020193409903086094,0.885,0.3333333333333333,0.4444444444444444,-0.10221636382556555,67.25,-0.0022778539794493383,0.6111111111111112
HLA,2009,ok,True,159,6770.328369140625,100.0,200.0,0.0,0.16378991221481898,-32.296716308593744,Leave_One_experiments/prior_replay_debug/daily_outputs/HLA/HLA_FT3_budget_guardrail_100_200_fixed_eval2009_daily.csv,fixed_simday_safety_constrained_eval,FT3_budget_guardrail_100_200_fixed,2011,0,Leave_One_experiments/prior_replay_debug/models/HLA/FT3_budget_guardrail_100_200_fixed_HLA_train2011_seed0.zip,0.018958134256038366,0.885,0.3333333333333333,0.4444444444444444,0.04867863957302611,67.25,0.015349794077952476,0.6111111111111112
SYA,2012,ok,True,135,9607.750854492188,100.0,200.0,0.0,0.019955811677155672,-3.9224914550781165,Leave_One_experiments/prior_replay_debug/daily_outputs/SYA/SYA_FT3_budget_guardrail_100_200_fixed_eval2012_daily.csv,fixed_simday_safety_constrained_eval,FT3_budget_guardrail_100_200_fixed,2012,0,Leave_One_experiments/prior_replay_debug/models/SYA/FT3_budget_guardrail_100_200_fixed_SYA_train2012_seed0.zip,0.00998019534259209,0.39387883245944977,0.3333333333333333,0.4444444444444444,-0.10589171655694517,61.5,-0.39731388811858726,0.6111111111111112
SYA,2014,ok,True,144,9876.912841796875,100.0,200.0,0.038654640006522335,0.05250187073316839,-1.2308715820312415,Leave_One_experiments/prior_replay_debug/daily_outputs/SYA/SYA_FT3_budget_guardrail_100_200_fixed_eval2014_daily.csv,fixed_simday_safety_constrained_eval,FT3_budget_guardrail_100_200_fixed,2012,0,Leave_One_experiments/prior_replay_debug/models/SYA/FT3_budget_guardrail_100_200_fixed_SYA_train2012_seed0.zip,0.009356716882956986,0.3936641365289688,0.3333333333333333,0.4444444444444444,-0.12793614042048107,61.5,-0.4364597598954962,0.6111111111111112
SYA,2015,ok,True,143,10116.757202148438,100.0,200.0,0.0,0.04278914578311093,1.167572021484375,Leave_One_experiments/prior_replay_debug/daily_outputs/SYA/SYA_FT3_budget_guardrail_100_200_fixed_eval2015_daily.csv,fixed_simday_safety_constrained_eval,FT3_budget_guardrail_100_200_fixed,2012,0,Leave_One_experiments/prior_replay_debug/models/SYA/FT3_budget_guardrail_100_200_fixed_SYA_train2012_seed0.zip,0.00942191649331728,0.3938106298446655,0.3333333333333333,0.4444444444444444,-0.1639154162083941,61.5,-0.47134179012106775,0.6111111111111112
LCA,2010,ok,True,92,8011.7169189453125,99.4218634441495,200.0,0.0,0.000298977546069933,-19.593762532621625,Leave_One_experiments/prior_replay_debug/daily_outputs/LCA/LCA_FT3_budget_guardrail_100_200_fixed_eval2010_daily.csv,fixed_simday_safety_constrained_eval,FT3_budget_guardrail_100_200_fixed,2010,0,Leave_One_experiments/prior_replay_debug/models/LCA/FT3_budget_guardrail_100_200_fixed_LCA_train2010_seed0.zip,0.023624776715845078,0.5783333333333334,0.3314062114804983,0.4444444444444444,0.0014537286389941836,19.5,-0.16519292476060385,0.6120746720375286
LCA,2011,ok,True,102,9025.127563476562,100.0,200.0,0.0,0.000405421444014007,-9.748724365234366,Leave_One_experiments/prior_replay_debug/daily_outputs/LCA/LCA_FT3_budget_guardrail_100_200_fixed_eval2011_daily.csv,fixed_simday_safety_constrained_eval,FT3_budget_guardrail_100_200_fixed,2010,0,Leave_One_experiments/prior_replay_debug/models/LCA/FT3_budget_guardrail_100_200_fixed_LCA_train2010_seed0.zip,0.02139630062874423,0.5783333333333334,0.3333333333333333,0.4444444444444444,0.011123049926861285,19.5,-0.31257942441245906,0.6111111111111112
LCA,2008,ok,True,105,9161.483154296875,94.60119791328907,200.0,0.0010741983141217912,0.0010252453031994048,-5.6857674136757765,Leave_One_experiments/prior_replay_debug/daily_outputs/LCA/LCA_FT3_budget_guardrail_100_200_fixed_eval2008_daily.csv,fixed_simday_safety_constrained_eval,FT3_budget_guardrail_100_200_fixed,2010,0,Leave_One_experiments/prior_replay_debug/models/LCA/FT3_budget_guardrail_100_200_fixed_LCA_train2010_seed0.zip,0.02045868529803433,0.5783333333333334,0.31533732637763023,0.4444444444444444,0.009120409486641204,19.5,-0.33241045080577497,0.6201091145889627
LCA,2009,ok,True,102,8995.492553710938,95.7066748291254,200.0,0.0,0.0002047571481442919,-7.898411877453327,Leave_One_experiments/prior_replay_debug/daily_outputs/LCA/LCA_FT3_budget_guardrail_100_200_fixed_eval2009_daily.csv,fixed_simday_safety_constrained_eval,FT3_budget_guardrail_100_200_fixed,2010,0,Leave_One_experiments/prior_replay_debug/models/LCA/FT3_budget_guardrail_100_200_fixed_LCA_train2010_seed0.zip,0.020937416743153008,0.5783333333333334,0.319022249430418,0.4444444444444444,0.005519227045055775,19.5,-0.3082694239402178,0.6182666530625688
