station,train_year,finetune_method,run_status,model_path
HLA,2011,FT2_residual_bc_prior_fixed,ok,Leave_One_experiments/prior_replay_debug/models/HLA/FT2_residual_bc_prior_fixed_HLA_train2011_seed0.zip
SYA,2012,FT2_residual_bc_prior_fixed,ok,Leave_One_experiments/prior_replay_debug/models/SYA/FT2_residual_bc_prior_fixed_SYA_train2012_seed0.zip
LCA,2010,FT2_residual_bc_prior_fixed,ok,Leave_One_experiments/prior_replay_debug/models/LCA/FT2_residual_bc_prior_fixed_LCA_train2010_seed0.zip
HLA,2011,FT3_budget_guardrail_100_200_fixed,ok,Leave_One_experiments/prior_replay_debug/models/HLA/FT3_budget_guardrail_100_200_fixed_HLA_train2011_seed0.zip
SYA,2012,FT3_budget_guardrail_100_200_fixed,ok,Leave_One_experiments/prior_replay_debug/models/SYA/FT3_budget_guardrail_100_200_fixed_SYA_train2012_seed0.zip
LCA,2010,FT3_budget_guardrail_100_200_fixed,ok,Leave_One_experiments/prior_replay_debug/models/LCA/FT3_budget_guardrail_100_200_fixed_LCA_train2010_seed0.zip
