station,train_year,finetune_method,run_status,model_path
HLA,2011,FT1_bc_penalty_lambda_0p5,ok,Leave_One_experiments/constrained_ppo_finetuning/models/HLA/FT1_bc_penalty_lambda_0p5_HLA_train2011_seed0.zip
SYA,2012,FT1_bc_penalty_lambda_0p5,ok,Leave_One_experiments/constrained_ppo_finetuning/models/SYA/FT1_bc_penalty_lambda_0p5_SYA_train2012_seed0.zip
LCA,2010,FT1_bc_penalty_lambda_0p5,ok,Leave_One_experiments/constrained_ppo_finetuning/models/LCA/FT1_bc_penalty_lambda_0p5_LCA_train2010_seed0.zip
HLA,2011,FT2_residual_bc_prior,ok,Leave_One_experiments/constrained_ppo_finetuning/models/HLA/FT2_residual_bc_prior_HLA_train2011_seed0.zip
SYA,2012,FT2_residual_bc_prior,ok,Leave_One_experiments/constrained_ppo_finetuning/models/SYA/FT2_residual_bc_prior_SYA_train2012_seed0.zip
LCA,2010,FT2_residual_bc_prior,ok,Leave_One_experiments/constrained_ppo_finetuning/models/LCA/FT2_residual_bc_prior_LCA_train2010_seed0.zip
HLA,2011,FT3_budget_guardrail_100_200,ok,Leave_One_experiments/constrained_ppo_finetuning/models/HLA/FT3_budget_guardrail_100_200_HLA_train2011_seed0.zip
SYA,2012,FT3_budget_guardrail_100_200,ok,Leave_One_experiments/constrained_ppo_finetuning/models/SYA/FT3_budget_guardrail_100_200_SYA_train2012_seed0.zip
LCA,2010,FT3_budget_guardrail_100_200,ok,Leave_One_experiments/constrained_ppo_finetuning/models/LCA/FT3_budget_guardrail_100_200_LCA_train2010_seed0.zip
