station,year,policy_type,policy_name,final_grnwt,total_irrigation,total_n_fertilizer,profit_score,mean_swfac,mean_nstres,yield_loss_vs_ppo,input_reduction_vs_ppo,notes
HLA,2011,expert_schedule,HLA2011_S0157,6364.142456054688,0.0,150.0,26.14142456054688,0.0,0.1126488655276552,0.074423892283542,0.8333333333333334,best_offline_schedule
HLA,2007,expert_schedule,HLA2011_S0157,6799.5751953125,0.0,150.0,30.495751953124994,0.0,0.0851035688147448,0.0110962495166628,0.8333333333333334,best_offline_schedule
HLA,2009,expert_schedule,HLA2011_S0157,7094.6240234375,0.0,150.0,33.446240234375,0.0,0.1886217450758196,-0.031814503630044,0.8333333333333334,best_offline_schedule
SYA,2012,expert_schedule,SYA2012_S0443,9010.3125,0.0,150.0,52.603125000000006,0.0,0.0524276985062493,-0.3104247792449607,0.8333333333333334,best_offline_schedule
SYA,2014,expert_schedule,SYA2012_S0443,8881.16943359375,0.0,150.0,51.3116943359375,0.0508358956625064,0.075463554304507,-0.2916427143291848,0.8333333333333334,best_offline_schedule
SYA,2015,expert_schedule,SYA2012_S0443,9074.083862304688,0.0,150.0,53.24083862304688,0.0,0.0702621296985999,-0.3196994379618777,0.8333333333333334,best_offline_schedule
LCA,2010,expert_schedule,LCA2010_S0313,8008.47412109375,0.0,150.0,42.58474121093751,0.0,0.0037813193124273,-0.1647213048629843,0.8333333333333334,best_offline_schedule
LCA,2011,expert_schedule,LCA2010_S0313,8909.713134765625,0.0,150.0,51.59713134765626,0.0,0.0298672522984299,-0.2957939991272413,0.8333333333333334,best_offline_schedule
LCA,2008,expert_schedule,LCA2010_S0313,9245.798950195312,0.0,150.0,54.95798950195312,0.0,0.0253194610277811,-0.3446730119796602,0.8333333333333334,best_offline_schedule
LCA,2009,expert_schedule,LCA2010_S0313,8864.37744140625,0.0,150.0,51.143774414062506,0.0,0.015838941522673,-0.2892005523447489,0.8333333333333334,best_offline_schedule
HLA,2011,imitation_policy,BC_random_forest_regressor,4469.0631103515625,0.0,110.75605158730158,17.00161820669023,0.0,0.150367371429353,0.3500368561229986,0.8769377204585538,behavior_cloning_policy
HLA,2007,imitation_policy,BC_random_forest_regressor,4011.401977539064,0.0,110.75605158730158,12.425006878565227,0.0,0.1401349110091292,0.4165973099291034,0.8769377204585538,behavior_cloning_policy
