station,policy_name,finetune_method,prior_policy,train_year,eval_year,seed,model_path,run_status,episode_completed,episode_length,final_grnwt,total_irrigation,total_n_fertilizer,mean_swfac,mean_nstres,profit_score,bc_action_deviation_mean,bc_action_deviation_max,irrigation_saturation_ratio_300_450,n_saturation_ratio_300_450,irrigation_saturation_ratio_guardrail,n_saturation_ratio_guardrail,daily_csv_path,figure_dir,notes,yield_loss_vs_prior,yield_loss_vs_expert,yield_loss_vs_ppo_baseline,input_reduction_vs_ppo_baseline
HLA,FT1_bc_penalty_lambda_0p5_HLA_train2011_seed0,FT1_bc_penalty_lambda_0p5,BC_two_stage_classifier_regressor,2011,2011,0,Leave_One_experiments/constrained_ppo_finetuning/models/HLA/FT1_bc_penalty_lambda_0p5_HLA_train2011_seed0.zip,ok,True,169,6645.321044921875,300.0,450.0,0.0,0.0010484139594806017,-196.04678955078126,0.03974686594506602,0.885,1.0,1.0,1.0,1.0,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/HLA/FT1_bc_penalty_lambda_0p5_HLA_train2011_seed0_eval2011_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/HLA/FT1_bc_penalty_lambda_0p5/eval_2011,constrained_ppo_eval,-0.11280635102402423,-0.0441816931045722,0.033530372747489046,0.0
HLA,FT1_bc_penalty_lambda_0p5_HLA_train2011_seed0,FT1_bc_penalty_lambda_0p5,BC_two_stage_classifier_regressor,2011,2007,0,Leave_One_experiments/constrained_ppo_finetuning/models/HLA/FT1_bc_penalty_lambda_0p5_HLA_train2011_seed0.zip,ok,True,149,7165.6866455078125,300.0,450.0,0.0,0.0004705458679455239,-190.84313354492187,0.04508924050913212,0.885,1.0,1.0,1.0,1.0,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/HLA/FT1_bc_penalty_lambda_0p5_HLA_train2011_seed0_eval2007_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/HLA/FT1_bc_penalty_lambda_0p5/eval_2007,constrained_ppo_eval,-0.14606374901332353,-0.053843282805035066,-0.04214957478757132,0.0
HLA,FT1_bc_penalty_lambda_0p5_HLA_train2011_seed0,FT1_bc_penalty_lambda_0p5,BC_two_stage_classifier_regressor,2011,2009,0,Leave_One_experiments/constrained_ppo_finetuning/models/HLA/FT1_bc_penalty_lambda_0p5_HLA_train2011_seed0.zip,ok,True,159,7356.0919189453125,300.0,450.0,0.0,0.0005770022014401993,-188.93908081054687,0.042243749634460696,0.885,1.0,1.0,1.0,1.0,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/HLA/FT1_bc_penalty_lambda_0p5_HLA_train2011_seed0_eval2009_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/HLA/FT1_bc_penalty_lambda_0p5/eval_2009,constrained_ppo_eval,-0.033628945333592224,-0.03685436954009659,-0.06984137664365704,0.0
SYA,FT1_bc_penalty_lambda_0p5_SYA_train2012_seed0,FT1_bc_penalty_lambda_0p5,BC_two_stage_classifier_regressor,2012,2012,0,Leave_One_experiments/constrained_ppo_finetuning/models/SYA/FT1_bc_penalty_lambda_0p5_SYA_train2012_seed0.zip,ok,True,135,8443.612060546875,300.0,450.0,0.0,0.00042477537084508826,-178.06387939453123,0.049596036585225954,0.9233333333333333,1.0,1.0,1.0,1.0,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/SYA/FT1_bc_penalty_lambda_0p5_SYA_train2012_seed0_eval2012_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/SYA/FT1_bc_penalty_lambda_0p5/eval_2012,constrained_ppo_eval,0.028105456001372483,0.06289464870981168,-0.22800607309371645,0.0
SYA,FT1_bc_penalty_lambda_0p5_SYA_train2012_seed0,FT1_bc_penalty_lambda_0p5,BC_two_stage_classifier_regressor,2012,2014,0,Leave_One_experiments/constrained_ppo_finetuning/models/SYA/FT1_bc_penalty_lambda_0p5_SYA_train2012_seed0.zip,ok,True,144,10361.763916015625,300.0,450.0,0.0,0.0003979040516747369,-158.88236083984373,0.046490774663432544,0.9233333333333333,1.0,1.0,1.0,1.0,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/SYA/FT1_bc_penalty_lambda_0p5_SYA_train2012_seed0_eval2014_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/SYA/FT1_bc_penalty_lambda_0p5/eval_2014,constrained_ppo_eval,-0.18330577444405405,-0.166711658131575,-0.5069746129485715,0.0
SYA,FT1_bc_penalty_lambda_0p5_SYA_train2012_seed0,FT1_bc_penalty_lambda_0p5,BC_two_stage_classifier_regressor,2012,2015,0,Leave_One_experiments/constrained_ppo_finetuning/models/SYA/FT1_bc_penalty_lambda_0p5_SYA_train2012_seed0.zip,ok,True,143,10199.031982421875,300.0,450.0,0.0,0.0003445540274773444,-160.50968017578123,0.04681780978019566,0.9233333333333333,1.0,1.0,1.0,1.0,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/SYA/FT1_bc_penalty_lambda_0p5_SYA_train2012_seed0_eval2015_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/SYA/FT1_bc_penalty_lambda_0p5/eval_2015,constrained_ppo_eval,-0.17338098736048976,-0.12397374073105236,-0.48330751392667903,0.0
LCA,FT1_bc_penalty_lambda_0p5_LCA_train2010_seed0,FT1_bc_penalty_lambda_0p5,BC_two_stage_classifier_regressor,2010,2010,0,Leave_One_experiments/constrained_ppo_finetuning/models/LCA/FT1_bc_penalty_lambda_0p5_LCA_train2010_seed0.zip,ok,True,92,7992.0489501953125,80.25917559862137,421.73739671707153,0.0060485899448394775,0.0002987663383069246,-65.64344747662544,0.05108349983599414,0.625,0.2675305853287379,0.9371942149268256,0.2675305853287379,0.9371942149268256,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/LCA/FT1_bc_penalty_lambda_0p5_LCA_train2010_seed0_eval2010_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/LCA/FT1_bc_penalty_lambda_0p5/eval_2010,constrained_ppo_eval,0.003905060489488805,0.0020509738372225953,-0.1623324919390546,0.39763759987221825
LCA,FT1_bc_penalty_lambda_0p5_LCA_train2010_seed0,FT1_bc_penalty_lambda_0p5,BC_two_stage_classifier_regressor,2010,2011,0,Leave_One_experiments/constrained_ppo_finetuning/models/LCA/FT1_bc_penalty_lambda_0p5_LCA_train2010_seed0.zip,ok,True,102,9111.873168945312,81.16277307271957,450.0,0.0,0.0005292349001940559,-61.96265484690666,0.04802068538396387,0.625,0.27054257690906525,1.0,0.27054257690906525,1.0,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/LCA/FT1_bc_penalty_lambda_0p5_LCA_train2010_seed0_eval2011_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/LCA/FT1_bc_penalty_lambda_0p5/eval_2011,constrained_ppo_eval,0.0016183942679952568,-0.02268984771135456,-0.32519536763272555,0.3647287115454674
LCA,FT1_bc_penalty_lambda_0p5_LCA_train2010_seed0,FT1_bc_penalty_lambda_0p5,BC_two_stage_classifier_regressor,2010,2008,0,Leave_One_experiments/constrained_ppo_finetuning/models/LCA/FT1_bc_penalty_lambda_0p5_LCA_train2010_seed0.zip,ok,True,105,9225.650634765625,81.30533024668694,450.0,0.0,0.0002793096360706148,-60.89615877568721,0.04666185672286631,0.625,0.27101776748895645,1.0,0.27101776748895645,1.0,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/LCA/FT1_bc_penalty_lambda_0p5_LCA_train2010_seed0_eval2008_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/LCA/FT1_bc_penalty_lambda_0p5/eval_2008,constrained_ppo_eval,0.00218023989834393,0.0021791859782179105,-0.3417427194066661,0.3644911162555218
LCA,FT1_bc_penalty_lambda_0p5_LCA_train2010_seed0,FT1_bc_penalty_lambda_0p5,BC_two_stage_classifier_regressor,2010,2009,0,Leave_One_experiments/constrained_ppo_finetuning/models/LCA/FT1_bc_penalty_lambda_0p5_LCA_train2010_seed0.zip,ok,True,102,9045.416259765625,80.89592754840851,450.0,0.0,0.00024068121816597733,-62.493801176548004,0.04799407769313519,0.625,0.2696530918280284,1.0,0.2696530918280284,1.0,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/LCA/FT1_bc_penalty_lambda_0p5_LCA_train2010_seed0_eval2009_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/LCA/FT1_bc_penalty_lambda_0p5/eval_2009,constrained_ppo_eval,-2.0109515707273692e-16,-0.020423184770283754,-0.3155301334312376,0.3651734540859858
