station,year,treatment_id,treatment_name,total_irrigation,total_n,run_status,error_message,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,profit_default,profit_low_water_cost,mean_swfac,max_swfac,swfac_stress_days_gt_0p05,swfac_stress_days_gt_0p10,mean_nstres,max_nstres,nstres_days_gt_0p05,daily_csv_path,notes,schedule_id,yield_gain_vs_augmented_rf_prior,profit_gain_vs_augmented_rf_prior_default,profit_gain_vs_augmented_rf_prior_low_water_cost,yield_per_100mm_irrigation,recommendation_type,is_pareto
FQA,2008,FQA2008_IRR0011,FQA2008_IRR0011,70.0,150.0,ok_cached,,True,105,4923.003540039063,7668.7054443359375,0.7166659832000732,-23.269964599609366,4.7300354003906335,0.0,0.0,0,0,0.07636942295801072,0.3851946592330932,29,Leave_One_experiments\water_nitrogen_factorial_diagnosis\daily_outputs\FQA\FQA_2008_FQA2008_IRR0011_daily.csv,,FQA2008_IRR0011,-1580.273193359374,-67.84545350889346,-39.84545350889345,7032.862200055805,,False
FQA,2008,FQA2008_IRR0012,FQA2008_IRR0012,70.0,150.0,ok_cached,,True,105,7549.9932861328125,12819.53125,0.9832037091255188,2.9999328613281335,30.999932861328134,0.0,0.0,0,0,0.007391239915575294,0.0925673246383667,9,Leave_One_experiments\water_nitrogen_factorial_diagnosis\daily_outputs\FQA\FQA_2008_FQA2008_IRR0012_daily.csv,,FQA2008_IRR0012,1046.716552734375,-41.57555604795595,-13.57555604795595,10785.704694475447,,False
FQA,2008,FQA2008_IRR0013,FQA2008_IRR0013,70.0,150.0,ok_cached,,True,105,7426.7510986328125,12635.120849609377,0.968214213848114,1.7675109863281335,29.767510986328134,0.004957135518391926,0.2916524410247803,2,2,0.00018187477475120763,0.0121910572052001,0,Leave_One_experiments\water_nitrogen_factorial_diagnosis\daily_outputs\FQA\FQA_2008_FQA2008_IRR0013_daily.csv,,FQA2008_IRR0013,923.474365234375,-42.80797792295595,-14.80797792295595,10609.644426618304,,False
FQA,2008,FQA2008_IRR0014,FQA2008_IRR0014,70.0,150.0,ok_cached,,True,105,7545.2490234375,12645.72509765625,0.9645634293556212,2.9524902343750057,30.952490234375006,0.0072098516282581146,0.3446959853172302,3,3,0.00018187477475120763,0.0121910572052001,0,Leave_One_experiments\water_nitrogen_factorial_diagnosis\daily_outputs\FQA\FQA_2008_FQA2008_IRR0014_daily.csv,,FQA2008_IRR0014,1041.9722900390625,-41.62299867490908,-13.622998674909077,10778.927176339286,,False
FQA,2008,FQA2008_IRR0015,FQA2008_IRR0015,70.0,150.0,ok_cached,,True,105,7477.745361328125,12490.8984375,0.962599515914917,2.277453613281253,30.277453613281253,0.009791202772231326,0.3718360066413879,4,3,0.00018187477475120763,0.0121910572052001,0,Leave_One_experiments\water_nitrogen_factorial_diagnosis\daily_outputs\FQA\FQA_2008_FQA2008_IRR0015_daily.csv,,FQA2008_IRR0015,974.4686279296875,-42.29803529600283,-14.29803529600283,10682.493373325893,,False
FQA,2008,FQA2008_IRR0016,FQA2008_IRR0016,70.0,150.0,ok_cached,,True,105,4923.003540039063,7641.165771484375,0.7166659832000732,-23.269964599609366,4.7300354003906335,0.0,0.0,0,0,0.07636942295801072,0.3851946592330932,29,Leave_One_experiments\water_nitrogen_factorial_diagnosis\daily_outputs\FQA\FQA_2008_FQA2008_IRR0016_daily.csv,,FQA2008_IRR0016,-1580.273193359374,-67.84545350889346,-39.84545350889345,7032.862200055805,,False
FQA,2008,FQA2008_IRR0017,FQA2008_IRR0017,70.0,150.0,ok_cached,,True,105,7549.9932861328125,12810.732421875,0.9832037091255188,2.9999328613281335,30.999932861328134,0.0,0.0,0,0,0.007391239915575294,0.0925673246383667,9,Leave_One_experiments\water_nitrogen_factorial_diagnosis\daily_outputs\FQA\FQA_2008_FQA2008_IRR0017_daily.csv,,FQA2008_IRR0017,1046.716552734375,-41.57555604795595,-13.57555604795595,10785.704694475447,,False
FQA,2008,FQA2008_IRR0018,FQA2008_IRR0018,70.0,150.0,ok_cached,,True,105,7426.7510986328125,12628.27392578125,0.968214213848114,1.7675109863281335,29.767510986328134,0.004957135518391926,0.2916524410247803,2,2,0.00018187477475120763,0.0121910572052001,0,Leave_One_experiments\water_nitrogen_factorial_diagnosis\daily_outputs\FQA\FQA_2008_FQA2008_IRR0018_daily.csv,,FQA2008_IRR0018,923.474365234375,-42.80797792295595,-14.80797792295595,10609.644426618304,,False
FQA,2008,FQA2008_IRR0019,FQA2008_IRR0019,70.0,150.0,ok_cached,,True,105,7545.2490234375,12638.40087890625,0.9645634293556212,2.9524902343750057,30.952490234375006,0.0072098516282581146,0.3446959853172302,3,3,0.00018187477475120763,0.0121910572052001,0,Leave_One_experiments\water_nitrogen_factorial_diagnosis\daily_outputs\FQA\FQA_2008_FQA2008_IRR0019_daily.csv,,FQA2008_IRR0019,1041.9722900390625,-41.62299867490908,-13.622998674909077,10778.927176339286,,False
FQA,2008,FQA2008_IRR0020,FQA2008_IRR0020,70.0,150.0,ok_cached,,True,105,7472.869262695312,12478.59375,0.962599515914917,2.2286926269531193,30.22869262695312,0.009965648537590388,0.3718360066413879,4,3,0.00018187477475120763,0.0121910572052001,0,Leave_One_experiments\water_nitrogen_factorial_diagnosis\daily_outputs\FQA\FQA_2008_FQA2008_IRR0020_daily.csv,,FQA2008_IRR0020,969.5925292968741,-42.34679628233096,-14.346796282330963,10675.52751813616,,False
