station,year,treatment_id,treatment_name,total_irrigation,total_n,run_status,error_message,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,profit_default,profit_low_water_cost,mean_swfac,max_swfac,swfac_stress_days_gt_0p05,swfac_stress_days_gt_0p10,mean_nstres,max_nstres,nstres_days_gt_0p05,daily_csv_path,notes,yield_gain_vs_T0,yield_gain_vs_N_only_medium,yield_gain_from_irrigation_at_same_N,yield_gain_from_n_at_same_irrigation,profit_gain_from_irrigation_at_same_N_default,profit_gain_from_irrigation_at_same_N_low_water_cost,water_productivity,n_productivity
LCA,2010,T2,T2_N_only_medium,0.0,150.0,ok,,True,92,7977.899169921875,15403.65234375,1.486824870109558,42.27899169921875,42.27899169921875,0.0003893317087836887,0.035818517208099365,0,0,0.005125430615051933,0.12053894996643066,4,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/LCA/LCA_2010_T2_N_only_medium_daily.csv,,5203.4014892578125,0.0,,5203.4014892578125,,,,5318.599446614583
LCA,2010,T3,T3_I_only_low,60.0,0.0,ok,,True,92,2789.87548828125,4834.6502685546875,0.3393341302871704,-2.1012451171874993,21.8987548828125,0.0,0.0,0,0,0.22286292068336322,0.5032879710197449,73,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/LCA/LCA_2010_T3_I_only_low_daily.csv,,15.3778076171875,-5188.023681640625,15.3778076171875,,-29.846221923828125,-5.846221923828125,4649.79248046875,
LCA,2010,T4,T4_N_medium_I_low,60.0,150.0,ok,,True,92,7977.899169921875,15403.768310546875,1.486824870109558,12.27899169921875,36.27899169921875,0.0003893317087836887,0.035818517208099365,0,0,0.005506055510562399,0.12053894996643066,4,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/LCA/LCA_2010_T4_N_medium_I_low_daily.csv,,5203.4014892578125,0.0,0.0,,-30.0,-6.0,13296.498616536459,5318.599446614583
LCA,2010,T5,T5_N_medium_I_mid,120.0,150.0,ok,,True,92,8071.087646484375,15768.079833984375,1.5449098348617554,-16.78912353515625,31.21087646484375,0.0,0.0,0,0,0.0022900694090387096,0.05357956886291504,3,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/LCA/LCA_2010_T5_N_medium_I_mid_daily.csv,,5296.5899658203125,93.1884765625,93.1884765625,,-59.068115234375,-11.068115234375,6725.9063720703125,5380.72509765625
LCA,2010,T6,T6_N_high_I_mid,120.0,225.0,ok,,True,92,8077.5537109375,15679.268798828125,1.545177698135376,-35.47446289062499,12.525537109375009,0.0,0.0,0,0,0.0002987663383069246,0.012191057205200195,0,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/LCA/LCA_2010_T6_N_high_I_mid_daily.csv,,5303.0560302734375,99.654541015625,,,,,6731.294759114584,3590.023871527778
LCA,2011,T0,T0_null_zero,0.0,0.0,ok,,True,102,2861.1776733398438,5122.003173828125,0.31834936141967773,28.61177673339844,28.61177673339844,0.0,0.0,0,0,0.21866149937405305,0.4839169383049011,84,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/LCA/LCA_2011_T0_null_zero_daily.csv,,0.0,-5918.918151855469,,,,,,
LCA,2011,T1,T1_N_only_low,0.0,75.0,ok,,True,102,6520.6005859375,12143.133544921875,1.0924310684204102,46.456005859375,46.456005859375,0.0,0.0,0,0,0.1196176497375264,0.36288440227508545,67,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/LCA/LCA_2011_T1_N_only_low_daily.csv,,3659.4229125976562,-2259.4952392578125,,3659.4229125976562,,,,8694.134114583334
LCA,2011,T2,T2_N_only_medium,0.0,150.0,ok,,True,102,8780.095825195312,16657.845458984375,1.7228132486343384,50.30095825195313,50.30095825195313,0.0,0.0,0,0,0.039844188620062435,0.1657160520553589,35,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/LCA/LCA_2011_T2_N_only_medium_daily.csv,,5918.918151855469,0.0,,5918.918151855469,,,,5853.397216796875
LCA,2011,T3,T3_I_only_low,60.0,0.0,ok,,True,102,2836.0116577148438,5085.748596191406,0.3128521144390106,-1.639883422851561,22.36011657714844,0.0,0.0,0,0,0.22063269451552747,0.4839169383049011,84,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/LCA/LCA_2011_T3_I_only_low_daily.csv,,-25.166015625,-5944.084167480469,-25.166015625,,-30.25166015625,-6.251660156250001,4726.686096191406,
LCA,2011,T4,T4_N_medium_I_low,60.0,150.0,ok,,True,102,8858.048706054688,16871.824951171875,1.7537792921066284,21.080487060546872,45.08048706054687,0.0,0.0,0,0,0.04008217302023196,0.17468315362930298,32,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/LCA/LCA_2011_T4_N_medium_I_low_daily.csv,,5996.871032714844,77.952880859375,77.952880859375,,-29.22047119140626,-5.220471191406261,14763.414510091146,5905.365804036458
