site,rain_scale,agent,PRCP,ETCP,PRCP_minus_ETCP,site_name,mode,template,weather,soil,PDATE,n_days,swfac_stress_days_gt_0.05,swfac_stress_days_gt_0.10,max_swfac,mean_swfac,turfac_stress_days_gt_0.05,turfac_stress_days_gt_0.10,max_turfac,mean_turfac,nstres_days_gt_0.05,max_nstres,mean_nstres,mean_trnu,final_trnu,max_grnwt,total_anfer,total_amir,final_totir,template_irrigation_mm,total_reward,note,terminated_normally,max_steps,trace_dir,annual_rain_before,annual_rain_after,scenario_data_dir
HL,1.0,null,345.59999999999997,496.0,-150.40000000000003,Hailun,all,my_data_rain_scaling/HL/scale1/UFGA8201-HL.jinja2,my_data_rain_scaling/HL/scale1/CNHL0701.WTH,my_data_rain_scaling/HL/scale1/HL.SOL,07125,145,0,0,0.0,0.0,0,0,,,114,0.798799991607666,0.39707172410241487,,,438.56319427490234,0.0,0.0,0.0,30.0,865.6204082526529,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment",True,260,output_hl/rain_scaling_diagnostics/HL_1,428.0,428.0,my_data_rain_scaling/HL/scale1
HL,1.0,expert,345.59999999999997,496.0,-150.40000000000003,Hailun,all,my_data_rain_scaling/HL/scale1/UFGA8201-HL.jinja2,my_data_rain_scaling/HL/scale1/CNHL0701.WTH,my_data_rain_scaling/HL/scale1/HL.SOL,07125,145,0,0,0.0,0.0,0,0,,,73,0.5951496660709381,0.10927903343891275,,,6414.691162109375,164.9999976158142,29.999998211860657,29.999996185302734,30.0,16056.179687324038,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment",True,260,output_hl/rain_scaling_diagnostics/HL_1,428.0,428.0,my_data_rain_scaling/HL/scale1
HL,0.8,null,276.5,496.0,-219.5,Hailun,all,my_data_rain_scaling/HL/scale0p8/UFGA8201-HL.jinja2,my_data_rain_scaling/HL/scale0p8/CNHL0701.WTH,my_data_rain_scaling/HL/scale0p8/HL.SOL,07125,145,0,0,0.0,0.0,0,0,,,114,0.798799991607666,0.394237134991021,,,467.80296325683594,0.0,0.0,0.0,30.0,915.7925620715287,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment",True,260,output_hl/rain_scaling_diagnostics/HL_0p8,428.0,342.4,my_data_rain_scaling/HL/scale0p8
HL,0.8,expert,276.5,496.0,-219.5,Hailun,all,my_data_rain_scaling/HL/scale0p8/UFGA8201-HL.jinja2,my_data_rain_scaling/HL/scale0p8/CNHL0701.WTH,my_data_rain_scaling/HL/scale0p8/HL.SOL,07125,145,0,0,0.0,0.0,0,0,,,71,0.6048734188079834,0.0973746774525478,,,6822.0025634765625,164.9999976158142,29.999998211860657,29.999996185302734,30.0,16920.7648429487,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment",True,260,output_hl/rain_scaling_diagnostics/HL_0p8,428.0,342.4,my_data_rain_scaling/HL/scale0p8
HL,0.6,null,207.3,496.0,-288.7,Hailun,all,my_data_rain_scaling/HL/scale0p6/UFGA8201-HL.jinja2,my_data_rain_scaling/HL/scale0p6/CNHL0701.WTH,my_data_rain_scaling/HL/scale0p6/HL.SOL,07125,145,0,0,0.0,0.0,0,0,,,114,0.798799991607666,0.3961676559571562,,,468.739013671875,0.0,0.0,0.0,30.0,936.7106895554753,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment",True,260,output_hl/rain_scaling_diagnostics/HL_0p6,428.0,256.8,my_data_rain_scaling/HL/scale0p6
HL,0.6,expert,207.3,496.0,-288.7,Hailun,all,my_data_rain_scaling/HL/scale0p6/UFGA8201-HL.jinja2,my_data_rain_scaling/HL/scale0p6/CNHL0701.WTH,my_data_rain_scaling/HL/scale0p6/HL.SOL,07125,145,18,18,1.0,0.09665847081562569,0,0,,,34,0.4043867588043213,0.06269660365992578,,,6276.0400390625,164.9999976158142,29.999998211860657,29.999996185302734,30.0,16951.014177522105,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment",True,260,output_hl/rain_scaling_diagnostics/HL_0p6,428.0,256.8,my_data_rain_scaling/HL/scale0p6
HL,0.4,null,138.3,496.0,-357.7,Hailun,all,my_data_rain_scaling/HL/scale0p4/UFGA8201-HL.jinja2,my_data_rain_scaling/HL/scale0p4/CNHL0701.WTH,my_data_rain_scaling/HL/scale0p4/HL.SOL,07125,145,0,0,0.0,0.0,0,0,,,115,0.798799991607666,0.3977858560866323,,,462.73197174072266,0.0,0.0,0.0,30.0,948.1014151979616,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment",True,260,output_hl/rain_scaling_diagnostics/HL_0p4,428.0,171.2,my_data_rain_scaling/HL/scale0p4
HL,0.4,expert,128.3,496.0,-367.7,Hailun,all,my_data_rain_scaling/HL/scale0p4/UFGA8201-HL.jinja2,my_data_rain_scaling/HL/scale0p4/CNHL0701.WTH,my_data_rain_scaling/HL/scale0p4/HL.SOL,07125,130,19,18,1.0,0.11784025947921552,0,0,,,15,0.08771604299545288,0.014615177191220796,,,3944.4354248046875,164.9999976158142,29.999998211860657,29.999996185302734,30.0,14767.814193346396,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment",True,260,output_hl/rain_scaling_diagnostics/HL_0p4,428.0,171.2,my_data_rain_scaling/HL/scale0p4
