station,method,seed,prior_policy,train_year,eval_year,run_status,episode_completed,episode_length,final_grnwt,total_irrigation,total_n_fertilizer,profit_score,mean_swfac,mean_nstres,bc_action_deviation_mean,bc_action_deviation_max,irrigation_saturation_ratio_100_200,n_saturation_ratio_100_200,irrigation_saturation_ratio_300_450,n_saturation_ratio_300_450,daily_csv_path,figure_dir,notes,model_path,augmented_rf_prior_yield,augmented_rf_prior_irrigation,augmented_rf_prior_n,augmented_rf_prior_profit,yield_loss_vs_augmented_rf_prior,yield_loss_vs_expert_best,yield_loss_vs_ppo_baseline,input_reduction_vs_ppo_baseline,cap_regression_300_450,passes_low_input_gate
SYA,MS0_augmented_RF_prior_replay,0,BC_random_forest_regressor_augmented,2012,2014,ok,True,144,8154.4354248046875,0.0,108.51833522319794,54.41477044224739,0.043490933461321726,0.11636613537040022,7.630851604921594e-11,8.258984773116633e-09,0.0,0.5425916761159897,0.0,0.24115185605155098,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/SYA_MS0_augmented_RF_prior_replay_seed0_eval2014_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/SYA/MS0_augmented_RF_prior_replay/seed_0_eval_2014,simday_safety_action_table_or_constrained_ppo,,8154.435424804687,0.0,108.51833687146188,54.4147700301814,-1.115337426066762e-16,,-0.18594934875088634,0.8553088863690694,False,True
SYA,MS0_augmented_RF_prior_replay,0,BC_random_forest_regressor_augmented,2012,2015,ok,True,143,7979.3212890625,0.0,108.51833522319794,52.663629084825516,0.0,0.10238724238389021,7.68421420355741e-11,8.258984773116633e-09,0.0,0.5425916761159897,0.0,0.24115185605155098,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/SYA_MS0_augmented_RF_prior_replay_seed0_eval2015_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/SYA/MS0_augmented_RF_prior_replay/seed_0_eval_2015,simday_safety_action_table_or_constrained_ppo,,7979.3212890625,0.0,108.51833687146188,52.66362867275953,0.0,,-0.1604814304436547,0.8553088863690694,False,True
SYA,MS0_augmented_RF_prior_replay,1,BC_random_forest_regressor_augmented,2012,2012,ok,True,135,8010.47607421875,0.0,108.51833522319794,52.975176936388024,0.0,0.08075637949837579,8.1395750452497e-11,8.258984773116633e-09,0.0,0.5425916761159897,0.0,0.24115185605155098,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/SYA_MS0_augmented_RF_prior_replay_seed1_eval2012_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/SYA/MS0_augmented_RF_prior_replay/seed_1_eval_2012,simday_safety_action_table_or_constrained_ppo,,8010.47607421875,0.0,108.51833687146188,52.97517652432204,0.0,,-0.16501246113330093,0.8553088863690694,False,True
SYA,MS0_augmented_RF_prior_replay,1,BC_random_forest_regressor_augmented,2012,2014,ok,True,144,8154.4354248046875,0.0,108.51833522319794,54.41477044224739,0.043490933461321726,0.11636613537040022,7.630851604921594e-11,8.258984773116633e-09,0.0,0.5425916761159897,0.0,0.24115185605155098,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/SYA_MS0_augmented_RF_prior_replay_seed1_eval2014_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/SYA/MS0_augmented_RF_prior_replay/seed_1_eval_2014,simday_safety_action_table_or_constrained_ppo,,8154.435424804687,0.0,108.51833687146188,54.4147700301814,-1.115337426066762e-16,,-0.18594934875088634,0.8553088863690694,False,True
SYA,MS0_augmented_RF_prior_replay,1,BC_random_forest_regressor_augmented,2012,2015,ok,True,143,7979.3212890625,0.0,108.51833522319794,52.663629084825516,0.0,0.10238724238389021,7.68421420355741e-11,8.258984773116633e-09,0.0,0.5425916761159897,0.0,0.24115185605155098,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/SYA_MS0_augmented_RF_prior_replay_seed1_eval2015_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/SYA/MS0_augmented_RF_prior_replay/seed_1_eval_2015,simday_safety_action_table_or_constrained_ppo,,7979.3212890625,0.0,108.51833687146188,52.66362867275953,0.0,,-0.1604814304436547,0.8553088863690694,False,True
SYA,MS0_augmented_RF_prior_replay,2,BC_random_forest_regressor_augmented,2012,2012,ok,True,135,8010.47607421875,0.0,108.51833522319794,52.975176936388024,0.0,0.08075637949837579,8.1395750452497e-11,8.258984773116633e-09,0.0,0.5425916761159897,0.0,0.24115185605155098,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/SYA_MS0_augmented_RF_prior_replay_seed2_eval2012_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/SYA/MS0_augmented_RF_prior_replay/seed_2_eval_2012,simday_safety_action_table_or_constrained_ppo,,8010.47607421875,0.0,108.51833687146188,52.97517652432204,0.0,,-0.16501246113330093,0.8553088863690694,False,True
SYA,MS0_augmented_RF_prior_replay,2,BC_random_forest_regressor_augmented,2012,2014,ok,True,144,8154.4354248046875,0.0,108.51833522319794,54.41477044224739,0.043490933461321726,0.11636613537040022,7.630851604921594e-11,8.258984773116633e-09,0.0,0.5425916761159897,0.0,0.24115185605155098,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/SYA_MS0_augmented_RF_prior_replay_seed2_eval2014_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/SYA/MS0_augmented_RF_prior_replay/seed_2_eval_2014,simday_safety_action_table_or_constrained_ppo,,8154.435424804687,0.0,108.51833687146188,54.4147700301814,-1.115337426066762e-16,,-0.18594934875088634,0.8553088863690694,False,True
SYA,MS0_augmented_RF_prior_replay,2,BC_random_forest_regressor_augmented,2012,2015,ok,True,143,7979.3212890625,0.0,108.51833522319794,52.663629084825516,0.0,0.10238724238389021,7.68421420355741e-11,8.258984773116633e-09,0.0,0.5425916761159897,0.0,0.24115185605155098,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/SYA_MS0_augmented_RF_prior_replay_seed2_eval2015_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/SYA/MS0_augmented_RF_prior_replay/seed_2_eval_2015,simday_safety_action_table_or_constrained_ppo,,7979.3212890625,0.0,108.51833687146188,52.66362867275953,0.0,,-0.1604814304436547,0.8553088863690694,False,True
LCA,MS0_augmented_RF_prior_replay,0,BC_random_forest_regressor_augmented,2010,2010,ok,True,92,5902.408447265625,0.0,71.40655517578125,41.172445678710936,0.0,0.10509858248026474,5.567207886318668e-11,5.1218312554131744e-09,0.0,0.35703277587890625,0.0,0.15868123372395834,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/LCA_MS0_augmented_RF_prior_replay_seed0_eval2010_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/LCA/MS0_augmented_RF_prior_replay/seed_0_eval_2010,simday_safety_action_table_or_constrained_ppo,,5902.408447265625,0.0,71.40655594405594,41.17244548664226,0.0,,0.14157668931886122,0.904791259765625,False,True
LCA,MS0_augmented_RF_prior_replay,0,BC_random_forest_regressor_augmented,2010,2011,ok,True,102,6583.6737060546875,0.0,71.40655517578125,47.98509826660157,0.0,0.14014268330499238,5.021403191581543e-11,5.1218312554131744e-09,0.0,0.35703277587890625,0.0,0.15868123372395834,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/LCA_MS0_augmented_RF_prior_replay_seed0_eval2011_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/LCA/MS0_augmented_RF_prior_replay/seed_0_eval_2011,simday_safety_action_table_or_constrained_ppo,,6583.673706054688,0.0,71.40655594405594,47.9850980745329,1.3814395159597742e-16,,0.04249612176297252,0.904791259765625,False,True
