station_code,year,scenario_type,total_irrigation,total_n,irrigation_event_count,n_event_count,swfac_stress_days_gt_0p05,nstres_days_gt_0p05,irrigation_during_or_before_swfac_stress,fertilization_during_or_before_nstres,first_irrigation_dap,first_n_dap,peak_swfac_dap,peak_nstres_dap,final_grnwt,final_topwt,profit_simple,decision_reasonableness_label,notes
SYA,2008,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,5,5,0,15,True,True,1,1,1,133,10486.12548828125,17429.259033203125,-15.138745117187497,cap_saturated,
SYA,2010,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,5,5,0,13,True,True,1,1,1,141,8493.209838867188,15377.76611328125,-35.067901611328125,cap_saturated,
SYA,2012,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,5,5,0,15,True,True,1,1,1,133,9612.314453125,16318.516845703125,-23.876855468749994,cap_saturated,
SYA,2023,normal_year;nitrogen_stress_year;low_response_year,100.0,180.0,5,5,0,17,True,True,1,1,1,129,9837.325439453125,17863.328857421875,-21.62674560546874,cap_saturated,
YCA,2004,dry_year;nitrogen_stress_year;irrigation_responsive_year,100.0,180.0,7,6,6,52,True,True,1,1,104,89,4624.866638183594,12884.66064453125,-73.75133361816407,cap_saturated,
YCA,2014,normal_year;water_stress_year;nitrogen_stress_year,100.0,180.0,7,6,0,18,True,True,1,1,1,100,9112.919311523438,19653.18603515625,-28.870806884765628,cap_saturated,
YCA,2015,normal_year;water_stress_year;nitrogen_stress_year,100.0,180.0,7,6,0,15,True,True,1,1,1,101,9087.095947265625,19885.189208984375,-29.129040527343747,cap_saturated,
YCA,2019,dry_year;water_stress_year;nitrogen_stress_year,100.0,180.0,7,6,0,12,True,True,1,1,1,92,7604.44091796875,17742.978515625,-43.955590820312494,cap_saturated,
YCA,2022,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,7,6,0,21,True,True,1,1,1,94,8510.457763671875,18794.78515625,-34.89542236328124,cap_saturated,
YCA,2005,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,7,6,1,19,True,True,1,1,15,98,9116.322631835938,18761.768798828125,-28.836773681640622,cap_saturated,
YCA,2010,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,7,6,0,8,True,True,1,1,1,92,7262.7130126953125,17428.016357421875,-47.37286987304687,cap_saturated,
YCA,2012,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,7,6,0,10,True,True,1,1,1,98,7907.7423095703125,17445.8740234375,-40.922576904296875,cap_saturated,
YCA,2023,normal_year;nitrogen_stress_year;low_response_year,100.0,180.0,7,6,0,31,True,True,1,1,1,90,9223.738403320312,21346.86279296875,-27.762615966796872,cap_saturated,
