scenario,station_code,year,split,water_cost,nitrogen_cost,season_irrigation_cap,season_n_cap,total_irrigation,total_n,final_topwt,final_grnwt,mean_swfac,max_swfac,swfac_stress_days_gt_0p05,mean_nstres,max_nstres,nstres_days_gt_0p05,profit_simple,irrigation_event_count,n_event_count,irrigation_during_or_before_swfac_stress,fertilization_during_or_before_nstres,decision_reasonableness_label,run_status,daily_csv_path
D_cost_high_cap_low,HLA,2013,eval,0.3,0.5,100.0,180.0,100.0,180.0,13692.9150390625,5174.910888671875,0.0,0.0,0,0.01648071430347584,0.21709954738616943,14,-68.25089111328126,7,4,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/HLA/2013_ppo_daily.csv
D_cost_high_cap_low,HLA,2015,eval,0.3,0.5,100.0,180.0,100.0,180.0,16562.3193359375,6467.271728515625,0.0,0.0,0,0.10046846116030658,0.5511559247970581,71,-55.32728271484375,6,4,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/HLA/2015_ppo_daily.csv
D_cost_high_cap_low,HLA,2018,eval,0.3,0.5,100.0,180.0,100.0,180.0,15357.26318359375,6115.9552001953125,0.0,0.0,0,0.051177749668594695,0.4812617897987366,25,-58.840447998046876,6,4,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/HLA/2018_ppo_daily.csv
D_cost_high_cap_low,LCA,2017,train,0.3,0.5,100.0,180.0,100.0,180.0,17273.553466796875,9037.393798828125,0.0,0.0,0,0.0008389404479493487,0.014340519905090332,0,-29.626062011718744,6,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/LCA/2017_ppo_daily.csv
D_cost_high_cap_low,LCA,2020,train,0.3,0.5,100.0,180.0,100.0,180.0,17039.7216796875,7748.10546875,0.0,0.0,0,0.0017907308495563009,0.045459091663360596,0,-42.518945312499994,6,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/LCA/2020_ppo_daily.csv
D_cost_high_cap_low,LCA,2021,train,0.3,0.5,100.0,180.0,100.0,180.0,19456.507568359375,10687.698974609375,0.0,0.0,0,0.023692132905125618,0.3332675099372864,12,-13.123010253906244,6,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/LCA/2021_ppo_daily.csv
D_cost_high_cap_low,LCA,2022,train,0.3,0.5,100.0,180.0,100.0,180.0,18910.753173828125,9762.35595703125,0.0,0.0,0,0.03378743560690629,0.414656400680542,12,-22.37644042968749,6,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/LCA/2022_ppo_daily.csv
D_cost_high_cap_low,LCA,2023,train,0.3,0.5,100.0,180.0,100.0,180.0,17486.751708984375,7909.62890625,0.0,0.0,0,0.004264283586632122,0.08761954307556152,4,-40.903710937499994,6,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/LCA/2023_ppo_daily.csv
D_cost_high_cap_low,LCA,2006,eval,0.3,0.5,100.0,180.0,100.0,180.0,16450.850830078125,9160.974731445312,0.0,0.0,0,0.0016644785598832735,0.04574418067932129,0,-28.39025268554687,6,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/LCA/2006_ppo_daily.csv
D_cost_high_cap_low,LCA,2008,eval,0.3,0.5,100.0,180.0,100.0,180.0,18763.8623046875,10266.890869140625,0.0005532370030301288,0.05698341131210327,1,0.02727148833784085,0.30825674533843994,15,-17.33109130859374,6,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/LCA/2008_ppo_daily.csv
D_cost_high_cap_low,LCA,2009,eval,0.3,0.5,100.0,180.0,100.0,180.0,17988.013916015625,9266.329956054688,0.0,0.0,0,0.0006413789628778847,0.012191057205200195,0,-27.336700439453125,6,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/D_cost_high_cap_low/daily_outputs/LCA/2009_ppo_daily.csv
