agent,final_trnu,mean_trnu,total_anfer,total_amir,napp_anfer,napp_amir,max_grnwt,final_grnwt,max_topwt,total_reward,episodes,run,penality,anfer_cost,amir_cost,anfer_excess_limit,anfer_excess_cost,amir_excess_limit,amir_excess_cost,score,scan
ppo,1.4981443559130032,1.7406327946595088,830.1577514906725,196.2963731090228,16.4,17.6,7463.667703333333,7463.667703333333,0.5035959,1558.1533561689805,30,pen15_ncost0_icost15_nlim300_nex0_ilim80_iex0,15.0,0.0,15.0,300.0,0.0,80.0,0.0,0.1835958959174345,irrig_cost_refine_scan
ppo,1.4979654892037313,1.7409884898020302,854.6108512580395,204.7636569291353,16.5,18.666666666666668,7463.998563333333,7463.998563333333,0.5036849999999999,-3.4735024908068226,30,pen15_ncost0_icost20_nlim300_nex0_ilim80_iex0,15.0,0.0,20.0,300.0,0.0,80.0,0.0,0.1568507609305982,irrig_cost_refine_scan
ppo,1.4983927893141906,1.7404783934726529,845.6439579526583,210.618064130346,16.733333333333334,18.966666666666665,7462.623416666667,7462.623416666667,0.5035963999999999,1936.158171539332,30,pen15_ncost0_icost10_nlim300_nex0_ilim80_iex0,15.0,0.0,10.0,300.0,0.0,80.0,0.0,0.1552633897507236,irrig_cost_refine_scan
ppo,1.497837972516815,1.7408762582291606,925.966064184904,211.18320874869823,18.0,19.03333333333333,7464.238823333333,7464.238823333333,0.5036001,1476.8310672387995,30,pen12_ncost0_icost20_nlim300_nex0_ilim80_iex0,12.0,0.0,20.0,300.0,0.0,80.0,0.0,0.1012289111543973,irrig_cost_refine_scan
ppo,1.4977848436683416,1.74062916715451,916.4678109188876,226.3725183159113,17.8,20.23333333333333,7463.17615,7463.17615,0.5035983333333333,3289.8886241841733,30,pen12_ncost0_icost10_nlim300_nex0_ilim80_iex0,12.0,0.0,10.0,300.0,0.0,80.0,0.0,0.0884348274965975,irrig_cost_refine_scan
ppo,1.497296091790001,1.7413616257753015,994.728327592214,240.5784579614798,18.83333333333333,20.5,7463.101203333334,7463.101203333334,0.5035999666666666,784.4786543280194,30,pen12_ncost0_icost15_nlim300_nex0_ilim80_iex0,12.0,0.0,15.0,300.0,0.0,80.0,0.0,0.0187563383413629,irrig_cost_refine_scan
ppo,1.4977030487110217,1.7417800213325572,1118.0638330678146,259.88562575231,21.4,22.83333333333333,7461.405136666667,7461.405136666667,0.5036197666666666,1348.3463954327112,30,pen12_ncost0_icost5_nlim300_nex0_ilim80_iex0,12.0,0.0,5.0,300.0,0.0,80.0,0.0,-0.0875396566025355,local_penalty_irrig_scan
ppo,1.4982685229430597,1.7427368408393389,1218.4312769770622,223.7224704523881,24.566666666666663,19.7,7462.045613333334,7462.045613333334,0.5036013666666667,-2779.3142466082645,30,pen15_ncost0_icost5_nlim300_nex0_ilim80_iex0,15.0,0.0,5.0,300.0,0.0,80.0,0.0,-0.1088804310897582,local_penalty_irrig_scan
ppo,1.4973476901650429,1.738853441846348,1913.5291604201,239.86926871041456,33.666666666666664,20.5,7462.077443333333,7462.077443333333,0.5035527999999999,-23.35863922921364,30,pen8_ncost0_icost5_nlim300_nex0_ilim80_iex0,8.0,0.0,5.0,300.0,0.0,80.0,0.0,-0.5938201160218634,local_penalty_irrig_scan
ppo,1.496790007998546,1.7428355020849362,1916.1379413306715,288.057695304354,33.266666666666666,23.7,7461.817566666667,7461.817566666667,0.503643,-4839.495338100175,30,pen10_ncost0_icost5_nlim300_nex0_ilim80_iex0,10.0,0.0,5.0,300.0,0.0,80.0,0.0,-0.6544141092878293,local_penalty_irrig_scan
ppo,1.4954911048213642,1.744020227353231,1868.555761327346,358.4132541964452,32.9,28.266666666666666,7459.639306666666,7459.639306666666,0.5035008999999999,-3994.8556112768174,30,pen10_ncost0_nlim300_nex0_ilim80_iex0,10.0,0.0,0.0,300.0,0.0,80.0,0.0,-0.7103313637234899,quick_penalty_scan
ppo,1.494993542631467,1.7422926885002814,3013.404241750637,191.91106935342157,47.766666666666666,16.5,7466.652506666666,7466.652506666666,0.5035,2151.3874157374084,30,pen5_ncost0_nlim300_nex0_ilim80_iex0,5.0,0.0,0.0,300.0,0.0,80.0,0.0,-1.2656899315504373,quick_penalty_scan
ppo,1.4951649370292823,1.742538905304024,3937.458039174477,224.1950435191393,58.43333333333333,18.766666666666666,7466.120573333334,7466.120573333334,0.5035517333333333,-62440.62282462737,30,pen20_ncost0_icost5_nlim300_nex0_ilim80_iex0,20.0,0.0,5.0,300.0,0.0,80.0,0.0,-1.9220211849921671,high_cost_scan_v2
ppo,1.4954620134085417,1.7420424401156285,4259.264425809185,223.72595650454363,61.63333333333333,18.366666666666667,7466.905373333333,7466.905373333333,0.5036444,-71922.26877225954,30,pen20_ncost0_icost20_nlim300_nex0_ilim80_iex0,20.0,0.0,20.0,300.0,0.0,80.0,0.0,-2.136106940129667,high_cost_scan_v2
ppo,1.4966204079488914,1.7411921404159505,4652.760876665513,138.65615685780844,65.63333333333334,12.633333333333333,7465.9758,7465.9758,0.5035,8565.612035538616,30,pen2_ncost0_nlim300_nex0_ilim80_iex0,2.0,0.0,0.0,300.0,0.0,80.0,0.0,-2.2924447413703533,quick_penalty_scan
ppo,1.4957350523521502,1.7417245109664392,8311.381410170967,123.85234826554854,92.83333333333331,11.566666666666666,7466.845966666666,7466.845966666666,0.5035898333333333,-396134.0030811703,30,pen50_ncost0_icost20_nlim300_nex0_ilim80_iex0,50.0,0.0,20.0,300.0,0.0,80.0,0.0,-4.712790498274327,high_cost_scan_v2
ppo,1.4958075309793155,1.7416915289441306,8323.431899317851,128.3968142668406,93.16666666666669,11.766666666666667,7466.803026666666,7466.803026666666,0.5035,-394975.50142691634,30,pen50_ncost0_icost5_nlim300_nex0_ilim80_iex0,50.0,0.0,5.0,300.0,0.0,80.0,0.0,-4.726518430915006,high_cost_scan_v2
ppo,1.4959274294475715,1.741565567280725,9608.717241330693,116.9932225222389,101.63333333333334,10.633333333333333,7466.63062,7466.63062,0.5035876666666667,-935066.0878796373,30,pen100_ncost0_icost5_nlim300_nex0_ilim80_iex0,100.0,0.0,5.0,300.0,0.0,80.0,0.0,-5.569173542825006,high_cost_scan_v2
ppo,1.4959269482642412,1.7415672911110207,9618.66772738596,116.51372114817302,101.56666666666666,10.533333333333331,7466.631673333333,7466.631673333333,0.5035874666666665,-937765.5306021528,30,pen100_ncost0_icost20_nlim300_nex0_ilim80_iex0,100.0,0.0,20.0,300.0,0.0,80.0,0.0,-5.575207167470331,high_cost_scan_v2
ppo,1.4958923682570455,1.7416381022445864,10698.897419733306,108.26502179106076,107.3,9.733333333333333,7466.722076666667,7466.722076666667,0.5035055333333333,-4020861.970783948,30,pen10_ncost0_nlim300_nex5_ilim80_iex0,10.0,0.0,0.0,300.0,5.0,80.0,0.0,-6.285020117442091,quick_penalty_scan
ppo,1.495892486224572,1.7416381973838972,10702.313901316376,108.18796915312608,107.3,9.733333333333333,7466.72215,7466.72215,0.5035054666666666,-3937564.744401746,30,pen2_ncost0_nlim300_nex5_ilim80_iex0,2.0,0.0,0.0,300.0,5.0,80.0,0.0,-6.28720141906796,quick_penalty_scan
ppo,1.4958919646839302,1.741637885062669,10703.050560659418,108.704966455698,107.3,9.733333333333333,7466.72198,7466.72198,0.5035053666666667,-3969148.247533896,30,pen5_ncost0_nlim300_nex5_ilim80_iex0,5.0,0.0,0.0,300.0,5.0,80.0,0.0,-6.288338889737299,quick_penalty_scan
