policy_name,train_rows,validation_rows,irrigation_mae,irrigation_rmse,irrigation_event_precision,irrigation_event_recall,irrigation_event_f1,nitrogen_mae,nitrogen_rmse,nitrogen_event_precision,nitrogen_event_recall,nitrogen_event_f1,nonzero_action_accuracy,zero_action_accuracy,water_stress_irrigation_event_recall,irrigation_responsive_irrigation_event_recall
BC_random_forest_regressor_all_year,25298,11212,0.032290345331060635,0.625425732663692,0.8923076923076924,0.9508196721311475,0.9206349206349206,0.2989723033544986,3.112277743229321,0.8533333333333334,1.0,0.920863309352518,0.9961648234034962,0.9963500319372206,0.9166666666666666,0.7857142857142857
BC_two_stage_classifier_regressor_all_year,25298,11212,0.0031721964561779044,0.12172494397277253,1.0,1.0,1.0,0.27796073206824906,3.54620587737362,0.8975609756097561,0.9583333333333334,0.9269521410579346,0.9974134855511951,0.9980837667670408,1.0,1.0
BC_mlp_regressor_all_year,25298,11212,0.15887553992682318,2.1502683989359723,0.65,0.21311475409836064,0.32098765432098764,0.9275986917582068,5.75271070778408,0.41798941798941797,0.8229166666666666,0.5543859649122806,0.9724402425972173,0.9792864312437266,0.08333333333333333,0.0
