schedule_id,station,train_year,total_N,total_irrigation,N1_DAP,N1_amount,N2_DAP,N2_amount,N3_DAP,N3_amount,I1_DAP,I1_amount,I2_DAP,I2_amount,I3_DAP,I3_amount
SYA2012_S0051,SYA,2012,75.0,200.0,1,0.0,30,0.0,60,75.0,25,100.0,50,100.0,75,0.0
SYA2012_S0052,SYA,2012,75.0,250.0,1,0.0,30,0.0,60,75.0,25,100.0,50,100.0,75,50.0
SYA2012_S0053,SYA,2012,150.0,0.0,1,0.0,30,0.0,60,150.0,25,0.0,50,0.0,75,0.0
SYA2012_S0054,SYA,2012,150.0,50.0,1,0.0,30,0.0,60,150.0,25,0.0,50,0.0,75,50.0
SYA2012_S0055,SYA,2012,150.0,100.0,1,0.0,30,0.0,60,150.0,25,0.0,50,0.0,75,100.0
SYA2012_S0056,SYA,2012,150.0,50.0,1,0.0,30,0.0,60,150.0,25,0.0,50,50.0,75,0.0
SYA2012_S0057,SYA,2012,150.0,100.0,1,0.0,30,0.0,60,150.0,25,0.0,50,50.0,75,50.0
SYA2012_S0058,SYA,2012,150.0,150.0,1,0.0,30,0.0,60,150.0,25,0.0,50,50.0,75,100.0
SYA2012_S0059,SYA,2012,150.0,100.0,1,0.0,30,0.0,60,150.0,25,0.0,50,100.0,75,0.0
SYA2012_S0060,SYA,2012,150.0,150.0,1,0.0,30,0.0,60,150.0,25,0.0,50,100.0,75,50.0
SYA2012_S0061,SYA,2012,150.0,200.0,1,0.0,30,0.0,60,150.0,25,0.0,50,100.0,75,100.0
SYA2012_S0062,SYA,2012,150.0,50.0,1,0.0,30,0.0,60,150.0,25,50.0,50,0.0,75,0.0
SYA2012_S0063,SYA,2012,150.0,100.0,1,0.0,30,0.0,60,150.0,25,50.0,50,0.0,75,50.0
SYA2012_S0064,SYA,2012,150.0,150.0,1,0.0,30,0.0,60,150.0,25,50.0,50,0.0,75,100.0
SYA2012_S0065,SYA,2012,150.0,100.0,1,0.0,30,0.0,60,150.0,25,50.0,50,50.0,75,0.0
SYA2012_S0066,SYA,2012,150.0,150.0,1,0.0,30,0.0,60,150.0,25,50.0,50,50.0,75,50.0
SYA2012_S0067,SYA,2012,150.0,200.0,1,0.0,30,0.0,60,150.0,25,50.0,50,50.0,75,100.0
SYA2012_S0068,SYA,2012,150.0,150.0,1,0.0,30,0.0,60,150.0,25,50.0,50,100.0,75,0.0
SYA2012_S0069,SYA,2012,150.0,200.0,1,0.0,30,0.0,60,150.0,25,50.0,50,100.0,75,50.0
SYA2012_S0070,SYA,2012,150.0,250.0,1,0.0,30,0.0,60,150.0,25,50.0,50,100.0,75,100.0
