schedule_id,station,train_year,total_N,total_irrigation,N1_DAP,N1_amount,N2_DAP,N2_amount,N3_DAP,N3_amount,I1_DAP,I1_amount,I2_DAP,I2_amount,I3_DAP,I3_amount
LCA2010_S0051,LCA,2010,75.0,200.0,1,0.0,30,0.0,60,75.0,25,100.0,50,100.0,75,0.0
LCA2010_S0052,LCA,2010,75.0,250.0,1,0.0,30,0.0,60,75.0,25,100.0,50,100.0,75,50.0
LCA2010_S0053,LCA,2010,150.0,0.0,1,0.0,30,0.0,60,150.0,25,0.0,50,0.0,75,0.0
LCA2010_S0054,LCA,2010,150.0,50.0,1,0.0,30,0.0,60,150.0,25,0.0,50,0.0,75,50.0
LCA2010_S0055,LCA,2010,150.0,100.0,1,0.0,30,0.0,60,150.0,25,0.0,50,0.0,75,100.0
LCA2010_S0056,LCA,2010,150.0,50.0,1,0.0,30,0.0,60,150.0,25,0.0,50,50.0,75,0.0
LCA2010_S0057,LCA,2010,150.0,100.0,1,0.0,30,0.0,60,150.0,25,0.0,50,50.0,75,50.0
LCA2010_S0058,LCA,2010,150.0,150.0,1,0.0,30,0.0,60,150.0,25,0.0,50,50.0,75,100.0
LCA2010_S0059,LCA,2010,150.0,100.0,1,0.0,30,0.0,60,150.0,25,0.0,50,100.0,75,0.0
LCA2010_S0060,LCA,2010,150.0,150.0,1,0.0,30,0.0,60,150.0,25,0.0,50,100.0,75,50.0
LCA2010_S0061,LCA,2010,150.0,200.0,1,0.0,30,0.0,60,150.0,25,0.0,50,100.0,75,100.0
LCA2010_S0062,LCA,2010,150.0,50.0,1,0.0,30,0.0,60,150.0,25,50.0,50,0.0,75,0.0
LCA2010_S0063,LCA,2010,150.0,100.0,1,0.0,30,0.0,60,150.0,25,50.0,50,0.0,75,50.0
LCA2010_S0064,LCA,2010,150.0,150.0,1,0.0,30,0.0,60,150.0,25,50.0,50,0.0,75,100.0
LCA2010_S0065,LCA,2010,150.0,100.0,1,0.0,30,0.0,60,150.0,25,50.0,50,50.0,75,0.0
LCA2010_S0066,LCA,2010,150.0,150.0,1,0.0,30,0.0,60,150.0,25,50.0,50,50.0,75,50.0
LCA2010_S0067,LCA,2010,150.0,200.0,1,0.0,30,0.0,60,150.0,25,50.0,50,50.0,75,100.0
LCA2010_S0068,LCA,2010,150.0,150.0,1,0.0,30,0.0,60,150.0,25,50.0,50,100.0,75,0.0
LCA2010_S0069,LCA,2010,150.0,200.0,1,0.0,30,0.0,60,150.0,25,50.0,50,100.0,75,50.0
LCA2010_S0070,LCA,2010,150.0,250.0,1,0.0,30,0.0,60,150.0,25,50.0,50,100.0,75,100.0
LCA2010_S0071,LCA,2010,150.0,100.0,1,0.0,30,0.0,60,150.0,25,100.0,50,0.0,75,0.0
LCA2010_S0072,LCA,2010,150.0,150.0,1,0.0,30,0.0,60,150.0,25,100.0,50,0.0,75,50.0
LCA2010_S0073,LCA,2010,150.0,200.0,1,0.0,30,0.0,60,150.0,25,100.0,50,0.0,75,100.0
LCA2010_S0074,LCA,2010,150.0,150.0,1,0.0,30,0.0,60,150.0,25,100.0,50,50.0,75,0.0
LCA2010_S0075,LCA,2010,150.0,200.0,1,0.0,30,0.0,60,150.0,25,100.0,50,50.0,75,50.0
LCA2010_S0076,LCA,2010,150.0,250.0,1,0.0,30,0.0,60,150.0,25,100.0,50,50.0,75,100.0
LCA2010_S0077,LCA,2010,150.0,200.0,1,0.0,30,0.0,60,150.0,25,100.0,50,100.0,75,0.0
LCA2010_S0078,LCA,2010,150.0,250.0,1,0.0,30,0.0,60,150.0,25,100.0,50,100.0,75,50.0
LCA2010_S0079,LCA,2010,75.0,0.0,1,0.0,30,75.0,60,0.0,25,0.0,50,0.0,75,0.0
