scenario,station_code,year,split,water_cost,nitrogen_cost,season_irrigation_cap,season_n_cap,total_irrigation,total_n,final_topwt,final_grnwt,mean_swfac,max_swfac,swfac_stress_days_gt_0p05,mean_nstres,max_nstres,nstres_days_gt_0p05,profit_simple,irrigation_event_count,n_event_count,irrigation_during_or_before_swfac_stress,fertilization_during_or_before_nstres,decision_reasonableness_label,run_status,daily_csv_path
C_cap_low,HLA,2015,eval,0.1,0.25,100.0,180.0,100.0,180.0,16563.804931640625,6467.796630859375,0.0,0.0,0,0.10042918721834819,0.5511108040809631,71,9.677966308593753,6,4,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/HLA/2015_ppo_daily.csv
C_cap_low,HLA,2018,eval,0.1,0.25,100.0,180.0,100.0,180.0,15357.26318359375,6115.946044921875,0.0,0.0,0,0.051168795484695995,0.481229305267334,25,6.159460449218749,6,4,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/HLA/2018_ppo_daily.csv
C_cap_low,LCA,2017,train,0.1,0.25,100.0,180.0,100.0,180.0,17273.511962890625,9037.380981445312,0.0,0.0,0,0.0008664131164550781,0.014986157417297363,0,35.373809814453125,6,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/LCA/2017_ppo_daily.csv
C_cap_low,LCA,2020,train,0.1,0.25,100.0,180.0,100.0,180.0,17039.725341796875,7748.10546875,0.0,0.0,0,0.001803551031195599,0.04574698209762573,0,22.481054687500006,6,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/LCA/2020_ppo_daily.csv
C_cap_low,LCA,2021,train,0.1,0.25,100.0,180.0,100.0,180.0,19454.549560546875,10686.146240234375,0.0,0.0,0,0.023778876289725304,0.33390748500823975,12,51.86146240234375,6,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/LCA/2021_ppo_daily.csv
C_cap_low,LCA,2022,train,0.1,0.25,100.0,180.0,100.0,180.0,18904.847412109375,9759.207763671875,0.0,0.0,0,0.03392195513373927,0.4154829978942871,12,42.592077636718756,6,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/LCA/2022_ppo_daily.csv
C_cap_low,LCA,2023,train,0.1,0.25,100.0,180.0,100.0,180.0,17486.30126953125,7909.588623046875,0.0,0.0,0,0.004282377660274506,0.08793359994888306,4,24.09588623046875,6,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/LCA/2023_ppo_daily.csv
C_cap_low,LCA,2006,eval,0.1,0.25,100.0,180.0,100.0,180.0,16450.2685546875,9160.849609375,0.0,0.0,0,0.0016847544786881428,0.04640650749206543,0,36.608496093750006,6,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/LCA/2006_ppo_daily.csv
C_cap_low,LCA,2008,eval,0.1,0.25,100.0,180.0,100.0,180.0,18763.441162109375,10266.483154296875,0.0005532370030301288,0.05698341131210327,1,0.027302126861313013,0.3084465265274048,15,47.664831542968756,6,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/LCA/2008_ppo_daily.csv
C_cap_low,LCA,2009,eval,0.1,0.25,100.0,180.0,100.0,180.0,17988.03955078125,9266.338500976562,0.0,0.0,0,0.0006751892636123213,0.012191057205200195,0,37.66338500976563,6,5,True,True,cap_saturated,ok,Leave_One_experiments/all_year_direct_ppo_cost_cap_sensitivity/scenarios/C_cap_low/daily_outputs/LCA/2009_ppo_daily.csv
