station_code,year,scenario_type,total_irrigation,total_n,irrigation_event_count,n_event_count,swfac_stress_days_gt_0p05,nstres_days_gt_0p05,irrigation_during_or_before_swfac_stress,fertilization_during_or_before_nstres,first_irrigation_dap,first_n_dap,peak_swfac_dap,peak_nstres_dap,final_grnwt,final_topwt,profit_simple,decision_reasonableness_label,notes
SYA,2010,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,5,5,0,13,True,True,1,1,1,141,8493.203735351562,15377.62939453125,29.932037353515625,cap_saturated,
SYA,2012,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,5,5,0,15,True,True,1,1,1,133,9612.564086914062,16318.714599609375,41.125640869140625,cap_saturated,
SYA,2023,normal_year;nitrogen_stress_year;low_response_year,100.0,180.0,5,5,0,17,True,True,1,1,1,129,9837.218627929688,17863.189697265625,43.37218627929688,cap_saturated,
YCA,2004,dry_year;nitrogen_stress_year;irrigation_responsive_year,100.0,180.0,7,6,5,52,True,True,1,1,104,89,4618.431396484375,12873.5693359375,-8.815686035156247,cap_saturated,
YCA,2014,normal_year;water_stress_year;nitrogen_stress_year,100.0,180.0,7,6,0,18,True,True,1,1,1,100,9112.745361328125,19653.001708984375,36.12745361328125,cap_saturated,
YCA,2015,normal_year;water_stress_year;nitrogen_stress_year,100.0,180.0,7,6,0,15,True,True,1,1,1,101,9087.095947265625,19884.549560546875,35.87095947265625,cap_saturated,
YCA,2019,dry_year;water_stress_year;nitrogen_stress_year,100.0,180.0,7,6,0,12,True,True,1,1,1,92,7604.398193359375,17741.63330078125,21.043981933593756,cap_saturated,
YCA,2022,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,7,6,0,21,True,True,1,1,1,94,8510.927124023438,18797.918701171875,30.109271240234378,cap_saturated,
YCA,2005,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,7,6,1,19,True,True,1,1,15,98,9116.4404296875,18762.022705078125,36.164404296875006,cap_saturated,
YCA,2010,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,7,6,0,8,True,True,1,1,1,92,7262.6910400390625,17427.939453125,17.626910400390628,cap_saturated,
YCA,2012,wet_year;nitrogen_stress_year;low_response_year,100.0,180.0,7,6,0,10,True,True,1,1,1,98,7907.7276611328125,17445.74462890625,24.07727661132813,cap_saturated,
YCA,2023,normal_year;nitrogen_stress_year;low_response_year,100.0,180.0,7,6,0,31,True,True,1,1,1,90,9223.68408203125,21350.22705078125,37.23684082031251,cap_saturated,
