station,year,seed,run_status,stage_steps,daily_steps,total_irrigation,total_ppo_extra_irrigation,total_n,total_base_n,total_ppo_extra_n,final_grnwt,final_topwt,grnwt_fraction_vs_00815_irrigation_only,profit_low_water_cost,max_swfac,swfac_days_gt_0p05,max_nstres,nstres_days_gt_0p05,soft_swfac_penalty_total,soft_nstres_penalty_total,rain_total_in_episode,first_irrigation_dap,first_ppo_n_dap,irrigation_cap_saturated,n_cap_saturated,early_irrigation_before_allowed_window,gate_blocked_irrigation,nstres_warning,debug_joint_promising,daily_csv_path,stage_csv_path,model_path,scenario,water_cost,nitrogen_cost,S3_irrigation,S3_extra_n,S3_raw_i,S3_raw_n,S4_irrigation,S4_extra_n,S4_raw_i,S4_raw_n,S5_irrigation,S5_extra_n,S5_raw_i,S5_raw_n,summary_path,stage_path
HLA,2004,0,ok,5,175,31.78455114364624,31.78455114364624,188.9365601539612,100.0,88.93656015396118,5305.68115234375,14526.380615234377,0.7827882238154048,2.6442163705825834,0.9473612904548644,39,0.1660442352294922,7,119.96639176234603,4.286971515417099,51.5,76.0,46.0,False,False,False,0.0,False,True,Leave_One_experiments/hla2004_stage_level_water_nitrogen_joint_ppo_009_02/daily_outputs/HLA/HLA_2004_seed0_soft_stress_stage_daily.csv,Leave_One_experiments/hla2004_stage_level_water_nitrogen_joint_ppo_009_02/daily_outputs/HLA/HLA_2004_seed0_soft_stress_stage_steps.csv,Leave_One_experiments/hla2004_stage_level_water_nitrogen_joint_ppo_009_02/models/HLA/ppo_joint_water_n_HLA_2004_seed0.zip,009_02_baseline,0.05,0.03,0.0,50.0,-1.0,1.0,15.89227557182312,19.46828007698059,-0.205386221408844,0.9468280076980592,15.89227557182312,19.46828007698059,-0.205386221408844,0.9468280076980592,Leave_One_experiments/hla2004_stage_level_water_nitrogen_joint_ppo_009_02/evaluation/HLA_2004_joint_ppo_summary.csv,Leave_One_experiments/hla2004_stage_level_water_nitrogen_joint_ppo_009_02/daily_outputs/HLA/HLA_2004_seed0_soft_stress_stage_steps.csv
HLA,2004,0,ok,5,175,80.0,80.0,190.0,100.0,90.0,7045.943603515625,17073.8232421875,1.0395426185878285,14.95943603515626,1.0,23,0.4172400236129761,51,68.9905418522656,38.85445155501366,51.5,76.0,46.0,False,True,False,0.0,True,False,Leave_One_experiments/hla2004_joint_ppo_reward_balance_probe_009_03/scenarios/009_03A_lower_water_cost/daily_outputs/HLA/HLA_2004_seed0_soft_stress_stage_daily.csv,Leave_One_experiments/hla2004_joint_ppo_reward_balance_probe_009_03/scenarios/009_03A_lower_water_cost/daily_outputs/HLA/HLA_2004_seed0_soft_stress_stage_steps.csv,Leave_One_experiments/hla2004_joint_ppo_reward_balance_probe_009_03/scenarios/009_03A_lower_water_cost/models/HLA/ppo_joint_water_n_HLA_2004_seed0.zip,009_03A_lower_water_cost,0.03,0.03,0.0,50.0,-1.0,1.0,40.0,20.0,1.0,1.0,40.0,20.0,1.0,1.0,Leave_One_experiments/hla2004_joint_ppo_reward_balance_probe_009_03/scenarios/009_03A_lower_water_cost/evaluation/HLA_2004_joint_ppo_summary.csv,Leave_One_experiments/hla2004_joint_ppo_reward_balance_probe_009_03/scenarios/009_03A_lower_water_cost/daily_outputs/HLA/HLA_2004_seed0_soft_stress_stage_steps.csv
HLA,2004,0,ok,5,175,81.1406135559082,81.1406135559082,190.0,100.0,90.0,7067.1624755859375,17161.29638671875,1.042673203088171,15.057563400268563,1.0,23,0.4354005455970764,51,68.72419096454978,39.8429236292839,51.5,21.0,46.0,False,True,False,0.0,True,False,Leave_One_experiments/hla2004_joint_ppo_reward_balance_probe_009_03/scenarios/009_03B_higher_nitrogen_cost/daily_outputs/HLA/HLA_2004_seed0_soft_stress_stage_daily.csv,Leave_One_experiments/hla2004_joint_ppo_reward_balance_probe_009_03/scenarios/009_03B_higher_nitrogen_cost/daily_outputs/HLA/HLA_2004_seed0_soft_stress_stage_steps.csv,Leave_One_experiments/hla2004_joint_ppo_reward_balance_probe_009_03/scenarios/009_03B_higher_nitrogen_cost/models/HLA/ppo_joint_water_n_HLA_2004_seed0.zip,009_03B_higher_nitrogen_cost,0.05,0.05,0.0,50.0,-1.0,1.0,40.0,20.0,1.0,1.0,40.0,20.0,1.0,1.0,Leave_One_experiments/hla2004_joint_ppo_reward_balance_probe_009_03/scenarios/009_03B_higher_nitrogen_cost/evaluation/HLA_2004_joint_ppo_summary.csv,Leave_One_experiments/hla2004_joint_ppo_reward_balance_probe_009_03/scenarios/009_03B_higher_nitrogen_cost/daily_outputs/HLA/HLA_2004_seed0_soft_stress_stage_steps.csv
