station,train_year,policy_name,run_status,episode_completed,error_message,daily_csv_path,notes
FQA,2008,null_zero,ok,True,,Leave_One_experiments/ppo_action_safe_two_year_cv/smoke_checks/daily_outputs/FQA/FQA_2008_null_zero_daily.csv,pretrain_smoke_check
FQA,2008,fixed_low_input,ok,True,,Leave_One_experiments/ppo_action_safe_two_year_cv/smoke_checks/daily_outputs/FQA/FQA_2008_fixed_low_input_daily.csv,pretrain_smoke_check
FQA,2010,null_zero,ok,True,,Leave_One_experiments/ppo_action_safe_two_year_cv/smoke_checks/daily_outputs/FQA/FQA_2010_null_zero_daily.csv,pretrain_smoke_check
FQA,2010,fixed_low_input,ok,True,,Leave_One_experiments/ppo_action_safe_two_year_cv/smoke_checks/daily_outputs/FQA/FQA_2010_fixed_low_input_daily.csv,pretrain_smoke_check
YCA,2014,null_zero,ok,True,,Leave_One_experiments/ppo_action_safe_two_year_cv/smoke_checks/daily_outputs/YCA/YCA_2014_null_zero_daily.csv,pretrain_smoke_check
YCA,2014,fixed_low_input,ok,True,,Leave_One_experiments/ppo_action_safe_two_year_cv/smoke_checks/daily_outputs/YCA/YCA_2014_fixed_low_input_daily.csv,pretrain_smoke_check
YCA,2008,null_zero,ok,True,,Leave_One_experiments/ppo_action_safe_two_year_cv/smoke_checks/daily_outputs/YCA/YCA_2008_null_zero_daily.csv,pretrain_smoke_check
YCA,2008,fixed_low_input,ok,True,,Leave_One_experiments/ppo_action_safe_two_year_cv/smoke_checks/daily_outputs/YCA/YCA_2008_fixed_low_input_daily.csv,pretrain_smoke_check
