station,policy_name,model_type,eval_year,run_status,episode_completed,episode_length,final_grnwt,total_irrigation,total_n_fertilizer,mean_swfac,mean_nstres,profit_score,daily_csv_path,figure_dir,notes,yield_loss_vs_expert_schedule,yield_loss_vs_ppo_baseline,irrigation_diff_vs_expert,n_diff_vs_expert
SYA,BC_mlp_regressor,mlp_regressor,2014,ok,True,144,2729.5013427734375,0.0,0.0,0.0,0.20650000621875128,27.295013427734375,Leave_One_experiments/imitation_learning_prior/daily_outputs/SYA/SYA_BC_mlp_regressor_eval2014_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/SYA/BC_mlp_regressor/eval_2014,action_table_replay_from_bc_model,0.6926641966260799,0.6030319487195693,0.0,-150.0
SYA,BC_mlp_regressor,mlp_regressor,2015,ok,True,143,2669.547119140625,0.0,0.0,0.0,0.19679823663684873,26.695471191406252,Leave_One_experiments/imitation_learning_prior/daily_outputs/SYA/SYA_BC_mlp_regressor_eval2015_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/SYA/BC_mlp_regressor/eval_2015,action_table_replay_from_bc_model,0.7058053287086772,0.6117514576454619,0.0,-150.0
LCA,BC_mlp_regressor,mlp_regressor,2010,ok,True,92,2774.4976806640625,0.0,0.0,0.0,0.22091466253218445,27.744976806640626,Leave_One_experiments/imitation_learning_prior/daily_outputs/LCA/LCA_BC_mlp_regressor_eval2010_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/LCA/BC_mlp_regressor/eval_2010,action_table_replay_from_bc_model,0.6535547672738015,0.5964878564755818,0.0,-150.0
LCA,BC_mlp_regressor,mlp_regressor,2011,ok,True,102,2861.1776733398438,0.0,0.0,0.0,0.21866149937405305,28.61177673339844,Leave_One_experiments/imitation_learning_prior/daily_outputs/LCA/LCA_BC_mlp_regressor_eval2011_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/LCA/BC_mlp_regressor/eval_2011,action_table_replay_from_bc_model,0.6788698322760187,0.5838814557245406,0.0,-150.0
LCA,BC_mlp_regressor,mlp_regressor,2008,ok,True,105,3095.6228637695312,0.0,0.0,0.0,0.2280271019254412,30.956228637695315,Leave_One_experiments/imitation_learning_prior/daily_outputs/LCA/LCA_BC_mlp_regressor_eval2008_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/LCA/BC_mlp_regressor/eval_2008,action_table_replay_from_bc_model,0.6651860071320134,0.549784659757268,0.0,-150.0
LCA,BC_mlp_regressor,mlp_regressor,2009,ok,True,102,2897.158203125,0.0,0.0,0.0,0.2181446061414831,28.97158203125,Leave_One_experiments/imitation_learning_prior/daily_outputs/LCA/LCA_BC_mlp_regressor_eval2009_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/LCA/BC_mlp_regressor/eval_2009,action_table_replay_from_bc_model,0.6731684517863453,0.578648587519267,0.0,-150.0
HLA,BC_random_forest_regressor,random_forest_regressor,2011,ok,True,169,4469.0631103515625,0.0,110.75605158730158,0.0,0.15036737142935308,17.00161820669023,Leave_One_experiments/imitation_learning_prior/daily_outputs/HLA/HLA_BC_random_forest_regressor_eval2011_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/HLA/BC_random_forest_regressor/eval_2011,action_table_replay_from_bc_model,0.29777450124489185,0.3500368561229986,0.0,-39.243948412698415
HLA,BC_random_forest_regressor,random_forest_regressor,2007,ok,True,149,4011.4019775390625,0.0,110.75605158730158,0.0,0.14013491100912925,12.425006878565227,Leave_One_experiments/imitation_learning_prior/daily_outputs/HLA/HLA_BC_random_forest_regressor_eval2007_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/HLA/BC_random_forest_regressor/eval_2007,action_table_replay_from_bc_model,0.41005108961741493,0.41659730992910343,0.0,-39.243948412698415
HLA,BC_random_forest_regressor,random_forest_regressor,2009,ok,True,159,5367.515869140625,0.0,110.75605158730158,0.0,0.19518760615174877,25.986145794580857,Leave_One_experiments/imitation_learning_prior/daily_outputs/HLA/HLA_BC_random_forest_regressor_eval2009_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/HLA/BC_random_forest_regressor/eval_2009,action_table_replay_from_bc_model,0.24343899670951885,0.21936938392398406,0.0,-39.243948412698415
SYA,BC_random_forest_regressor,random_forest_regressor,2012,ok,True,135,6075.2435302734375,0.0,59.78878968253967,0.0,0.12914113027078133,45.80523788209946,Leave_One_experiments/imitation_learning_prior/daily_outputs/SYA/SYA_BC_random_forest_regressor_eval2012_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/SYA/BC_random_forest_regressor/eval_2012,action_table_replay_from_bc_model,0.32574552433409637,0.11644022757058142,0.0,-90.21121031746033
