site,site_name,agent,mode,template,weather,soil,PDATE,n_days,PRCP,ETCP,PRCP_minus_ETCP,swfac_stress_days_gt_0.05,swfac_stress_days_gt_0.10,max_swfac,mean_swfac,turfac_stress_days_gt_0.05,turfac_stress_days_gt_0.10,max_turfac,mean_turfac,nstres_days_gt_0.05,max_nstres,mean_nstres,mean_trnu,final_trnu,max_grnwt,total_anfer,total_amir,final_totir,template_irrigation_mm,total_reward,note,terminated_normally,max_steps
HL,Hailun,null,all,my_data_rain_scaling/HL/scale0p6/UFGA8201-HL.jinja2,my_data_rain_scaling/HL/scale0p6/CNHL0701.WTH,my_data_rain_scaling/HL/scale0p6/HL.SOL,07125,145,207.3,496.0,-288.7,0,0,0.0,0.0,0,0,,,114,0.798799991607666,0.3961676559571562,,,468.739013671875,0.0,0.0,0.0,30.0,936.7106895554753,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment",True,260
HL,Hailun,expert,all,my_data_rain_scaling/HL/scale0p6/UFGA8201-HL.jinja2,my_data_rain_scaling/HL/scale0p6/CNHL0701.WTH,my_data_rain_scaling/HL/scale0p6/HL.SOL,07125,145,207.3,496.0,-288.7,18,18,1.0,0.09665847081562569,0,0,,,34,0.4043867588043213,0.06269660365992578,,,6276.0400390625,164.9999976158142,29.999998211860657,29.999996185302734,30.0,16951.014177522105,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment",True,260
HL,Hailun,ppo,all,my_data_rain_scaling/HL/scale0p6/UFGA8201-HL.jinja2,my_data_rain_scaling/HL/scale0p6/CNHL0701.WTH,my_data_rain_scaling/HL/scale0p6/HL.SOL,07125,145,207.3,496.0,-288.7,21,21,1.0,0.11533033599884346,0,0,,,32,0.3058103919029236,0.04508715415823049,,,6164.59716796875,166.04756498336792,51.208660364151,60.000003814697266,30.0,16474.908792674116,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress; turfac is saved only when safely exposed by the environment",True,260
