station,cap_name,season_irrigation_cap,season_n_cap,train_year,eval_year,total_irrigation,total_n_fertilizer,irrigation_saturation_ratio,n_saturation_ratio,irrigation_at_cap,n_at_cap,num_irrigation_clipped_days,num_n_clipped_days,num_safety_trigger_days,dominant_safety_rule,notes
LCA,cap_mid_high,250.0,375.0,2010,2009,250.0,375.0,1.0,1.0,True,True,93,102,102,amir_min_interval,at_or_near_cap
LCA,cap_high,300.0,450.0,2010,2010,300.0,450.0,1.0,1.0,True,True,81,92,92,amir_min_interval,at_or_near_cap
LCA,cap_high,300.0,450.0,2010,2011,300.0,450.0,1.0,1.0,True,True,91,102,102,amir_min_interval,at_or_near_cap
LCA,cap_high,300.0,450.0,2010,2008,300.0,450.0,1.0,1.0,True,True,94,105,105,amir_min_interval,at_or_near_cap
LCA,cap_high,300.0,450.0,2010,2009,300.0,450.0,1.0,1.0,True,True,91,102,102,amir_min_interval,at_or_near_cap
FQA,cap_low,100.0,150.0,2010,2010,100.0,150.0,1.0,1.0,True,True,96,100,100,anfer_season_limit,at_or_near_cap
FQA,cap_low,100.0,150.0,2010,2008,100.0,150.0,1.0,1.0,True,True,101,105,105,anfer_season_limit,at_or_near_cap
FQA,cap_mid_low,150.0,225.0,2010,2010,150.0,225.0,1.0,1.0,True,True,94,100,100,anfer_season_limit,at_or_near_cap
FQA,cap_mid_low,150.0,225.0,2010,2008,150.0,225.0,1.0,1.0,True,True,99,105,105,anfer_season_limit,at_or_near_cap
FQA,cap_current,200.0,300.0,2010,2010,200.0,300.0,1.0,1.0,True,True,92,100,100,amir_min_interval,at_or_near_cap
FQA,cap_current,200.0,300.0,2010,2008,200.0,300.0,1.0,1.0,True,True,97,105,105,amir_min_interval,at_or_near_cap
FQA,cap_mid_high,250.0,375.0,2010,2010,250.0,375.0,1.0,1.0,True,True,90,100,100,amir_min_interval,at_or_near_cap
FQA,cap_mid_high,250.0,375.0,2010,2008,250.0,375.0,1.0,1.0,True,True,95,105,105,amir_min_interval,at_or_near_cap
FQA,cap_high,300.0,450.0,2010,2010,300.0,450.0,1.0,1.0,True,True,88,100,100,amir_min_interval,at_or_near_cap
