station,policy_name,train_year,train_year_label,eval_year,eval_year_label,seed,model_path,run_status,error_message,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,total_irrigation,total_n_fertilizer,mean_swfac,mean_nstres,mean_reward,sum_reward,daily_csv_path,figure_dir,notes,cap_name,season_irrigation_cap,season_n_cap,cv_type,quality_gate_pass,quality_gate_reason
HLA,HLA_train2011_cap_mid_high_seed0_action_safe,2011,observed_mid_rain_year,2007,observed_low_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/HLA/HLA_train2011_cap_mid_high_seed0_action_safe.zip,ok,,True,149,7181.961669921875,18446.43798828125,1.1683862209320068,250.0,375.0,0.0,0.0004705326669168,99.03511541099022,14756.232196237544,Leave_One_experiments/season_cap_sensitivity/daily_outputs/HLA/HLA_train2011_cap_mid_high_eval2007_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/HLA/HLA_train2011_cap_mid_high_seed0_action_safe/eval_2007,action_safe_eval,cap_mid_high,250.0,375.0,observed_year_leave_one,True,
HLA,HLA_train2011_cap_mid_high_seed0_action_safe,2011,observed_mid_rain_year,2009,observed_high_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/HLA/HLA_train2011_cap_mid_high_seed0_action_safe.zip,ok,,True,159,7148.932495117188,14203.96728515625,0.1612618416547775,250.0,375.0,0.0,0.0096229356039994,65.73953862937073,10452.586642069946,Leave_One_experiments/season_cap_sensitivity/daily_outputs/HLA/HLA_train2011_cap_mid_high_eval2009_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/HLA/HLA_train2011_cap_mid_high_seed0_action_safe/eval_2009,action_safe_eval,cap_mid_high,250.0,375.0,observed_year_leave_one,True,
HLA,HLA_train2011_cap_high_seed0_action_safe,2011,observed_mid_rain_year,2011,observed_mid_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/HLA/HLA_train2011_cap_high_seed0_action_safe.zip,ok,,True,169,6631.1962890625,14522.43896484375,0.0002744140510912,300.0,450.0,0.0,0.0011525496223269,59.26588477753979,10015.934527404224,Leave_One_experiments/season_cap_sensitivity/daily_outputs/HLA/HLA_train2011_cap_high_eval2011_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/HLA/HLA_train2011_cap_high_seed0_action_safe/eval_2011,action_safe_eval,cap_high,300.0,450.0,observed_year_leave_one,True,
HLA,HLA_train2011_cap_high_seed0_action_safe,2011,observed_mid_rain_year,2007,observed_low_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/HLA/HLA_train2011_cap_high_seed0_action_safe.zip,ok,,True,149,7151.7608642578125,18010.55419921875,1.137475609779358,300.0,450.0,0.0,0.0004705302667297,90.81850872735646,13531.957800376113,Leave_One_experiments/season_cap_sensitivity/daily_outputs/HLA/HLA_train2011_cap_high_eval2007_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/HLA/HLA_train2011_cap_high_seed0_action_safe/eval_2007,action_safe_eval,cap_high,300.0,450.0,observed_year_leave_one,True,
HLA,HLA_train2011_cap_high_seed0_action_safe,2011,observed_mid_rain_year,2009,observed_high_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/HLA/HLA_train2011_cap_high_seed0_action_safe.zip,ok,,True,159,6747.764892578125,12558.59375,0.1429373770952224,300.0,450.0,0.0,0.0005845536225996,50.43839503348451,8019.704810324038,Leave_One_experiments/season_cap_sensitivity/daily_outputs/HLA/HLA_train2011_cap_high_eval2009_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/HLA/HLA_train2011_cap_high_seed0_action_safe/eval_2009,action_safe_eval,cap_high,300.0,450.0,observed_year_leave_one,True,
SYA,SYA_train2012_cap_low_seed0_action_safe,2012,observed_high_rain_year,2012,observed_high_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_low_seed0_action_safe.zip,ok,,True,135,8526.663208007812,14847.960205078123,1.1219767332077026,100.0,150.0,0.0,0.0602637410163879,99.66477029014072,13454.743989168996,Leave_One_experiments/season_cap_sensitivity/daily_outputs/SYA/SYA_train2012_cap_low_eval2012_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/SYA/SYA_train2012_cap_low_seed0_action_safe/eval_2012,action_safe_eval,cap_low,100.0,150.0,observed_year_leave_one,True,
SYA,SYA_train2012_cap_low_seed0_action_safe,2012,observed_high_rain_year,2014,observed_low_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_low_seed0_action_safe.zip,ok,,True,144,8892.542114257812,16992.52197265625,1.3830081224441528,100.0,150.0,0.0187948861469825,0.0944583809210194,108.3382991000522,15600.715070407516,Leave_One_experiments/season_cap_sensitivity/daily_outputs/SYA/SYA_train2012_cap_low_eval2014_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/SYA/SYA_train2012_cap_low_seed0_action_safe/eval_2014,action_safe_eval,cap_low,100.0,150.0,observed_year_leave_one,True,
SYA,SYA_train2012_cap_low_seed0_action_safe,2012,observed_high_rain_year,2015,observed_mid_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_low_seed0_action_safe.zip,ok,,True,143,8560.01708984375,16506.177978515625,1.3525333404541016,100.0,150.0,0.0,0.0802852907380857,105.74338432356151,15121.303958269298,Leave_One_experiments/season_cap_sensitivity/daily_outputs/SYA/SYA_train2012_cap_low_eval2015_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/SYA/SYA_train2012_cap_low_seed0_action_safe/eval_2015,action_safe_eval,cap_low,100.0,150.0,observed_year_leave_one,True,
SYA,SYA_train2012_cap_mid_low_seed0_action_safe,2012,observed_high_rain_year,2012,observed_high_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_mid_low_seed0_action_safe.zip,ok,,True,135,9432.427978515623,15572.3583984375,1.069023370742798,150.0,225.0,0.0,0.0095543539082562,99.49964290260829,13432.451791852116,Leave_One_experiments/season_cap_sensitivity/daily_outputs/SYA/SYA_train2012_cap_mid_low_eval2012_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/SYA/SYA_train2012_cap_mid_low_seed0_action_safe/eval_2012,action_safe_eval,cap_mid_low,150.0,225.0,observed_year_leave_one,True,
SYA,SYA_train2012_cap_mid_low_seed0_action_safe,2012,observed_high_rain_year,2014,observed_low_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_mid_low_seed0_action_safe.zip,ok,,True,144,10811.44287109375,18692.076416015625,1.444783329963684,150.0,225.0,0.007078451414903,0.0344545526636971,115.0783189385114,16571.277927145642,Leave_One_experiments/season_cap_sensitivity/daily_outputs/SYA/SYA_train2012_cap_mid_low_eval2014_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/SYA/SYA_train2012_cap_mid_low_seed0_action_safe/eval_2014,action_safe_eval,cap_mid_low,150.0,225.0,observed_year_leave_one,True,
