eval_year,manual_sum_irrigation,summary_total_irrigation,irrigation_match,manual_sum_fertilization,summary_total_n_fertilizer,fertilization_match,totir_last,tofer_last
2007,3067.776962229982,3067.776962229982,True,14503.758385684341,14503.75838568434,True,3046.5234375,14503.75838568434
2009,3278.5977747291327,3278.5977747291327,True,15485.282227024436,15485.282227024436,True,3257.343505859375,15485.282227024436
2011,3486.4133714698255,3486.413371469825,True,16457.4934088625,16457.4934088625,True,3465.157958984375,16457.4934088625
