eval_year,daily_csv_path,days,nonzero_irrigation_days,nonzero_fertilization_days,max_daily_irrigation,max_daily_fertilization,mean_daily_irrigation,mean_daily_fertilization,sum_irrigation,sum_fertilization,median_normalized_action_amir,median_normalized_action_anfer,max_normalized_action_amir,max_normalized_action_anfer,min_normalized_action_amir,min_normalized_action_anfer,totir_last,tofer_last
2007,Leave_One_experiments/ppo_observed_years/daily_outputs/HLA/HLA_train2007_eval2007_seed0_daily.csv,149,149,149,25.596233317628503,102.11317650973795,20.58910712906028,97.34066030660631,3067.776962229982,14503.758385684341,-0.1860532462596893,-0.0276864096522331,0.0238493327051401,0.0211317650973796,-0.1959254592657089,-0.0346435233950614,3046.5234375,14503.75838568434
2009,Leave_One_experiments/ppo_observed_years/daily_outputs/HLA/HLA_train2007_eval2009_seed0_daily.csv,159,159,159,25.266816467046738,102.24497448652984,20.620111790749263,97.39171211965053,3278.5977747291327,15485.282227024436,-0.1860481053590774,-0.0276835802942514,0.0106726586818695,0.0224497448652982,-0.1959209442138672,-0.0346435233950614,3257.343505859375,15485.282227024436
2011,Leave_One_experiments/ppo_observed_years/daily_outputs/HLA/HLA_train2007_eval2011_seed0_daily.csv,169,169,169,25.483677070587877,102.12938487529756,20.629664919939795,97.38161780392012,3486.4133714698255,16457.4934088625,-0.1860495060682296,-0.0276902914047241,0.0193470828235149,0.0212938487529754,-0.195920929312706,-0.0346449390053749,3465.157958984375,16457.4934088625
