station,year,action_name,action_space_low,action_space_high,normalization_formula,denormalization_formula,example_normalized_minus1,example_normalized_0,example_normalized_plus1,notes
HLA,2007,amir,0.0,50.0,normalized = 2 * ((real - low) / (high - low)) - 1,real = low + 0.5 * (normalized + 1) * (high - low),0.0,25.0,50.0,"PPO outputs normalized action in [-1, 1]."
HLA,2007,anfer,0.0,200.0,normalized = 2 * ((real - low) / (high - low)) - 1,real = low + 0.5 * (normalized + 1) * (high - low),0.0,100.0,200.0,"PPO outputs normalized action in [-1, 1]."
