site,agent,dap,swfac,turfac,nstres,topwt,grnwt,xlai,ep,totir,rain,runoff,reward,raw_action_amir,real_action_amir,history_action_amir
SY,expert,1.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
SY,expert,2.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
SY,expert,3.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
SY,expert,4.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
SY,expert,5.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
SY,expert,6.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
SY,expert,7.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
SY,expert,8.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
SY,expert,9.0,,,,17.600001096725464,0.0,0.001840010634623468,0.0,0.0,,,17.600001096725464,-1.0,0.0,0.0
SY,expert,10.0,,,,17.600001096725464,0.0,0.003758328268304467,0.0079073216766119,0.0,,,0.0,-1.0,0.0,0.0
SY,expert,11.0,,,,17.600001096725464,0.0,0.005793990101665258,0.01387738436460495,0.0,,,0.0,-1.0,0.0,0.0
SY,expert,12.0,,,,17.600001096725464,0.0,0.007712912745773792,0.025779016315937042,0.0,,,0.0,-1.0,0.0,0.0
SY,expert,13.0,,,,17.600001096725464,0.0,0.009734620340168476,0.03613346070051193,0.0,,,0.0,-1.0,0.0,0.0
SY,expert,14.0,,,,17.600001096725464,0.0,0.011802926659584045,0.04643835127353668,0.0,,,0.0,-1.0,0.0,0.0
SY,expert,15.0,,,,17.600001096725464,0.0,0.019901856780052185,0.045528240501880646,0.0,,,0.0,-1.0,0.0,0.0
SY,expert,16.0,,,,17.600001096725464,0.0,0.027440203353762627,0.09174090623855591,0.0,,,0.0,-1.0,0.0,0.0
SY,expert,17.0,,,,20.47097682952881,0.0,0.03778509050607681,0.12284503132104874,0.0,,,2.8709757328033447,-1.0,0.0,0.0
SY,expert,18.0,,,,25.59863567352295,0.0,0.05049481242895126,0.11344653367996216,0.0,,,5.127658843994141,-1.0,0.0,0.0
SY,expert,19.0,,,,29.593513011932373,0.0,0.05983450636267662,0.08819837123155594,0.0,,,3.994877338409424,-1.0,0.0,0.0
SY,expert,20.0,,,,34.090209007263184,0.0,0.06991127878427505,0.2462722510099411,0.0,,,4.4966959953308105,-1.0,0.0,0.0
