site,agent,dap,swfac,turfac,nstres,topwt,grnwt,xlai,ep,totir,rain,runoff,reward,raw_action_amir,real_action_amir,history_action_amir
YC,null,1.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
YC,null,2.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
YC,null,3.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
YC,null,4.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
YC,null,5.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
YC,null,6.0,,,,26.400001049041748,0.0,0.004768428858369589,0.0,0.0,,,26.400001049041748,-1.0,0.0,0.0
YC,null,7.0,,,,26.400001049041748,0.0,0.009054027497768402,0.014074720442295074,0.0,,,0.0,-1.0,0.0,0.0
YC,null,8.0,,,,26.400001049041748,0.0,0.014958871528506279,0.040978867560625076,0.0,,,0.0,-1.0,0.0,0.0
YC,null,9.0,,,,26.400001049041748,0.0,0.03537130355834961,0.06174115091562271,0.0,,,0.0,-1.0,0.0,0.0
YC,null,10.0,,,,29.957387447357178,0.0,0.054858654737472534,0.11153142899274826,0.0,,,3.5573863983154297,-1.0,0.0,0.0
YC,null,11.0,,,,39.19382095336914,0.0,0.07784024626016617,0.17570331692695618,0.0,,,9.236433506011963,-1.0,0.0,0.0
YC,null,12.0,,,,50.661869049072266,0.0,0.10413455218076706,0.2465987205505371,0.0,,,11.468048095703125,-1.0,0.0,0.0
YC,null,13.0,,,,64.50431823730469,0.0,0.13373669981956482,0.3247971534729004,0.0,,,13.842449188232422,-1.0,0.0,0.0
YC,null,14.0,,,,83.72308731079102,0.0,0.1722247451543808,0.40093597769737244,0.0,,,19.218769073486328,-1.0,0.0,0.0
YC,null,15.0,,,,107.17959403991699,0.0,0.21634477376937866,0.5124687552452087,0.0,,,23.456506729125977,-1.0,0.0,0.0
YC,null,16.0,,,,142.28303909301758,0.0,0.2783198356628418,1.0708999633789062,0.0,,,35.103445053100586,-1.0,0.0,0.0
YC,null,17.0,,,,187.05949783325195,0.0,0.35244807600975037,1.2764227390289307,0.0,,,44.776458740234375,-1.0,0.0,0.0
YC,null,18.0,,,,201.7408561706543,0.0,0.40122726559638977,0.26956018805503845,0.0,,,14.681358337402344,-1.0,0.0,0.0
YC,null,19.0,,,,259.8116111755371,0.0,0.49640941619873047,1.6514582633972168,0.0,,,58.07075500488281,-1.0,0.0,0.0
YC,null,20.0,,,,314.10619735717773,0.0,0.5810431241989136,0.971267819404602,0.0,,,54.294586181640625,-1.0,0.0,0.0
YC,null,21.0,,,,339.1036605834961,0.0,0.6184859871864319,0.44678834080696106,0.0,,,24.99746322631836,-1.0,0.0,0.0
YC,null,22.0,,,,400.54237365722656,0.0,0.7089174389839172,1.071225881576538,0.0,,,61.43871307373047,-1.0,0.0,0.0
YC,null,23.0,,,,492.58190155029297,0.0,0.8390576243400574,1.6537766456604004,0.0,,,92.0395278930664,-1.0,0.0,0.0
YC,null,24.0,,,,607.9417419433594,0.0,0.9949694275856018,2.219393253326416,0.0,,,115.3598403930664,-1.0,0.0,0.0
YC,null,25.0,,,,732.1650695800781,0.0,1.153751015663147,2.825777053833008,0.0,,,124.22332763671875,-1.0,0.0,0.0
YC,null,26.0,,,,876.5927124023438,0.0,1.3383424282073975,3.070685625076294,0.0,,,144.42764282226562,-1.0,0.0,0.0
YC,null,27.0,,,,1014.3775939941406,0.0,1.5052982568740845,1.8505055904388428,0.0,,,137.78488159179688,-1.0,0.0,0.0
YC,null,28.0,,,,1106.0881042480469,0.0,1.6114882230758667,1.1491725444793701,0.0,,,91.71051025390625,-1.0,0.0,0.0
YC,null,29.0,,,,1272.6667022705078,0.0,1.7940447330474854,4.235232353210449,0.0,,,166.57859802246094,-1.0,0.0,0.0
YC,null,30.0,,,,1460.4167175292969,0.0,1.9864040613174438,2.513354778289795,0.0,,,187.75001525878906,-1.0,0.0,0.0
YC,null,31.0,,,,1518.8992309570312,0.0,2.0434701442718506,0.6886465549468994,0.0,,,58.482513427734375,-1.0,0.0,0.0
YC,null,32.0,,,,1614.4790649414062,0.0,2.1325342655181885,1.1460051536560059,0.0,,,95.579833984375,-1.0,0.0,0.0
YC,null,33.0,,,,1772.6205444335938,0.0,2.2714717388153076,1.9757287502288818,0.0,,,158.1414794921875,-1.0,0.0,0.0
YC,null,34.0,,,,1970.3749084472656,0.0,2.434331178665161,4.25800895690918,0.0,,,197.75436401367188,-1.0,0.0,0.0
YC,null,35.0,,,,2099.7787475585938,0.0,2.5342724323272705,1.5961135625839233,0.0,,,129.40383911132812,-1.0,0.0,0.0
YC,null,36.0,,,,2331.995849609375,0.0,2.7020769119262695,3.30774188041687,0.0,,,232.21710205078125,-1.0,0.0,0.0
YC,null,37.0,,,,2599.8165893554688,0.0,2.8815579414367676,4.412091255187988,0.0,,,267.82073974609375,-1.0,0.0,0.0
YC,null,38.0,,,,2886.4578247070312,0.0,3.0596489906311035,5.392329692840576,0.0,,,286.6412353515625,-1.0,0.0,0.0
YC,null,39.0,,,,3213.629150390625,0.0,3.247309446334839,4.237546443939209,0.0,,,327.17132568359375,-1.0,0.0,0.0
YC,null,40.0,,,,3580.570068359375,0.0,3.4407548904418945,4.840349197387695,0.0,,,366.94091796875,-1.0,0.0,0.0
YC,null,41.0,,,,3898.8949584960938,0.0,3.5953714847564697,4.1458587646484375,0.0,,,318.32489013671875,-1.0,0.0,0.0
YC,null,42.0,,,,4289.15283203125,0.0,3.770420551300049,5.135721683502197,0.0,,,390.25787353515625,-1.0,0.0,0.0
YC,null,43.0,,,,4599.814147949219,0.0,3.8992888927459717,4.0105109214782715,0.0,,,310.66131591796875,-1.0,0.0,0.0
YC,null,44.0,,,,4891.070556640625,0.0,4.012239933013916,3.5742905139923096,0.0,,,291.25640869140625,-1.0,0.0,0.0
YC,null,45.0,,,,5162.2784423828125,0.0,4.149415493011475,3.3386640548706055,0.0,,,271.2078857421875,-1.0,0.0,0.0
YC,null,46.0,,,,5435.098876953125,0.0,4.2563090324401855,3.3551902770996094,0.0,,,272.8204345703125,-1.0,0.0,0.0
YC,null,47.0,,,,5709.0716552734375,0.0,4.3457818031311035,3.3670153617858887,0.0,,,273.9727783203125,-1.0,0.0,0.0
YC,null,48.0,,,,5983.944091796875,0.0,4.422896385192871,3.3761789798736572,0.0,,,274.8724365234375,-1.0,0.0,0.0
YC,null,49.0,,,,6259.1424560546875,0.0,4.490279197692871,3.383502721786499,0.0,,,275.1983642578125,-1.0,0.0,0.0
YC,null,50.0,,,,6531.7724609375,0.0,4.548919200897217,3.3894877433776855,0.0,,,272.6300048828125,-1.0,0.0,0.0
YC,null,51.0,,,,6801.8731689453125,0.0,4.600208759307861,3.3942782878875732,0.0,,,270.1007080078125,-1.0,0.0,0.0
YC,null,52.0,,,,7069.7003173828125,0.0,4.6452460289001465,3.398127555847168,0.0,,,267.8271484375,-1.0,0.0,0.0
YC,null,53.0,,,,7397.562255859375,0.0,4.6992082595825195,4.445951461791992,0.0,,,327.8619384765625,-1.0,0.0,0.0
YC,null,54.0,,,,7760.1116943359375,0.0,4.757121562957764,5.108851432800293,0.0,,,362.5494384765625,-1.0,0.0,0.0
YC,null,55.0,,,,8023.0615234375,0.0,4.786534786224365,3.381115436553955,0.0,,,262.9498291015625,-1.0,0.0,0.0
YC,null,56.0,,,,8244.6240234375,0.0,4.802333354949951,3.0146842002868652,0.0,,,221.5625,-1.0,0.0,0.0
YC,null,57.0,,,,8377.278442382812,0.0,4.79536247253418,1.7598397731781006,0.0,,,132.6544189453125,-1.0,0.0,0.0
YC,null,58.0,,,,8472.238159179688,0.0,4.756502628326416,1.7742762565612793,0.0,,,94.959716796875,-1.0,0.0,0.0
YC,null,59.0,,,,8793.617553710938,0.0,4.721303939819336,4.65773344039917,0.0,,,321.37939453125,-1.0,0.0,0.0
YC,null,60.0,,,,9084.234619140625,0.0,4.691426753997803,4.18103551864624,0.0,,,290.6170654296875,-1.0,0.0,0.0
YC,null,61.0,,,,9081.804809570312,0.0,4.66298246383667,0.5734085440635681,0.0,,,-2.4298095703125,-1.0,0.0,0.0
YC,null,62.0,,,,9356.082153320312,0.0,4.638067245483398,4.010619163513184,0.0,,,274.27734375,-1.0,0.0,0.0
YC,null,63.0,,,,9627.574462890625,0.0,4.614392280578613,4.216534614562988,0.0,,,271.4923095703125,-1.0,0.0,0.0
YC,null,64.0,,,,9859.61181640625,0.0,4.59171199798584,3.683820962905884,0.0,,,232.037353515625,-1.0,0.0,0.0
YC,null,65.0,,,,9831.796264648438,0.0,4.569975852966309,0.4485740065574646,0.0,,,-27.8155517578125,-1.0,0.0,0.0
YC,null,66.0,,,,10201.126708984375,0.0,4.549138069152832,5.222134113311768,0.0,,,369.3304443359375,-1.0,0.0,0.0
