site,agent,dap,swfac,turfac,nstres,topwt,grnwt,xlai,ep,totir,rain,runoff,reward,raw_action_amir,real_action_amir,history_action_amir
FQ,null,1.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
FQ,null,2.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
FQ,null,3.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
FQ,null,4.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
FQ,null,5.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
FQ,null,6.0,,,,32.00000047683716,0.0,0.0031338033732026815,0.0,0.0,,,32.00000047683716,-1.0,0.0,0.0
FQ,null,7.0,,,,32.00000047683716,0.0,0.005746840499341488,0.01477699913084507,0.0,,,0.0,-1.0,0.0,0.0
FQ,null,8.0,,,,32.00000047683716,0.0,0.008509366773068905,0.013088975101709366,0.0,,,0.0,-1.0,0.0,0.0
FQ,null,9.0,,,,32.00000047683716,0.0,0.010613033547997475,0.004297204315662384,0.0,,,0.0,-1.0,0.0,0.0
FQ,null,10.0,,,,32.00000047683716,0.0,0.012747876346111298,0.006667491048574448,0.0,,,0.0,-1.0,0.0,0.0
FQ,null,11.0,,,,32.00000047683716,0.0,0.01524366531521082,0.018682481721043587,0.0,,,0.0,-1.0,0.0,0.0
FQ,null,12.0,,,,32.00000047683716,0.0,0.017974069342017174,0.02351589873433113,0.0,,,0.0,-1.0,0.0,0.0
FQ,null,13.0,,,,32.00000047683716,0.0,0.021772149950265884,0.08631505072116852,0.0,,,0.0,-1.0,0.0,0.0
FQ,null,14.0,,,,25.125632286071777,0.0,0.03738296777009964,0.10360516607761383,0.0,,,-6.874368190765381,-1.0,0.0,0.0
FQ,null,15.0,,,,31.240439414978027,0.0,0.05624033510684967,0.176377534866333,0.0,,,6.11480712890625,-1.0,0.0,0.0
FQ,null,16.0,,,,38.52898120880127,0.0,0.07674745470285416,0.14991281926631927,0.0,,,7.288541793823242,-1.0,0.0,0.0
FQ,null,17.0,,,,45.93924045562744,0.0,0.09620234370231628,0.26007312536239624,0.0,,,7.410259246826172,-1.0,0.0,0.0
FQ,null,18.0,,,,55.15679359436035,0.0,0.11904332041740417,0.47857972979545593,0.0,,,9.21755313873291,-1.0,0.0,0.0
FQ,null,19.0,,,,65.03962993621826,0.0,0.1422702521085739,0.45678627490997314,0.0,,,9.88283634185791,-1.0,0.0,0.0
FQ,null,20.0,,,,75.13302326202393,0.0,0.16499440371990204,0.3685287833213806,0.0,,,10.093393325805664,-1.0,0.0,0.0
FQ,null,21.0,,,,84.05744552612305,0.0,0.18433840572834015,0.8220135569572449,0.0,,,8.924422264099121,-1.0,0.0,0.0
FQ,null,22.0,,,,96.06947898864746,0.0,0.20958581566810608,0.7890233993530273,0.0,,,12.012033462524414,-1.0,0.0,0.0
FQ,null,23.0,,,,111.30499839782715,0.0,0.23929250240325928,0.8401519060134888,0.0,,,15.235519409179688,-1.0,0.0,0.0
FQ,null,24.0,,,,127.80523300170898,0.0,0.2726189196109772,0.6568437218666077,0.0,,,16.500234603881836,-1.0,0.0,0.0
