schedule_id,eval_count,ok_count,mean_yield,std_yield,mean_profit,mean_irrigation,mean_n,mean_swfac,mean_nstres,mean_yield_loss_vs_ppo_baseline,yield_stability_score,profit_stability_score,overall_score
SYA2012_S0443,3,3,8988.521931966146,98.28588831895111,52.385219319661466,0.0,150.0,0.01694529855416881,0.06605112750311877,-0.3072556438453412,0.8291453763877372,0.9541749098801495,0.8389324008283531
SYA2012_S0313,3,3,9019.229329427084,128.72927512843123,52.69229329427083,0.0,150.0,0.01710613475491603,0.06492923102754468,-0.3117216082099441,0.8183917702678111,0.9653229967098546,0.8375746331162787
SYA2012_S0261,3,3,9088.156331380209,202.59329969727855,53.38156331380208,0.0,150.0,0.017272172116295056,0.0614409779317868,-0.32174608309008185,0.7918495217945889,0.9903464199309916,0.8334965248766405
SYA2012_S0157,3,3,9005.472819010416,148.16989882200045,52.554728190104164,0.0,150.0,0.017651207676088368,0.06422101475975729,-0.3097209148792807,0.8088265067129086,0.9603288003506928,0.8320188647429192
SYA2012_S0105,3,3,9114.747111002604,256.2328341089666,53.64747111002604,0.0,150.0,0.017918435201324797,0.06048002659134052,-0.3256133425793202,0.7706772966179708,1.0,0.8272378179723037
SYA2012_S0027,3,3,6964.1680908203125,110.06071501941052,50.891680908203135,0.0,75.0,0.007880308768815463,0.13575176225132035,-0.012841500562606233,0.6603216813656673,0.8999531350924358,0.747441882237952
SYA2012_S0079,3,3,6747.9986572265625,119.37557610246692,48.72998657226563,0.0,75.0,0.006064259378170525,0.13044857685753694,0.01859734046500497,0.6387905324761247,0.8214744682273286,0.715328892711041
SYA2012_S0235,3,3,6743.118082682292,148.79634846390843,48.681180826822924,0.0,75.0,0.005771868862211704,0.13151157790391177,0.01930715223010904,0.6256036582433192,0.8197026128016909,0.7091606801267833
SYA2012_S0183,3,3,10198.618774414062,791.4063110923461,45.73618774414063,0.0,225.0,0.01870829605117992,0.0033934700368630764,-0.48324741856234843,0.6256328251541307,0.7127868813712179,0.6846467511104167
SYA2012_S0131,3,3,10186.239827473959,835.1700842020524,45.61239827473958,0.0,225.0,0.019788916912619716,0.0025508990928596303,-0.4814470727018391,0.6056032199648381,0.7082927989428991,0.6747521043294713
SYA2012_S0209,3,3,10306.690877278646,754.2443941588921,28.066908772786462,0.0,300.0,0.01724013948330173,0.00038895568053236404,-0.49896500455493875,0.6505303784376925,0.07131716241663386,0.5115823545769642
SYA2012_S0132,3,3,10735.247802734375,546.1959296983316,26.102478027343754,50.0,225.0,4.877384614061426e-05,0.004115567919628141,-0.5612926557251087,0.7756463909783206,0.0,0.4788484532764231
SYA2012_S0133,3,3,10735.247802734375,546.1959296983316,26.102478027343754,50.0,225.0,4.877384614061426e-05,0.004115567919628141,-0.5612926557251087,0.7756463909783206,0.0,0.4788484532764231
SYA2012_S0036,3,3,7046.567789713542,167.54648921069472,26.71567789713542,50.0,75.0,0.0,0.13521571117880626,-0.024825392046060494,0.6419902207644652,0.022261754357716306,0.4214075151234234
SYA2012_S0045,3,3,7046.567789713542,167.54648921069472,26.71567789713542,50.0,75.0,0.0,0.13521571117880626,-0.024825392046060494,0.6419902207644652,0.022261754357716306,0.4214075151234234
SYA2012_S0001,3,3,2697.3859659830728,30.205028789092243,26.973859659830726,0.0,0.0,0.0,0.19741377711725763,0.6077026841175794,0.35,0.03163484666238002,0.357908711665595
