schedule_id,eval_count,ok_count,mean_yield,std_yield,mean_profit,mean_irrigation,mean_n,mean_swfac,mean_nstres,mean_yield_loss_vs_ppo_baseline,yield_stability_score,profit_stability_score,overall_score
LCA2010_S0313,4,4,8757.090911865234,527.2781013524208,50.07090911865235,0.0,150.0,0.0,0.018701743540327873,-0.2735972170786587,0.6148940473880209,0.9778178893855856,0.7870975580643577
LCA2010_S0443,4,4,8749.290924072266,538.3631941645475,49.99290924072266,0.0,150.0,0.002120238899524051,0.01789406420965387,-0.27246281721386884,0.5997456127748466,0.9769288825297909,0.7799731105451738
LCA2010_S0261,4,4,8323.303833007812,390.55021167609726,45.73303833007813,0.0,150.0,0.0,0.03337027190584109,-0.2105089127550236,0.6526109886720803,0.9283768264896983,0.7680995008672621
LCA2010_S0452,4,4,8821.822662353516,390.7388910317606,25.71822662353516,50.0,150.0,0.0006164992633073226,0.01846095849440589,-0.28301155091488756,0.7926635020794814,0.7002571768590601,0.7472969399754027
LCA2010_S0461,4,4,8821.822662353516,390.7388910317606,25.71822662353516,50.0,150.0,0.0006164992633073226,0.01846095849440589,-0.28301155091488756,0.7926635020794814,0.7002571768590601,0.7472969399754027
LCA2010_S0530,4,4,8927.890930175781,411.6271327345392,8.028909301757817,50.0,225.0,0.00044511517752771795,0.0003369668058777912,-0.29843770693843147,0.7980996248117691,0.49864244628780685,0.6714652126817576
LCA2010_S0539,4,4,8927.890930175781,411.6271327345392,8.028909301757817,50.0,225.0,0.00044511517752771795,0.0003369668058777912,-0.29843770693843147,0.7980996248117691,0.49864244628780685,0.6714652126817576
LCA2010_S0235,4,4,7076.712799072266,276.11867120487284,52.017127990722656,0.0,75.0,0.0,0.12208306539167209,-0.029209564874055384,0.4355667425523234,1.0,0.6607920983735598
LCA2010_S0565,4,4,8927.890930175781,411.6271327345392,-10.721090698242183,50.0,300.0,0.00044511517752771795,0.0003369668058777912,-0.29843770693843147,0.7980996248117691,0.2849385407358896,0.5847059029604449
LCA2010_S0244,4,4,7113.029937744141,238.8511491010957,27.380299377441407,50.0,75.0,0.0,0.12063764357934145,-0.03449138816563383,0.4893352522024886,0.7192007202628571,0.5655449506518612
LCA2010_S0253,4,4,7113.029937744141,238.8511491010957,27.380299377441407,50.0,75.0,0.0,0.12063764357934145,-0.03449138816563383,0.4893352522024886,0.7192007202628571,0.5655449506518612
LCA2010_S0541,4,4,8927.890930175781,411.6271327345392,-16.971090698242183,100.0,225.0,0.00044511517752771795,0.0003369668058777912,-0.29843770693843147,0.7980996248117691,0.21370390555191718,0.5502305774977851
LCA2010_S0238,4,4,7076.7376708984375,257.69308085533237,27.01737670898438,50.0,75.0,0.0,0.12200844742465711,-0.029213182135645447,0.4571052844595297,0.7150642940408524,0.5487902829559858
LCA2010_S0241,4,4,7076.7376708984375,257.69308085533237,27.01737670898438,50.0,75.0,0.0,0.12200844742465711,-0.029213182135645447,0.4571052844595297,0.7150642940408524,0.5487902829559858
LCA2010_S0566,4,4,8927.890930175781,411.6271327345392,-35.72109069824218,100.0,300.0,0.00044511517752771795,0.0003369668058777912,-0.29843770693843147,0.7980996248117691,0.0,0.4634712677764725
LCA2010_S0558,4,4,8927.890930175781,411.6271327345392,-35.72109069824218,100.0,300.0,0.00044511517752771795,0.0003369668058777912,-0.29843770693843147,0.7980996248117691,0.0,0.4634712677764725
LCA2010_S0079,4,4,6617.843780517578,498.8131799058174,47.42843780517578,0.0,75.0,0.0,0.12446986882018558,0.03752655913295083,0.04621685577828096,0.9477002125856471,0.4567322770513893
