station,policy_name,train_year,train_year_label,eval_year,eval_year_label,seed,model_path,run_status,error_message,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,total_irrigation,total_n_fertilizer,mean_swfac,mean_nstres,mean_reward,sum_reward,daily_csv_path,figure_dir,notes
HLA,HLA_train2007_seed0_debug,2007,observed_low_rain_year,2007,observed_low_rain_year,0,Leave_One_experiments/ppo_observed_years/models/HLA/HLA_train2007_seed0_debug.zip,ok,,True,149,4463.160705566406,7902.8631591796875,0.2888431251049042,3067.776962229982,14503.758385684341,7.741603275273471e-05,0.0004711055115565358,-301.0466180754249,-44855.94609323831,Leave_One_experiments/ppo_observed_years/daily_outputs/HLA/HLA_train2007_eval2007_seed0_daily.csv,Leave_One_experiments/ppo_observed_years/figures/HLA/HLA_train2007_seed0_debug/eval_2007,debug_eval
HLA,HLA_train2007_seed0_debug,2007,observed_low_rain_year,2011,observed_mid_rain_year,0,Leave_One_experiments/ppo_observed_years/models/HLA/HLA_train2007_seed0_debug.zip,ok,,True,169,4443.5235595703125,6699.7003173828125,8.020019595278427e-05,3486.4133714698255,16457.4934088625,0.0,0.0010540291402466903,-315.5709252674539,-53331.48637019971,Leave_One_experiments/ppo_observed_years/daily_outputs/HLA/HLA_train2007_eval2011_seed0_daily.csv,Leave_One_experiments/ppo_observed_years/figures/HLA/HLA_train2007_seed0_debug/eval_2011,debug_eval
HLA,HLA_train2007_seed0_debug,2007,observed_low_rain_year,2009,observed_high_rain_year,0,Leave_One_experiments/ppo_observed_years/models/HLA/HLA_train2007_seed0_debug.zip,ok,,True,159,4614.294738769531,7281.793212890625,0.06349389255046844,3278.5977747291327,15485.282227024436,0.0007000025713218833,0.0005773178436471231,-309.0782729582721,-49143.44540036527,Leave_One_experiments/ppo_observed_years/daily_outputs/HLA/HLA_train2007_eval2009_seed0_daily.csv,Leave_One_experiments/ppo_observed_years/figures/HLA/HLA_train2007_seed0_debug/eval_2009,debug_eval
