schedule_id,station,eval_year,run_status,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,total_irrigation,total_n_fertilizer,planned_total_irrigation,planned_total_n,mean_swfac,mean_nstres,yield_per_100mm_irrigation,yield_per_100kg_n,profit_score,daily_csv_path,notes,yield_loss_vs_ppo_baseline,irrigation_reduction_vs_ppo_baseline,n_reduction_vs_ppo_baseline,is_pareto,expert_candidate_type,total_input
HLA2011_S0183,HLA,2011,ok,True,169,6853.3050537109375,16551.826171875,0.0003227538836654,0.0,225.0,0.0,225.0,0.0,0.0232550981482105,,3045.9133572048613,12.283050537109377,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0183_eval2011_daily.csv,,0.0032819880434192114,1.0,0.5,True,pareto_balanced,
HLA2011_S0209,HLA,2011,ok,True,169,6853.3050537109375,16594.671630859375,0.0003442382731009,0.0,300.0,0.0,300.0,0.0,0.0033776245173617,,2284.435017903646,-6.466949462890625,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0209_eval2011_daily.csv,,0.0032819880434192114,1.0,0.33333333333333337,False,top_yield,
HLA2011_S0131,HLA,2011,ok,True,169,6852.808227539063,16553.837890625,0.0003232421877328,0.0,225.0,0.0,225.0,0.0,0.022996350152958,,3045.6925455729165,12.27808227539063,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0131_eval2011_daily.csv,,0.003354244508064719,1.0,0.5,False,top_yield,
HLA2011_S0573,HLA,2011,ok,True,169,6849.0869140625,16559.0576171875,0.0003422851441428,0.0,300.0,0.0,300.0,0.0,0.0006367980375797,,2283.0289713541665,-6.509130859374992,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0573_eval2011_daily.csv,,0.0038954578556624746,1.0,0.33333333333333337,False,top_yield,
HLA2011_S0417,HLA,2011,ok,True,169,6848.546142578125,16552.972412109375,0.0003422851441428,0.0,300.0,0.0,300.0,0.0,0.0006371884656375,,2282.8487141927085,-6.514538574218747,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0417_eval2011_daily.csv,,0.003974105555510186,1.0,0.33333333333333337,False,top_yield,
HLA2011_S0109,HLA,2011,ok,True,169,6422.036743164063,14681.70654296875,0.0001933593739522,100.0,150.0,100.0,150.0,0.0,0.1190933997814471,6422.036743164063,4281.357828776042,-23.27963256835937,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0109_eval2011_daily.csv,,0.06600397250774657,0.6666666666666667,0.6666666666666667,True,pareto_balanced,
HLA2011_S0110,HLA,2011,ok,True,169,6422.036743164063,14681.70654296875,0.0001933593739522,100.0,150.0,150.0,150.0,0.0,0.1190933997814471,6422.036743164063,4281.357828776042,-23.27963256835937,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0110_eval2011_daily.csv,,0.06600397250774657,0.6666666666666667,0.6666666666666667,True,pareto_balanced,
HLA2011_S0112,HLA,2011,ok,True,169,6422.036743164063,14681.70654296875,0.0001933593739522,100.0,150.0,150.0,150.0,0.0,0.1190933997814471,6422.036743164063,4281.357828776042,-23.27963256835937,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0112_eval2011_daily.csv,,0.06600397250774657,0.6666666666666667,0.6666666666666667,True,pareto_balanced,
HLA2011_S0113,HLA,2011,ok,True,169,6422.036743164063,14681.70654296875,0.0001933593739522,100.0,150.0,200.0,150.0,0.0,0.1190933997814471,6422.036743164063,4281.357828776042,-23.27963256835937,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0113_eval2011_daily.csv,,0.06600397250774657,0.6666666666666667,0.6666666666666667,True,pareto_balanced,
HLA2011_S0105,HLA,2011,ok,True,169,6414.14306640625,15258.697509765623,0.0002084960869979,0.0,150.0,0.0,150.0,0.0,0.1103408752813847,,4276.095377604167,26.641430664062497,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0105_eval2011_daily.csv,,0.06715199813091877,1.0,0.6666666666666667,True,low_input_within_10pct_yield_loss,150.0
HLA2011_S0106,HLA,2011,ok,True,169,6394.025268554688,15086.4892578125,0.0002021484251599,50.0,150.0,50.0,150.0,0.0,0.1110829393539203,12788.050537109377,4262.683512369792,1.4402526855468736,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0106_eval2011_daily.csv,,0.07007785234613355,0.8333333333333334,0.6666666666666667,False,low_input_within_10pct_yield_loss,200.0
HLA2011_S0157,HLA,2011,ok,True,169,6364.142456054688,15143.68896484375,0.0001997070212382,0.0,150.0,0.0,150.0,0.0,0.1126488655276552,,4242.761637369792,26.14142456054688,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0157_eval2011_daily.csv,,0.07442389228354204,1.0,0.6666666666666667,False,low_input_within_10pct_yield_loss,150.0
HLA2011_S0261,HLA,2011,ok,True,169,6310.7275390625,14959.112548828123,0.0001870117121143,0.0,150.0,0.0,150.0,0.0,0.1150947565863118,,4207.151692708333,25.607275390625,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0261_eval2011_daily.csv,,0.08219234990450429,1.0,0.6666666666666667,False,low_input_within_10pct_yield_loss,150.0
HLA2011_S0313,HLA,2011,ok,True,169,6279.78271484375,14865.904541015623,0.0001801757753128,0.0,150.0,0.0,150.0,0.0,0.1181672924369044,,4186.521809895833,25.2978271484375,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0313_eval2011_daily.csv,,0.08669284469262951,1.0,0.6666666666666667,False,low_input_within_10pct_yield_loss,150.0
HLA2011_S0027,HLA,2011,ok,True,169,5253.0572509765625,10228.418579101562,6.799316179240122e-05,0.0,75.0,0.0,75.0,0.0,0.2901030223397813,,7004.076334635417,33.780572509765626,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0027_eval2011_daily.csv,,0.23601579984355678,1.0,0.8333333333333334,True,top_profit,
