schedule_id,station,eval_year,run_status,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,total_irrigation,total_n_fertilizer,planned_total_irrigation,planned_total_n,mean_swfac,mean_nstres,yield_per_100mm_irrigation,yield_per_100kg_n,profit_score,daily_csv_path,notes
LCA2010_S0091,LCA,2010,ok,True,92,6019.64111328125,10747.3291015625,0.8264479041099548,100.0,75.0,100.0,75.0,0.0,0.09441668766996135,6019.64111328125,8026.188151041667,-8.5535888671875,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0091_eval2010_daily.csv,
LCA2010_S0092,LCA,2010,ok,True,92,6003.348388671875,10731.036376953125,0.8264479041099548,150.0,75.0,150.0,75.0,0.0,0.09593057502870975,4002.2322591145835,8004.464518229167,-33.71651611328125,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0092_eval2010_daily.csv,
LCA2010_S0093,LCA,2010,ok,True,92,6003.348388671875,10731.036376953125,0.8264479041099548,150.0,75.0,200.0,75.0,0.0,0.09593057502870975,4002.2322591145835,8004.464518229167,-33.71651611328125,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0093_eval2010_daily.csv,
LCA2010_S0094,LCA,2010,ok,True,92,6019.64111328125,10747.3291015625,0.8264479041099548,100.0,75.0,150.0,75.0,0.0,0.09441668766996135,6019.64111328125,8026.188151041667,-8.5535888671875,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0094_eval2010_daily.csv,
LCA2010_S0095,LCA,2010,ok,True,92,6003.348388671875,10731.036376953125,0.8264479041099548,150.0,75.0,200.0,75.0,0.0,0.09593057502870975,4002.2322591145835,8004.464518229167,-33.71651611328125,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0095_eval2010_daily.csv,
LCA2010_S0096,LCA,2010,ok,True,92,6003.348388671875,10731.036376953125,0.8264479041099548,150.0,75.0,250.0,75.0,0.0,0.09593057502870975,4002.2322591145835,8004.464518229167,-33.71651611328125,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0096_eval2010_daily.csv,
LCA2010_S0097,LCA,2010,ok,True,92,6012.2113037109375,10743.480224609375,0.8264479041099548,50.0,75.0,100.0,75.0,0.0,0.09479192547176195,12024.422607421875,8016.28173828125,16.37211303710938,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0097_eval2010_daily.csv,
LCA2010_S0098,LCA,2010,ok,True,92,5994.764404296875,10726.033935546875,0.8264479041099548,100.0,75.0,150.0,75.0,0.0,0.09645891254362852,5994.764404296875,7993.019205729167,-8.802355957031246,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0098_eval2010_daily.csv,
LCA2010_S0099,LCA,2010,ok,True,92,5994.764404296875,10726.033935546875,0.8264479041099548,100.0,75.0,200.0,75.0,0.0,0.09645891254362852,5994.764404296875,7993.019205729167,-8.802355957031246,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0099_eval2010_daily.csv,
LCA2010_S0100,LCA,2010,ok,True,92,6019.64111328125,10747.3291015625,0.8264479041099548,100.0,75.0,150.0,75.0,0.0,0.09441668766996135,6019.64111328125,8026.188151041667,-8.5535888671875,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0100_eval2010_daily.csv,
LCA2010_S0101,LCA,2010,ok,True,92,6003.348388671875,10731.036376953125,0.8264479041099548,150.0,75.0,200.0,75.0,0.0,0.09593057502870975,4002.2322591145835,8004.464518229167,-33.71651611328125,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0101_eval2010_daily.csv,
LCA2010_S0102,LCA,2010,ok,True,92,6003.348388671875,10731.036376953125,0.8264479041099548,150.0,75.0,250.0,75.0,0.0,0.09593057502870975,4002.2322591145835,8004.464518229167,-33.71651611328125,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0102_eval2010_daily.csv,
LCA2010_S0103,LCA,2010,ok,True,92,6019.64111328125,10747.3291015625,0.8264479041099548,100.0,75.0,200.0,75.0,0.0,0.09441668766996135,6019.64111328125,8026.188151041667,-8.5535888671875,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0103_eval2010_daily.csv,
LCA2010_S0104,LCA,2010,ok,True,92,6003.348388671875,10731.036376953125,0.8264479041099548,150.0,75.0,250.0,75.0,0.0,0.09593057502870975,4002.2322591145835,8004.464518229167,-33.71651611328125,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0104_eval2010_daily.csv,
LCA2010_S0105,LCA,2010,ok,True,92,6287.1356201171875,11064.3359375,0.8351434469223022,0.0,150.0,0.0,150.0,0.0,0.06831987526105798,,4191.423746744792,25.371356201171878,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0105_eval2010_daily.csv,
LCA2010_S0106,LCA,2010,ok,True,92,6287.1356201171875,11064.3359375,0.8351434469223022,50.0,150.0,50.0,150.0,0.0,0.06831987526105798,12574.271240234375,4191.423746744792,0.37135620117187784,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0106_eval2010_daily.csv,
LCA2010_S0107,LCA,2010,ok,True,92,6287.1356201171875,11064.3359375,0.8351434469223022,50.0,150.0,100.0,150.0,0.0,0.06831987526105798,12574.271240234375,4191.423746744792,0.37135620117187784,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0107_eval2010_daily.csv,
LCA2010_S0108,LCA,2010,ok,True,92,6287.1356201171875,11064.3359375,0.8351434469223022,50.0,150.0,50.0,150.0,0.0,0.06831987526105798,12574.271240234375,4191.423746744792,0.37135620117187784,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0108_eval2010_daily.csv,
LCA2010_S0109,LCA,2010,ok,True,92,6287.1356201171875,11064.3359375,0.8351434469223022,100.0,150.0,100.0,150.0,0.0,0.06831987526105798,6287.1356201171875,4191.423746744792,-24.628643798828122,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0109_eval2010_daily.csv,
