schedule_id,station,eval_year,run_status,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,total_irrigation,total_n_fertilizer,planned_total_irrigation,planned_total_n,mean_swfac,mean_nstres,yield_per_100mm_irrigation,yield_per_100kg_n,profit_score,daily_csv_path,notes,yield_loss_vs_ppo_baseline,irrigation_reduction_vs_ppo_baseline,n_reduction_vs_ppo_baseline,is_pareto,expert_candidate_type,total_input
LCA2010_S0530,LCA,2010,ok,True,92,8320.366821289062,15852.52685546875,1.5432507991790771,50.0,225.0,50.0,225.0,0.0017804607101108718,0.0002987663383069246,16640.733642578125,3697.9408094618057,1.9536682128906335,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0530_eval2010_daily.csv,,-0.21008176520235183,0.8333333333333334,0.5,True,pareto_balanced,
LCA2010_S0539,LCA,2010,ok,True,92,8320.366821289062,15852.52685546875,1.5432507991790771,50.0,225.0,100.0,225.0,0.0017804607101108718,0.0002987663383069246,16640.733642578125,3697.9408094618057,1.9536682128906335,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0539_eval2010_daily.csv,,-0.21008176520235183,0.8333333333333334,0.5,True,pareto_balanced,
LCA2010_S0565,LCA,2010,ok,True,92,8320.366821289062,15852.52685546875,1.5432507991790771,50.0,300.0,100.0,300.0,0.0017804607101108718,0.0002987663383069246,16640.733642578125,2773.455607096354,-16.796331787109366,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0565_eval2010_daily.csv,,-0.21008176520235183,0.8333333333333334,0.33333333333333337,False,top_yield,
LCA2010_S0541,LCA,2010,ok,True,92,8320.366821289062,15852.52685546875,1.5432507991790771,100.0,225.0,200.0,225.0,0.0017804607101108718,0.0002987663383069246,8320.366821289062,3697.9408094618057,-23.046331787109366,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0541_eval2010_daily.csv,,-0.21008176520235183,0.6666666666666667,0.5,False,top_yield,
LCA2010_S0558,LCA,2010,ok,True,92,8320.366821289062,15852.52685546875,1.5432507991790771,100.0,300.0,150.0,300.0,0.0017804607101108718,0.0002987663383069246,8320.366821289062,2773.455607096354,-41.79633178710937,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0558_eval2010_daily.csv,,-0.21008176520235183,0.6666666666666667,0.33333333333333337,False,top_yield,
LCA2010_S0566,LCA,2010,ok,True,92,8320.366821289062,15852.52685546875,1.5432507991790771,100.0,300.0,150.0,300.0,0.0017804607101108718,0.0002987663383069246,8320.366821289062,2773.455607096354,-41.79633178710937,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0566_eval2010_daily.csv,,-0.21008176520235183,0.6666666666666667,0.33333333333333337,False,top_yield,
LCA2010_S0452,LCA,2010,ok,True,92,8285.57861328125,15788.3642578125,1.5432507991790771,50.0,150.0,50.0,150.0,0.0024659970532292905,0.0017278628504794576,16571.1572265625,5523.719075520833,20.355786132812497,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0452_eval2010_daily.csv,,-0.2050223036355121,0.8333333333333334,0.6666666666666667,True,pareto_balanced,
LCA2010_S0461,LCA,2010,ok,True,92,8285.57861328125,15788.3642578125,1.5432507991790771,50.0,150.0,100.0,150.0,0.0024659970532292905,0.0017278628504794576,16571.1572265625,5523.719075520833,20.355786132812497,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0461_eval2010_daily.csv,,-0.2050223036355121,0.8333333333333334,0.6666666666666667,True,pareto_balanced,
LCA2010_S0313,LCA,2010,ok,True,92,8008.47412109375,15525.62255859375,1.5073648691177368,0.0,150.0,0.0,150.0,0.0,0.003781319312427355,,5338.982747395833,42.58474121093751,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0313_eval2010_daily.csv,,-0.16472130486298434,1.0,0.6666666666666667,True,pareto_balanced,
LCA2010_S0261,LCA,2010,ok,True,92,7986.7584228515625,14845.5712890625,1.479308843612671,0.0,150.0,0.0,150.0,0.0,0.01636596477550009,,5324.505615234375,42.367584228515625,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0261_eval2010_daily.csv,,-0.1615630582344497,1.0,0.6666666666666667,False,top_profit,
LCA2010_S0443,LCA,2010,ok,True,92,7983.8482666015625,15433.43017578125,1.4890772104263306,0.0,150.0,0.0,150.0,0.0059213223664656926,0.0002987663383069246,,5322.565511067708,42.33848266601562,Leave_One_experiments/offline_schedule_search/daily_outputs/LCA/LCA_LCA2010_S0443_eval2010_daily.csv,,-0.16113981643662362,1.0,0.6666666666666667,False,top_profit,
