station,policy_name,model_type,eval_year,run_status,episode_completed,episode_length,final_grnwt,total_irrigation,total_n_fertilizer,mean_swfac,mean_nstres,profit_score,daily_csv_path,notes,expert_best_yield,expert_best_i,expert_best_n,yield_loss_vs_expert_best,yield_loss_vs_ppo_baseline,input_reduction_vs_ppo_baseline,irrigation_saturation_ratio_300_450,n_saturation_ratio_300_450
SYA,BC_random_forest_regressor_augmented,random_forest_regressor_augmented,2012,ok,True,135.0,8010.47607421875,0.0,108.51833687146188,0.0,0.08075637949837579,52.97517652432204,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/SYA/SYA_BC_random_forest_regressor_augmented_eval2012_daily.csv,augmented_policy_action_table_replay,9270.888671875,0.0,150.0,0.1359538057532662,-0.16501246113330093,0.8553088841713842,0.0,0.24115185971435973
SYA,BC_random_forest_regressor_augmented,random_forest_regressor_augmented,2014,ok,True,144.0,8154.4354248046875,0.0,108.51833687146188,0.043490933461321726,0.11636613537040022,54.4147700301814,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/SYA/SYA_BC_random_forest_regressor_augmented_eval2014_daily.csv,augmented_policy_action_table_replay,7085.7855224609375,0.0,75.0,-0.15081601030066194,-0.18594934875088634,0.8553088841713842,0.0,0.24115185971435973
SYA,BC_random_forest_regressor_augmented,random_forest_regressor_augmented,2015,ok,True,143.0,7979.3212890625,0.0,108.51833687146188,0.0,0.10238724238389021,52.66362867275953,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/SYA/SYA_BC_random_forest_regressor_augmented_eval2015_daily.csv,augmented_policy_action_table_replay,9254.323120117188,0.0,150.0,0.13777364530130456,-0.1604814304436547,0.8553088841713842,0.0,0.24115185971435973
LCA,BC_random_forest_regressor_augmented,random_forest_regressor_augmented,2010,ok,True,92.0,5902.408447265625,0.0,71.40655594405594,0.0,0.10509858248026474,41.17244548664226,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/LCA/LCA_BC_random_forest_regressor_augmented_eval2010_daily.csv,augmented_policy_action_table_replay,6756.5509033203125,0.0,75.0,0.12641693495344553,0.14157668931886122,0.9047912587412588,0.0,0.1586812354312354
LCA,BC_random_forest_regressor_augmented,random_forest_regressor_augmented,2011,ok,True,102.0,6583.6737060546875,0.0,71.40655594405594,0.0,0.14014268330499238,47.9850980745329,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/LCA/LCA_BC_random_forest_regressor_augmented_eval2011_daily.csv,augmented_policy_action_table_replay,7061.177368164063,0.0,75.0,0.06762380226592848,0.04249612176297252,0.9047912587412588,0.0,0.1586812354312354
LCA,BC_random_forest_regressor_augmented,random_forest_regressor_augmented,2008,ok,True,105.0,7149.2926025390625,0.0,71.40655594405594,0.0,0.1508093623887925,53.64128703937665,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/LCA/LCA_BC_random_forest_regressor_augmented_eval2008_daily.csv,augmented_policy_action_table_replay,7431.153564453125,0.0,75.0,0.03792963763558091,-0.039765288988576376,0.9047912587412588,0.0,0.1586812354312354
LCA,BC_random_forest_regressor_augmented,random_forest_regressor_augmented,2009,ok,True,102.0,6474.7100830078125,0.0,71.40655594405594,0.0,0.13009612408338808,46.895461844064144,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/LCA/LCA_BC_random_forest_regressor_augmented_eval2009_daily.csv,augmented_policy_action_table_replay,7057.9693603515625,0.0,75.0,0.08263839747169113,0.05834336698081955,0.9047912587412588,0.0,0.1586812354312354
HLA,BC_mlp_regressor_augmented,mlp_regressor_augmented,2011,ok,True,164.0,197.71472930908203,0.0,0.0,0.0,0.37970471781928367,1.9771472930908203,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/HLA/HLA_BC_mlp_regressor_augmented_eval2011_daily.csv,augmented_policy_action_table_replay,5253.0572509765625,0.0,75.0,0.9623619694469681,0.9712451393324781,1.0,0.0,0.0
HLA,BC_mlp_regressor_augmented,mlp_regressor_augmented,2007,ok,True,149.0,436.7319107055664,0.0,0.0,0.0,0.3849886047760112,4.367319107055664,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/HLA/HLA_BC_mlp_regressor_augmented_eval2007_daily.csv,augmented_policy_action_table_replay,5117.66357421875,0.0,75.0,0.9146618560653946,0.9364834107945122,1.0,0.0,0.0
HLA,BC_mlp_regressor_augmented,mlp_regressor_augmented,2009,ok,True,159.0,239.12643432617188,0.0,0.0,0.0,0.3622416049804328,2.3912643432617187,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/HLA/HLA_BC_mlp_regressor_augmented_eval2009_daily.csv,augmented_policy_action_table_replay,7377.513427734375,0.0,150.0,0.9675871231318643,0.9652223821411845,1.0,0.0,0.0
SYA,BC_mlp_regressor_augmented,mlp_regressor_augmented,2012,ok,True,135.0,2693.1094360351562,0.0,0.0,0.0,0.18894308849617286,26.931094360351562,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/SYA/SYA_BC_mlp_regressor_augmented_eval2012_daily.csv,augmented_policy_action_table_replay,9270.888671875,0.0,150.0,0.70950903075719,0.6083246459877069,1.0,0.0,0.0
SYA,BC_mlp_regressor_augmented,mlp_regressor_augmented,2014,ok,True,144.0,2729.5013427734375,0.0,0.0,0.0,0.20650000621875128,27.295013427734375,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/SYA/SYA_BC_mlp_regressor_augmented_eval2014_daily.csv,augmented_policy_action_table_replay,7085.7855224609375,0.0,75.0,0.614791989664194,0.6030319487195693,1.0,0.0,0.0
SYA,BC_mlp_regressor_augmented,mlp_regressor_augmented,2015,ok,True,143.0,2669.547119140625,0.0,0.0,0.0,0.19679823663684873,26.695471191406252,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/SYA/SYA_BC_mlp_regressor_augmented_eval2015_daily.csv,augmented_policy_action_table_replay,9254.323120117188,0.0,150.0,0.7115351296371397,0.6117514576454619,1.0,0.0,0.0
LCA,BC_mlp_regressor_augmented,mlp_regressor_augmented,2010,ok,True,92.0,2774.4976806640625,0.0,0.0,0.0,0.22091466253218445,27.744976806640626,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/LCA/LCA_BC_mlp_regressor_augmented_eval2010_daily.csv,augmented_policy_action_table_replay,6756.5509033203125,0.0,75.0,0.5893618326325913,0.5964878564755818,1.0,0.0,0.0
LCA,BC_mlp_regressor_augmented,mlp_regressor_augmented,2011,ok,True,102.0,2861.1776733398438,0.0,0.0,0.0,0.21866149937405305,28.61177673339844,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/LCA/LCA_BC_mlp_regressor_augmented_eval2011_daily.csv,augmented_policy_action_table_replay,7061.177368164063,0.0,75.0,0.594801613929185,0.5838814557245406,1.0,0.0,0.0
LCA,BC_mlp_regressor_augmented,mlp_regressor_augmented,2008,ok,True,105.0,3095.6228637695312,0.0,0.0,0.0,0.2280271019254412,30.956228637695315,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/LCA/LCA_BC_mlp_regressor_augmented_eval2008_daily.csv,augmented_policy_action_table_replay,7431.153564453125,0.0,75.0,0.5834263365815203,0.549784659757268,1.0,0.0,0.0
