schedule_id,station,eval_year,run_status,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,total_irrigation,total_n_fertilizer,planned_total_irrigation,planned_total_n,mean_swfac,mean_nstres,yield_per_100mm_irrigation,yield_per_100kg_n,profit_score,daily_csv_path,notes,expert_type,copied_daily_csv_path
HLA2011_S0417,HLA,2007,ok,True,149,7289.425659179687,19457.28759765625,1.3023446798324585,0.0,300.0,0.0,300.0,0.0,0.0004703110496469,,2429.808553059896,-2.105743408203125,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0417_eval2007_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0417_eval2007_daily.csv
HLA2011_S0417,HLA,2009,ok,True,159,7774.378051757812,16547.7294921875,0.2310158610343933,0.0,300.0,0.0,300.0,0.0,0.0006308551854307,,2591.459350585937,2.7437805175781307,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0417_eval2009_daily.csv,,top_yield,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0417_eval2009_daily.csv
HLA2011_S0109,HLA,2011,ok,True,169,6422.036743164063,14681.70654296875,0.0001933593739522,100.0,150.0,100.0,150.0,0.0,0.1190933997814471,6422.036743164063,4281.357828776042,-23.27963256835937,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0109_eval2011_daily.csv,,medium_input_stable,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0109_eval2011_daily.csv
HLA2011_S0109,HLA,2007,ok,True,149,6802.2491455078125,17718.494873046875,1.1344465017318726,100.0,150.0,100.0,150.0,0.0,0.0836784527605812,6802.2491455078125,4534.832763671875,-19.477508544921875,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0109_eval2007_daily.csv,,medium_input_stable,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0109_eval2007_daily.csv
HLA2011_S0109,HLA,2009,ok,True,159,7301.583251953125,15063.1494140625,0.127061516046524,100.0,150.0,100.0,150.0,0.0,0.1706423717287351,7301.583251953125,4867.72216796875,-14.48416748046874,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0109_eval2009_daily.csv,,medium_input_stable,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0109_eval2009_daily.csv
HLA2011_S0110,HLA,2011,ok,True,169,6422.036743164063,14681.70654296875,0.0001933593739522,100.0,150.0,150.0,150.0,0.0,0.1190933997814471,6422.036743164063,4281.357828776042,-23.27963256835937,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0110_eval2011_daily.csv,,medium_input_stable,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0110_eval2011_daily.csv
HLA2011_S0110,HLA,2007,ok,True,149,6802.2491455078125,17718.494873046875,1.1344465017318726,100.0,150.0,150.0,150.0,0.0,0.0836784527605812,6802.2491455078125,4534.832763671875,-19.477508544921875,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0110_eval2007_daily.csv,,medium_input_stable,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0110_eval2007_daily.csv
HLA2011_S0110,HLA,2009,ok,True,159,7301.583251953125,15063.1494140625,0.127061516046524,100.0,150.0,150.0,150.0,0.0,0.1706423717287351,7301.583251953125,4867.72216796875,-14.48416748046874,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0110_eval2009_daily.csv,,medium_input_stable,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0110_eval2009_daily.csv
HLA2011_S0112,HLA,2011,ok,True,169,6422.036743164063,14681.70654296875,0.0001933593739522,100.0,150.0,150.0,150.0,0.0,0.1190933997814471,6422.036743164063,4281.357828776042,-23.27963256835937,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0112_eval2011_daily.csv,,medium_input_stable,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0112_eval2011_daily.csv
HLA2011_S0112,HLA,2007,ok,True,149,6802.2491455078125,17718.494873046875,1.1344465017318726,100.0,150.0,150.0,150.0,0.0,0.0836784527605812,6802.2491455078125,4534.832763671875,-19.477508544921875,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0112_eval2007_daily.csv,,medium_input_stable,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0112_eval2007_daily.csv
