model_name,split,n_rows,irrigation_mae,irrigation_rmse,irrigation_event_precision,irrigation_event_recall,irrigation_event_f1,nitrogen_mae,nitrogen_rmse,nitrogen_event_precision,nitrogen_event_recall,nitrogen_event_f1,nonzero_action_accuracy,zero_action_accuracy
BC_constant_schedule_baseline_augmented,train_year,5940,0.6734006734006734,5.802588531856594,0.23809523809523808,1.0,0.38461538461538464,0.7323232323232324,7.78498944161523,0.7733333333333333,0.7631578947368421,0.7682119205298014,0.9806397306397306,0.9833875663641034
BC_random_forest_regressor_augmented,train_year,5940,0.03061342978009645,1.0007114139924467,1.0,0.92,0.9583333333333334,0.26635506264451964,3.310361971747499,0.8837209302325582,1.0,0.9382716049382716,0.997979797979798,0.9982873779756808
BC_mlp_regressor_augmented,train_year,5940,0.21043771043771045,3.2437456006730123,0.0,0.0,0.0,1.2626262626262625,11.838560518556095,0.0,0.0,0.0,0.982996632996633,1.0
BC_two_stage_classifier_regressor_augmented,train_year,5940,0.0,0.0,1.0,1.0,1.0,0.10606335420098047,2.487353077621137,0.9620253164556962,1.0,0.9806451612903225,0.9994949494949495,0.9994862133927043
BC_constant_schedule_baseline_augmented,cross_year_validation,13560,0.7116519174041298,5.965114908382444,0.24313725490196078,1.0,0.3911671924290221,0.7411504424778761,7.835419919170542,0.7878787878787878,0.7386363636363636,0.7624633431085044,0.9797935103244838,0.9828854526347395
BC_random_forest_regressor_augmented,cross_year_validation,13560,0.09183803905042844,1.9179983768318358,0.8032786885245902,0.7903225806451613,0.7967479674796748,0.8009014332776779,6.58777237130218,0.5611510791366906,0.8863636363636364,0.6872246696035242,0.9876843657817109,0.9899414502326978
BC_mlp_regressor_augmented,cross_year_validation,13560,0.22861356932153393,3.380928639601359,0.0,0.0,0.0,1.2831858407079646,11.945673486423768,0.0,0.0,0.0,0.9824483775811209,1.0
BC_two_stage_classifier_regressor_augmented,cross_year_validation,13560,0.16592920353982302,2.880357647409632,1.0,0.27419354838709675,0.43037974683544306,0.6426647519761457,8.066057319823129,0.967391304347826,0.5056818181818182,0.664179104477612,0.9900442477876106,0.9997748085872992
