reward_version,reward_family,eval_count,ok_count,mean_yield,std_yield,mean_reward,mean_irrigation,mean_n,mean_irrigation_saturation_ratio,mean_n_saturation_ratio,yield_loss_vs_current_reward,input_reduction_vs_current_reward,yield_per_100mm_irrigation,yield_per_100kg_n,recommendation_pass
candidate_A1,candidate_A_linear_cost,3,3,6843.46923828125,273.11026678499593,66.72177745699577,300.0,450.0,1.0,1.0,1.5310277640781053e-05,0.0,2281.1564127604165,1520.7709418402778,False
candidate_A2,candidate_A_linear_cost,3,3,6839.4482421875,275.24572063667307,66.45663154599248,300.0,450.0,1.0,1.0,0.000602868194711696,0.0,2279.8160807291665,1519.8773871527778,False
candidate_A3,candidate_A_linear_cost,3,3,6843.1675211588545,273.8957537088217,66.12151309558004,300.0,450.0,1.0,1.0,5.9397931507169e-05,0.0,2281.0558403862847,1520.7038935908565,False
candidate_B1,candidate_B_linear_plus_excess_penalty,3,3,6878.3563232421875,264.4607639667432,12.07133100773791,300.0,450.0,1.0,1.0,-0.005082477060224493,0.0,2292.785441080729,1528.5236273871528,False
candidate_B2,candidate_B_linear_plus_excess_penalty,3,3,7015.9352620442705,270.5380977177934,-235.31898908586922,300.0,450.0,1.0,1.0,-0.025185852649428592,0.0,2338.6450873480903,1559.0967248987267,False
candidate_B3,candidate_B_linear_plus_excess_penalty,3,3,6930.003255208333,264.3230835872586,-1027.3119886675404,300.0,450.0,1.0,1.0,-0.012629254789329747,0.0,2310.0010850694443,1540.0007233796296,False
candidate_C1,candidate_C_incremental_yield_minus_total_cost,3,3,6868.2375081380205,262.6393752066456,1.9569398936122082,300.0,450.0,1.0,1.0,-0.003603890713157103,0.0,2289.4125027126734,1526.275001808449,False
current_reward_baseline,baseline,3,3,6843.5740152994795,273.18750014330027,66.84092951279358,300.0,450.0,1.0,1.0,0.0,0.0,2281.1913384331597,1520.7942256221065,False
