station_code,year,scenario_type,total_irrigation,total_n,irrigation_event_count,n_event_count,swfac_stress_days_gt_0p05,nstres_days_gt_0p05,irrigation_during_or_before_swfac_stress,fertilization_during_or_before_nstres,first_irrigation_dap,first_n_dap,peak_swfac_dap,peak_nstres_dap,final_grnwt,final_topwt,profit_simple,decision_reasonableness_label,notes
SYA,2008,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,8,7,0,0,True,True,1,1,1,15,11073.4423828125,17890.13671875,-62.265576171875,cap_saturated,
SYA,2010,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,8,7,0,0,True,True,1,1,1,18,8490.496826171875,15639.02099609375,-88.09503173828125,cap_saturated,
SYA,2012,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,8,7,0,0,True,True,1,1,1,13,10105.977783203125,16730.68115234375,-71.94022216796874,cap_saturated,
SYA,2023,normal_year;nitrogen_stress_year;low_response_year,160.0,250.0,8,7,0,0,True,True,1,1,1,15,10738.28369140625,18629.98046875,-65.61716308593749,cap_saturated,
YCA,2004,dry_year;nitrogen_stress_year;irrigation_responsive_year,160.0,250.0,12,8,7,19,True,True,1,1,109,89,7980.5218505859375,18092.052001953125,-93.19478149414063,cap_saturated,
YCA,2014,normal_year;water_stress_year;nitrogen_stress_year,160.0,250.0,12,8,0,0,True,True,1,1,79,6,9381.074829101562,19912.908935546875,-79.18925170898437,cap_saturated,
YCA,2015,normal_year;water_stress_year;nitrogen_stress_year,160.0,250.0,12,8,0,0,True,True,1,1,1,6,9081.901245117188,20201.2548828125,-82.18098754882813,cap_saturated,
YCA,2019,dry_year;water_stress_year;nitrogen_stress_year,160.0,250.0,12,8,1,0,True,True,1,1,11,5,7598.8055419921875,17785.1220703125,-97.01194458007812,cap_saturated,
YCA,2022,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,12,8,0,8,True,True,1,1,1,94,8492.332763671875,18661.19384765625,-88.07667236328125,cap_saturated,
YCA,2005,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,12,8,1,0,True,True,1,1,15,5,9111.390991210938,19096.832275390625,-81.88609008789062,cap_saturated,
YCA,2010,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,12,8,1,0,True,True,1,1,15,6,7246.4801025390625,17177.139892578125,-100.53519897460937,cap_saturated,
YCA,2012,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,12,8,1,0,True,True,1,1,13,5,7861.6424560546875,17110.45166015625,-94.38357543945312,cap_saturated,
YCA,2023,normal_year;nitrogen_stress_year;low_response_year,160.0,250.0,12,8,0,5,True,True,1,1,12,90,9577.181396484375,22436.65771484375,-77.22818603515624,cap_saturated,
