agent,final_trnu,mean_trnu,total_anfer,total_amir,napp_anfer,napp_amir,max_grnwt,final_grnwt,max_topwt,total_reward,episodes,run,penality,anfer_cost,amir_cost,anfer_excess_limit,anfer_excess_cost,amir_excess_limit,amir_excess_cost,score
expert,0.0199627946130931,0.9339012232262972,164.9999976158142,29.999998211860657,1.0,3.0,6414.6914,6414.6914,0.5035,14008.679723682872,30,pen12_ncost0_icost5_nlim300_nex0_ilim80_iex0,12.0,0.0,5.0,300.0,0.0,80.0,0.0,-0.08753965660253554
null,0.0671750982291996,0.05183394899134342,0.0,0.0,0.0,0.0,438.5632,438.5632,0.5035,865.6204082526529,30,pen12_ncost0_icost5_nlim300_nex0_ilim80_iex0,12.0,0.0,5.0,300.0,0.0,80.0,0.0,-0.08753965660253554
ppo,1.4977030487110217,1.7417800213325572,1118.0638330678146,259.88562575231,21.4,22.833333333333332,7461.405136666667,7461.405136666667,0.5036197666666666,1348.3463954327112,30,pen12_ncost0_icost5_nlim300_nex0_ilim80_iex0,12.0,0.0,5.0,300.0,0.0,80.0,0.0,-0.08753965660253554
