agent,episode,final_trnu,mean_trnu,max_trnu,total_anfer,total_amir,napp_anfer,napp_amir,max_grnwt,final_grnwt,max_topwt,total_reward
ppo,27,1.4960560947656631,1.7430468785870294,10.59700772166252,1299.8071938753128,271.08805626630783,21,26,7467.9736,7467.9736,0.5035,-978.7666161777452
ppo,28,1.494788844138384,1.7432410333261843,10.59647649526596,825.9967625141144,234.31517332792282,19,24,7468.7812,7468.7812,0.5035,5872.82366494881
ppo,29,1.4955978840589523,1.7431912091310642,10.597039014101028,1373.3426570892334,195.15136033296585,21,23,7468.4326,7468.4326,0.5035,-132.94721409445629
ppo,30,1.4959115535020828,1.737946245605251,10.571405291557312,1096.1462199687958,274.4001895189285,24,22,7447.9126,7447.9126,0.5035,1328.4558059589472
expert,1,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,2,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,3,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,4,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,5,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,6,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,7,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,8,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,9,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,10,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,11,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,12,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,13,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,14,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,15,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,16,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,17,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,18,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,19,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,20,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,21,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,22,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,23,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,24,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,25,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,26,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,27,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,28,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,29,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
expert,30,0.0199627946130931,0.9339012232262972,8.125782757997513,164.9999976158142,29.999998211860657,1,3,6414.6914,6414.6914,0.5035,14008.679723682872
