agent,episode,final_trnu,mean_trnu,max_trnu,total_anfer,total_amir,napp_anfer,napp_amir,max_grnwt,final_grnwt,max_topwt,total_reward
null,1,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,2,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,3,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,4,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,5,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,6,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,7,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,8,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,9,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,10,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,11,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,12,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,13,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,14,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,15,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,16,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,17,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,18,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,19,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,20,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,21,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,22,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,23,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,24,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,25,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,26,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,27,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,28,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,29,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
null,30,0.0671750982291996,0.05183394899134342,0.142361014150083,0.0,0.0,0,0,438.5632,438.5632,0.5035,865.6204082526529
ppo,1,1.5042020939290524,1.7328626901847342,10.441766679286957,833.8048577308655,208.50612819194794,16,25,7440.9336,7440.9336,0.5035,749.962970772176
ppo,2,1.4935924671590328,1.7439934683669884,10.597016662359238,1028.565502166748,121.15585654973984,16,13,7469.618,7469.618,0.5035,835.0982248573564
ppo,3,1.4995799399912355,1.7416387986651178,10.597021132707596,782.4673414230347,162.24903464317322,14,19,7465.935,7465.935,0.5035,3218.8933134672698
ppo,4,1.4946184121072292,1.7435720076334456,10.597020387649536,870.8410829305649,201.08776092529297,15,18,7469.042,7469.042,0.5035,907.6903794659302
ppo,5,1.4940494671463966,1.7438011100178197,10.59701442718506,777.3870766162872,185.19217371940613,16,11,7469.3643,7469.3643,0.5035,2676.5619804896414
ppo,6,1.5012210234999657,1.7396791601372295,10.590380430221558,760.2888643741608,187.52564191818237,18,20,7461.152,7461.152,0.5035,2778.6663611908443
ppo,7,1.4980558305978775,1.7360056141246145,10.582759976387024,595.9931075572968,169.01445537805557,12,15,7462.1035,7462.1035,0.5035,5806.240802847851
ppo,8,1.500613708049059,1.7401760297158622,10.571904480457306,1069.6687638759613,182.78363794088364,16,15,7460.2324,7460.2324,0.5035,-1752.5396496150643
ppo,9,1.494259387254715,1.7437269212678075,10.597016662359238,917.2834873199463,236.9074672460556,21,21,7469.282,7469.282,0.5035,-975.4306659242138
ppo,10,1.4935944229364395,1.7439816373669161,10.596999526023865,946.7306315898895,143.28513592481613,15,14,7469.612,7469.612,0.5035,1398.6752195144072
ppo,11,1.4946699142456057,1.7435456139751204,10.597020387649536,864.5320653915405,123.25476557016373,17,10,7469.0215,7469.0215,0.5035,3220.6176766369026
ppo,12,1.5012063086032867,1.7405838378620704,10.596354305744171,1084.1773092746735,198.53613749146461,19,14,7464.763,7464.763,0.5035,-2414.240263487445
ppo,13,1.4977838844060898,1.739218484160284,10.582444816827774,718.6621606349945,222.42190092802048,17,16,7462.8906,7462.8906,0.5035,2379.1774266399443
ppo,14,1.4996986836194992,1.7428247623329969,10.59701442718506,819.9937641620636,239.38763290643692,18,22,7461.0967,7461.0967,0.5035,243.90037995181046
ppo,15,1.4934327453374865,1.7437394272814186,10.595694184303284,846.069473028183,265.8259578049183,17,20,7467.9062,7467.9062,0.5035,-367.47453325311653
ppo,16,1.5032952651381493,1.740758620427559,10.597015172243118,684.2486277222633,259.39854979515076,15,22,7457.8765,7457.8765,0.5035,1641.2365638650954
ppo,17,1.5011745505034924,1.7410213320716066,10.597015172243118,823.9536046981812,231.57257586717606,14,22,7464.5957,7464.5957,0.5035,492.1010441589169
ppo,18,1.4936912804841995,1.7439642767171881,10.59701442718506,813.1690680980682,128.0529022216797,20,13,7469.532,7469.532,0.5035,3857.3662220477127
ppo,19,1.494478061795235,1.7436257280696859,10.597015172243118,678.735876083374,257.0245325565338,14,19,7469.131,7469.131,0.506377,2171.822598739527
ppo,20,1.5048515051603315,1.7403213388127143,10.59531271457672,679.4678092002869,165.03053158521652,14,17,7462.1543,7462.1543,0.5035,4812.398352375021
ppo,21,1.5046433545649052,1.7388739554764665,10.451649874448776,729.192191362381,143.12640726566315,22,16,7459.213,7459.213,0.5035,4710.036579469452
ppo,22,1.5072936192154884,1.7401139459716493,10.597018152475355,788.9918804168701,184.8957397043705,14,19,7461.062,7461.062,0.5035,2597.3237274447456
ppo,23,1.5079967677593231,1.7293769098199503,10.568909347057344,784.6768498420715,361.3442540168762,17,22,7452.0386,7452.0386,0.5035,-2923.8693108106963
ppo,24,1.4987890608608725,1.7311689053230839,10.571517050266266,890.625262260437,210.98539978265762,21,20,7458.634,7458.634,0.5035,292.7409366425127
ppo,25,1.49577297270298,1.7412019423177878,10.592340677976608,726.6587197780609,211.9263619184494,13,18,7466.9297,7466.9297,0.5035,2637.6132235256955
ppo,26,1.4958549290895462,1.741418577402505,10.59347167611122,1063.643717765808,138.64106461405754,19,13,7466.6167,7466.6167,0.5035,-258.9151214924641
