combo,agent,PRCP,ETCP,PRCP_minus_ETCP,swfac_stress_days_gt_0.05,max_swfac,mean_swfac,nstres_days_gt_0.05,max_nstres,mean_nstres,max_grnwt,total_anfer,total_amir,final_totir,total_reward,terminated_normally
pen15_icost15_ns20_nlim300_nex5_ilim120_iex10,null,207.3,496.0,-288.7,0,0.0,0.0,114,0.798799991607666,0.3961676559571562,468.739013671875,0.0,0.0,0.0,936.7106895554753,True
pen15_icost15_ns20_nlim300_nex5_ilim120_iex10,expert,207.3,496.0,-288.7,18,1.0,0.0966584708156256,34,0.4043867588043213,0.0626966036599257,6276.0400390625,164.9999976158142,29.999998211860657,29.99999618530273,16951.014177522105,True
pen15_icost15_ns20_nlim300_nex5_ilim120_iex10,ppo,207.3,496.0,-288.7,0,0.0,0.0,0,0.0142695903778076,0.0004841027588679,4868.3184814453125,13619.652192853391,3518.157187511679,3604.068603515625,-50605.46276569192,True
pen15_icost15_ns50_nlim250_nex10_ilim80_iex20,null,207.3,496.0,-288.7,0,0.0,0.0,114,0.798799991607666,0.3961676559571562,468.739013671875,0.0,0.0,0.0,936.7106895554753,True
pen15_icost15_ns50_nlim250_nex10_ilim80_iex20,expert,207.3,496.0,-288.7,18,1.0,0.0966584708156256,34,0.4043867588043213,0.0626966036599257,6276.0400390625,164.9999976158142,29.999998211860657,29.99999618530273,16951.014177522105,True
pen15_icost15_ns50_nlim250_nex10_ilim80_iex20,ppo,207.3,496.0,-288.7,0,0.0,0.0,0,0.0142695903778076,0.0004841031699345,4866.901245117188,13642.857995443046,3522.1935500914697,3608.088134765625,-50680.90584239981,True
pen20_icost20_ns50_nlim220_nex15_ilim80_iex30,null,207.3,496.0,-288.7,0,0.0,0.0,114,0.798799991607666,0.3961676559571562,468.739013671875,0.0,0.0,0.0,936.7106895554753,True
pen20_icost20_ns50_nlim220_nex15_ilim80_iex30,expert,207.3,496.0,-288.7,18,1.0,0.0966584708156256,34,0.4043867588043213,0.0626966036599257,6276.0400390625,164.9999976158142,29.999998211860657,29.99999618530273,16951.014177522105,True
pen20_icost20_ns50_nlim220_nex15_ilim80_iex30,ppo,207.3,496.0,-288.7,0,0.0,0.0,0,0.0142695903778076,0.0004841031699345,4866.466674804688,13649.964035488663,3523.598405078519,3609.488037109375,-50706.55261432985,True
