site,agent,dap,swfac,nstres,trnu,topwt,grnwt,xlai,ep,totir,reward,raw_action_anfer,raw_action_amir,real_action_anfer,real_action_amir
YC,expert,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
YC,expert,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-82.4999988079071,-1.0,0.6499999761581421,164.9999976158142,0.0
YC,expert,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
YC,expert,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
YC,expert,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
YC,expert,6.0,0.0,0.012191057205200195,,26.400001049041748,0.0,0.004768428858369589,0.0,0.0,26.400001049041748,-1.0,-1.0,0.0,0.0
YC,expert,7.0,0.0,0.012897968292236328,,26.400001049041748,0.0,0.009054027497768402,0.014074720442295074,0.0,0.0,-1.0,-1.0,0.0,0.0
YC,expert,8.0,0.0,0.005717635154724121,,26.400001049041748,0.0,0.014958871528506279,0.040978867560625076,0.0,0.0,-1.0,-1.0,0.0,0.0
YC,expert,9.0,0.0,0.0,,26.400001049041748,0.0,0.03537130355834961,0.06174115091562271,0.0,0.0,-1.0,-1.0,0.0,0.0
YC,expert,10.0,0.0,0.0,,29.957387447357178,0.0,0.054858654737472534,0.11153135448694229,0.0,3.5573863983154297,-1.0,-1.0,0.0,0.0
YC,expert,11.0,0.0,0.0,,39.19382095336914,0.0,0.07784024626016617,0.17570284008979797,0.0,9.329520321503043,-1.0,-1.0,0.0,0.0
YC,expert,12.0,0.0,0.0,,50.661869049072266,0.0,0.10413455218076706,0.2465991973876953,0.0,11.905552804667547,-1.0,-1.0,0.0,0.0
YC,expert,13.0,0.0,0.0,,64.50431823730469,0.0,0.13373669981956482,0.32479923963546753,0.0,14.388365629622735,-1.0,-1.0,0.0,0.0
YC,expert,14.0,0.0,0.0,,83.72308731079102,0.0,0.1722247451543808,0.40094202756881714,0.0,19.821957968772793,-1.0,-1.0,0.0,0.0
YC,expert,15.0,0.0,0.0,,107.17959403991699,0.0,0.21634477376937866,0.5124778747558594,0.0,24.310465260176642,-1.0,-1.0,0.0,0.0
YC,expert,16.0,0.0,0.0,,142.28303909301758,0.0,0.2783198356628418,1.0709424018859863,0.0,36.323489480717875,-1.0,-1.0,0.0,0.0
YC,expert,17.0,0.0,0.0,,187.05949783325195,0.0,0.35244807600975037,1.2765319347381592,0.0,46.38603908105485,-1.0,-1.0,0.0,0.0
YC,expert,18.0,0.0,0.0,,201.7408561706543,0.0,0.40122726559638977,0.26959753036499023,0.0,16.187516645185394,-1.0,-1.0,0.0,0.0
YC,expert,19.0,0.0,0.0,,259.8116111755371,0.0,0.49640941619873047,1.6514809131622314,0.0,59.2063463277939,-1.0,-1.0,0.0,0.0
YC,expert,20.0,0.0,0.003827691078186035,,314.10619735717773,0.0,0.5810431241989136,0.9713631868362427,0.0,56.46390351498752,-1.0,-1.0,0.0,0.0
YC,expert,21.0,0.0,0.0,,339.1036605834961,0.0,0.6184859871864319,0.4468501806259155,0.0,26.93659416764424,-1.0,-1.0,0.0,0.0
YC,expert,22.0,0.0,0.0,,400.54237365722656,0.0,0.7089174389839172,1.0713874101638794,0.0,62.392719452454195,-1.0,-1.0,0.0,0.0
YC,expert,23.0,0.0,0.0,,492.58190155029297,0.0,0.8390576243400574,1.6540842056274414,0.0,97.98605341067422,-1.0,-1.0,0.0,0.0
YC,expert,24.0,0.0,0.0,,607.9417419433594,0.0,0.9949694275856018,2.219917058944702,0.0,119.7764313178844,-1.0,-1.0,0.0,0.0
