site,site_name,agent,mode,template,weather,soil,PDATE,n_days,PRCP,ETCP,PRCP_minus_ETCP,swfac_stress_days_gt_0.05,swfac_stress_days_gt_0.10,max_swfac,mean_swfac,nstres_days_gt_0.05,max_nstres,mean_nstres,mean_trnu,final_trnu,max_grnwt,total_anfer,total_amir,final_totir,template_irrigation_mm,total_reward,note,terminated_normally,max_steps
YC,YC,null,all,my_data/UFGA8201-YC.jinja2,my_data/CNYC0801.WTH,my_data/YC.SOL,08170,106,357.1,350.0,7.100000000000023,0,0,0.0,0.0,88,0.5364187359809875,0.3025480188288779,,,1451.1973571777344,0.0,0.0,0.0,120.0,4451.681784141192,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress in this table",True,260
YC,YC,expert,all,my_data/UFGA8201-YC.jinja2,my_data/CNYC0801.WTH,my_data/YC.SOL,08170,106,357.1,350.0,7.100000000000023,0,0,0.0,0.0,13,0.1494317650794983,0.01631053776111243,,,7581.77734375,164.9999976158142,29.999998211860657,29.999996185302734,120.0,17409.676223374532,"maize post-processing uses 1-original_value, so larger swfac/nstres means stronger stress in this table",True,260
