site,agent,dap,swfac,nstres,trnu,topwt,grnwt,xlai,ep,totir,reward,raw_action_anfer,raw_action_amir,real_action_anfer,real_action_amir
YC,null,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
YC,null,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
YC,null,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
YC,null,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
YC,null,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
YC,null,6.0,0.0,0.012191057205200195,,26.400001049041748,0.0,0.004768428858369589,0.0,0.0,26.400001049041748,-1.0,-1.0,0.0,0.0
YC,null,7.0,0.0,0.012897968292236328,,26.400001049041748,0.0,0.009054027497768402,0.014074720442295074,0.0,0.0,-1.0,-1.0,0.0,0.0
YC,null,8.0,0.0,0.005717635154724121,,26.400001049041748,0.0,0.014958871528506279,0.040978867560625076,0.0,0.0,-1.0,-1.0,0.0,0.0
YC,null,9.0,0.0,0.0,,26.400001049041748,0.0,0.03537130355834961,0.06174115091562271,0.0,0.0,-1.0,-1.0,0.0,0.0
YC,null,10.0,0.0,0.0,,29.957387447357178,0.0,0.054858654737472534,0.11153148114681244,0.0,3.5573863983154297,-1.0,-1.0,0.0,0.0
YC,null,11.0,0.0,0.0,,39.19382095336914,0.0,0.07784024626016617,0.1757034957408905,0.0,9.329520321503043,-1.0,-1.0,0.0,0.0
YC,null,12.0,0.0,0.0,,50.661869049072266,0.0,0.10413455218076706,0.24659587442874908,0.0,11.905552804667547,-1.0,-1.0,0.0,0.0
YC,null,13.0,0.0,0.0,,64.50431823730469,0.0,0.13373669981956482,0.3247813582420349,0.0,14.388365629622735,-1.0,-1.0,0.0,0.0
