site,agent,dap,swfac,turfac,nstres,trnu,topwt,grnwt,xlai,ep,totir,reward,raw_action_anfer,raw_action_amir,real_action_anfer,real_action_amir
FQ,null,36.0,0.0,,0.0,,525.9550094604492,0.0,0.872864842414856,2.472102165222168,0.0,55.440862998366356,-1.0,-1.0,0.0,0.0
FQ,null,37.0,0.0,,0.0,,599.5196151733398,0.0,0.9589303731918335,2.173696517944336,0.0,73.96118018776178,-1.0,-1.0,0.0,0.0
FQ,null,38.0,0.0,,0.03641533851623535,,681.5425109863281,0.0,1.04463791847229,3.0771329402923584,0.0,82.4963677674532,-1.0,-1.0,0.0,0.0
FQ,null,39.0,0.0,,0.08098983764648438,,743.934326171875,0.0,1.098902940750122,0.9340494871139526,0.0,62.952489629387856,-1.0,-1.0,0.0,0.0
FQ,null,40.0,0.0,,0.11866116523742676,,773.9142608642578,0.0,1.1125800609588623,0.4321887493133545,0.0,30.5398166179657,-1.0,-1.0,0.0,0.0
FQ,null,41.0,0.0,,0.13729023933410645,,822.2101593017578,0.0,1.1401163339614868,2.7058043479919434,0.0,48.7215681374073,-1.0,-1.0,0.0,0.0
FQ,null,42.0,0.0,,0.14111387729644775,,873.1539916992188,0.0,1.1674575805664062,1.551131248474121,0.0,51.36287823319435,-1.0,-1.0,0.0,0.0
FQ,null,43.0,0.0,,0.15212798118591309,,929.7153472900391,0.0,1.1959218978881836,2.1984336376190186,0.0,56.9937526807189,-1.0,-1.0,0.0,0.0
FQ,null,44.0,0.0,,0.16247856616973877,,991.0093688964844,0.0,1.2243379354476929,1.511465311050415,0.0,61.747926250100136,-1.0,-1.0,0.0,0.0
FQ,null,45.0,0.0,,0.17298126220703125,,1118.6729431152344,0.0,1.2431111335754395,2.0946404933929443,0.0,128.11945401132107,-1.0,-1.0,0.0,0.0
FQ,null,46.0,0.0,,0.18290835618972778,,1244.3325805664062,0.0,1.2569607496261597,2.346275806427002,0.0,126.16546273231506,-1.0,-1.0,0.0,0.0
FQ,null,47.0,0.0,,0.22741639614105225,,1364.2333984375,0.0,1.2623437643051147,2.9373183250427246,0.0,120.40906000882387,-1.0,-1.0,0.0,0.0
FQ,null,48.0,0.0,,0.28682446479797363,,1471.4558410644531,0.0,1.2588107585906982,3.6024155616760254,0.0,107.72565573453903,-1.0,-1.0,0.0,0.0
FQ,null,49.0,0.0,,0.32968276739120483,,1577.6382446289062,0.0,1.2513539791107178,2.7807254791259766,0.0,106.60132486373186,-1.0,-1.0,0.0,0.0
FQ,null,50.0,0.0,,0.36087799072265625,,1669.4985961914062,0.0,1.2372865676879883,2.10876202583313,0.0,92.28477090597153,-1.0,-1.0,0.0,0.0
FQ,null,51.0,0.0,,0.38555842638015747,,1756.5193176269531,0.0,1.2201637029647827,3.828287363052368,0.0,87.55341626703739,-1.0,-1.0,0.0,0.0
FQ,null,52.0,0.0,,0.3947755694389343,,1851.6886901855469,0.0,1.2044085264205933,3.9113478660583496,0.0,95.50198648124933,-1.0,-1.0,0.0,0.0
FQ,null,53.0,0.0,,0.4073002338409424,,1868.5365295410156,0.0,1.167924165725708,0.3890315294265747,0.0,17.316101789474487,-1.0,-1.0,0.0,0.0
FQ,null,54.0,0.0,,0.4164245128631592,,1938.4451293945312,0.0,1.145293116569519,3.6079394817352295,0.0,70.28803043067455,-1.0,-1.0,0.0,0.0
FQ,null,55.0,0.0,,0.40145474672317505,,2010.098876953125,0.0,1.1245791912078857,2.754168748855591,0.0,72.14275732636452,-1.0,-1.0,0.0,0.0
FQ,null,56.0,0.0,,0.40305256843566895,,2089.7158813476562,0.0,1.1064437627792358,2.6558663845062256,0.0,80.16958810389042,-1.0,-1.0,0.0,0.0
FQ,null,57.0,0.0,,0.40275782346725464,,2149.845733642578,0.0,1.0840849876403809,1.3958985805511475,0.0,60.72312403470278,-1.0,-1.0,0.0,0.0
FQ,null,58.0,0.0,,0.40186917781829834,,2234.110565185547,0.0,1.0684853792190552,2.3007402420043945,0.0,84.78349506855011,-1.0,-1.0,0.0,0.0
FQ,null,59.0,0.0,,0.39871740341186523,,2322.3281860351562,0.0,1.054513692855835,2.3673465251922607,0.0,88.78154188394547,-1.0,-1.0,0.0,0.0
FQ,null,60.0,0.0,,0.3954283595085144,,2388.9218139648438,0.0,1.0357868671417236,1.6739922761917114,0.0,67.20737338066101,-1.0,-1.0,0.0,0.0
FQ,null,61.0,0.0,,0.39072883129119873,,2410.428466796875,0.0,1.006709098815918,0.4647504687309265,0.0,22.073231227695942,-1.0,-1.0,0.0,0.0
FQ,null,62.0,0.0,,0.3847755789756775,,2527.9025268554688,0.0,0.9737908244132996,2.940524101257324,0.0,117.9815486073494,-1.0,-1.0,0.0,0.0
FQ,null,63.0,0.0,,0.3617172837257385,,2649.3731689453125,0.0,0.9428844451904297,3.017681837081909,0.0,121.95632584393024,-1.0,-1.0,0.0,0.0
FQ,null,64.0,0.0,,0.3633420467376709,,2766.5097045898438,0.0,0.9128950834274292,2.971074104309082,0.0,117.62168150395155,-1.0,-1.0,0.0,0.0
FQ,null,65.0,0.0,,0.3637051582336426,,2868.09814453125,0.0,0.8838458061218262,2.6312992572784424,0.0,102.15545315295458,-1.0,-1.0,0.0,0.0
FQ,null,66.0,0.0,,0.3603008985519409,,2933.4027099609375,0.0,0.8558462858200073,1.7988134622573853,0.0,65.88810216635466,-1.0,-1.0,0.0,0.0
FQ,null,67.0,0.0,,0.35271012783050537,,3033.8552856445312,0.0,0.8290043473243713,2.457540988922119,0.0,101.06358766555786,-1.0,-1.0,0.0,0.0
FQ,null,68.0,0.0,,0.33556675910949707,,3060.0863647460938,0.0,0.8035964369773865,0.9433826804161072,0.0,26.84473365545273,-1.0,-1.0,0.0,0.0
FQ,null,69.0,0.0,,0.32221782207489014,,3147.7243041992188,0.0,0.7794143557548523,2.2826318740844727,0.0,88.1811486557126,-1.0,-1.0,0.0,0.0
FQ,null,70.0,0.0,,0.2938609719276428,,3259.320068359375,0.0,0.7568807601928711,2.617917537689209,0.0,112.14447535574436,-1.0,-1.0,0.0,0.0
FQ,null,71.0,0.0,,0.2764011025428772,,3374.368896484375,210.37023544311523,0.73554927110672,2.0130043029785156,0.0,115.63237022608519,-1.0,-1.0,0.0,0.0
FQ,null,72.0,0.0,,0.34184354543685913,,3458.612060546875,290.79702377319336,0.7128133773803711,1.724671721458435,0.0,84.80367802083492,-1.0,-1.0,0.0,0.0
FQ,null,73.0,0.0,,0.30241328477859497,,3540.025634765625,380.0099182128906,0.6919512748718262,1.4825152158737183,0.0,82.02695708721876,-1.0,-1.0,0.0,0.0
FQ,null,74.0,0.0,,0.30008018016815186,,3624.302978515625,488.1468200683594,0.671766996383667,1.5185792446136475,0.0,84.8919378593564,-1.0,-1.0,0.0,0.0
FQ,null,75.0,0.0,,0.29807716608047485,,3712.8131103515625,561.815071105957,0.652227520942688,1.9401252269744873,0.0,89.10573922097683,-1.0,-1.0,0.0,0.0
FQ,null,76.0,0.0,,0.278742253780365,,3778.1326293945312,638.8626098632812,0.633781909942627,1.1820006370544434,0.0,65.92878796160221,-1.0,-1.0,0.0,0.0
FQ,null,77.0,0.0,,0.27687138319015503,,3862.0404052734375,733.4823608398438,0.6159074306488037,1.4890601634979248,0.0,84.4930150359869,-1.0,-1.0,0.0,0.0
FQ,null,78.0,0.0,,0.27802395820617676,,3919.7698974609375,841.6192626953125,0.5985074043273926,0.9247616529464722,0.0,58.29532939940691,-1.0,-1.0,0.0,0.0
FQ,null,79.0,0.0,,0.2831871509552002,,4013.448486328125,949.7561645507812,0.5814701914787292,1.5752551555633545,0.0,94.19132698327303,-1.0,-1.0,0.0,0.0
FQ,null,80.0,0.0,,0.27697330713272095,,4058.092041015625,1057.89306640625,0.5650685429573059,0.708782970905304,0.0,45.1578426361084,-1.0,-1.0,0.0,0.0
FQ,null,81.0,0.0,,0.29097098112106323,,4066.7413330078125,1166.0299682617188,0.548799991607666,0.12913444638252258,0.0,9.292850345373154,-1.0,-1.0,0.0,0.0
FQ,null,82.0,0.0,,0.2785600423812866,,4079.6286010742188,1274.1668701171875,0.5332835912704468,0.19971667230129242,0.0,13.33659302443266,-1.0,-1.0,0.0,0.0
FQ,null,83.0,0.0,,0.25408226251602173,,4170.229187011719,1382.3037719726562,0.5187497735023499,1.501680850982666,0.0,90.86375921964645,-1.0,-1.0,0.0,0.0
FQ,null,84.0,0.0,,0.24027937650680542,,4275.2777099609375,1490.440673828125,0.504910409450531,1.7238125801086426,0.0,105.32471871003509,-1.0,-1.0,0.0,0.0
FQ,null,85.0,0.0,,0.2694947123527527,,4342.463073730469,1598.5775756835938,0.49082568287849426,1.087485671043396,0.0,67.48889923095703,-1.0,-1.0,0.0,0.0
FQ,null,86.0,0.0,,0.30541980266571045,,4399.818420410156,1706.7144775390625,0.47639912366867065,0.9679296612739563,0.0,57.70267318934202,-1.0,-1.0,0.0,0.0
FQ,null,87.0,0.0,,0.3185906410217285,,4468.302001953125,1814.8513793945312,0.46213504672050476,1.193070888519287,0.0,68.88284493237734,-1.0,-1.0,0.0,0.0
FQ,null,88.0,0.0,,0.325026273727417,,4546.77978515625,1922.98828125,0.44817420840263367,1.3648271560668945,0.0,78.98612447082996,-1.0,-1.0,0.0,0.0
FQ,null,89.0,0.0,,0.33227044343948364,,4593.721923828125,2031.1251831054688,0.4344998896121979,0.812325119972229,0.0,47.44620490819216,-1.0,-1.0,0.0,0.0
FQ,null,90.0,0.0,,0.34341979026794434,,4644.732971191406,2139.2620849609375,0.4210408926010132,0.943116307258606,0.0,51.47506810724735,-1.0,-1.0,0.0,0.0
FQ,null,91.0,0.0,,0.3422011137008667,,4719.51416015625,2247.3989868164062,0.4080201983451843,1.3298394680023193,0.0,75.27348157018423,-1.0,-1.0,0.0,0.0
FQ,null,92.0,0.0,,0.3411787152290344,,4783.925476074219,2355.535888671875,0.39541950821876526,1.1642065048217773,0.0,64.93233788758516,-1.0,-1.0,0.0,0.0
FQ,null,93.0,0.0,,0.3544824719429016,,4850.016174316406,2463.6727905273438,0.38298875093460083,1.1334044933319092,0.0,66.61953192204237,-1.0,-1.0,0.0,0.0
FQ,null,94.0,0.0,,0.36002957820892334,,4853.1451416015625,2495.7693481445312,0.37086033821105957,0.5970613360404968,0.0,3.657149374485016,-1.0,-1.0,0.0,0.0
FQ,null,95.0,0.0,,0.29968947172164917,,4868.7255859375,2511.3497924804688,0.3600483238697052,0.256396621465683,0.0,16.107212677598,-1.0,-1.0,0.0,0.0
FQ,null,96.0,0.0,,0.22795051336288452,,4928.898010253906,2571.522216796875,0.3506278097629547,0.9315829277038574,0.0,60.65609149634838,-1.0,-1.0,0.0,0.0
FQ,null,97.0,0.0,,0.23164039850234985,,4985.666809082031,2628.291015625,0.3413999080657959,0.8873388767242432,0.0,57.25321602076292,-1.0,-1.0,0.0,0.0
FQ,null,98.0,0.0,,0.23049980401992798,,5048.6383056640625,2691.2625122070312,0.33243104815483093,0.9965633153915405,0.0,63.45325570553541,-1.0,-1.0,0.0,0.0
FQ,null,99.0,0.0,,0.23725003004074097,,5080.4278564453125,2723.0520629882812,0.3236042857170105,0.5060548782348633,0.0,32.27829419076443,-1.0,-1.0,0.0,0.0
FQ,null,100.0,0.0,,0.20665663480758667,,5080.4278564453125,2723.0520629882812,0.3236042857170105,1.0434746742248535,0.0,0.4887434095144272,-1.0,-1.0,0.0,0.0
FQ,null,101.0,0.0,,0.20665663480758667,,5080.4278564453125,2723.0520629882812,0.3236042857170105,1.0469295978546143,0.0,0.4887434095144272,-1.0,-1.0,0.0,0.0
FQ,null,101.0,0.0,,0.20665663480758667,,5080.4278564453125,2723.0520629882812,0.3236042857170105,1.0469295978546143,0.0,0.0,-1.0,-1.0,0.0,0.0
