station_code,year,scenario_type,total_irrigation,total_n,irrigation_event_count,n_event_count,swfac_stress_days_gt_0p05,nstres_days_gt_0p05,irrigation_during_or_before_swfac_stress,fertilization_during_or_before_nstres,first_irrigation_dap,first_n_dap,peak_swfac_dap,peak_nstres_dap,final_grnwt,final_topwt,profit_simple,decision_reasonableness_label,notes
SYA,2010,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,8,7,0,0,True,True,1,1,1,18,8490.496826171875,15639.02587890625,6.40496826171875,cap_saturated,
SYA,2012,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,8,7,0,0,True,True,1,1,1,13,10106.010131835938,16730.673828125,22.56010131835937,cap_saturated,
SYA,2023,normal_year;nitrogen_stress_year;low_response_year,160.0,250.0,8,7,0,0,True,True,1,1,1,15,10738.28857421875,18630.089111328125,28.882885742187497,cap_saturated,
YCA,2004,dry_year;nitrogen_stress_year;irrigation_responsive_year,160.0,250.0,12,8,7,16,True,True,1,1,109,89,8064.649658203125,18240.057373046875,2.146496582031247,cap_saturated,
YCA,2014,normal_year;water_stress_year;nitrogen_stress_year,160.0,250.0,12,8,0,0,True,True,1,1,79,6,9381.273803710938,19913.094482421875,15.312738037109384,cap_saturated,
YCA,2015,normal_year;water_stress_year;nitrogen_stress_year,160.0,250.0,12,8,0,0,True,True,1,1,1,6,9082.266845703123,20207.34741210937,12.322668457031256,cap_saturated,
YCA,2019,dry_year;water_stress_year;nitrogen_stress_year,160.0,250.0,12,8,1,0,True,True,1,1,11,5,7598.8336181640625,17785.5126953125,-2.5116638183593665,cap_saturated,
YCA,2022,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,12,8,0,8,True,True,1,1,1,94,8496.190795898438,18689.842529296875,6.461907958984384,cap_saturated,
YCA,2005,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,11,8,1,0,True,True,1,1,15,5,9111.399536132812,19096.8359375,12.613995361328122,cap_saturated,
YCA,2010,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,12,8,1,0,True,True,1,1,15,6,7246.476440429687,17177.061767578125,-6.035235595703128,cap_saturated,
YCA,2012,wet_year;nitrogen_stress_year;low_response_year,160.0,250.0,12,8,1,0,True,True,1,1,13,5,7861.51123046875,17109.373779296875,0.1151123046875,cap_saturated,
YCA,2023,normal_year;nitrogen_stress_year;low_response_year,160.0,250.0,12,8,0,5,True,True,1,1,12,90,9577.166137695312,22438.1591796875,17.271661376953134,cap_saturated,
