scenario,water_cost,nitrogen_cost,season_irrigation_cap,season_n_cap,n_cases,ok_cases,cap_saturated_cases,cap_saturation_rate,recommended_cases,recommended_rate,mean_irrigation,mean_n,mean_final_grnwt,mean_final_topwt,mean_profit_simple,min_yield_fraction_vs_baseline,mean_yield_fraction_vs_baseline
C_cap_low,0.1,0.25,100.0,180.0,45,45,45,1.0,0,0.0,100.0,180.0,7833.7423909505205,15962.215094672309,23.337423909505212,0.5726760110138996,0.9597842382740273
A_baseline,0.1,0.25,160.0,250.0,45,45,45,1.0,0,0.0,160.0,250.0,8189.7598063151045,16416.548126220703,3.3975980631510447,1.0,1.0
D_cost_high_cap_low,0.3,0.5,100.0,180.0,45,45,45,1.0,0,0.0,100.0,180.0,7833.503139919705,15962.051700168186,-41.66496860080295,0.5734739677723403,0.9597452939208098
B_cost_high,0.3,0.5,160.0,250.0,45,45,45,1.0,0,0.0,160.0,250.0,8187.620090060764,16412.12273152669,-91.12379909939237,0.989568324579157,0.9997219683347008
